"TIME","GEO","UNIT","ICD9CM","Value","Value_imp"
2005,"Belgium","Per hundred thousand inhabitants","Transplantation of kidney",39.88,FALSE
2005,"Bulgaria","Per hundred thousand inhabitants","Transplantation of kidney",31.02,TRUE
2005,"Czechia","Per hundred thousand inhabitants","Transplantation of kidney",35.37,TRUE
2005,"Denmark","Per hundred thousand inhabitants","Transplantation of kidney",31.02,FALSE
2005,"Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Transplantation of kidney",28.77,FALSE
2005,"Estonia","Per hundred thousand inhabitants","Transplantation of kidney",29.47,TRUE
2005,"Ireland","Per hundred thousand inhabitants","Transplantation of kidney",39.04,TRUE
2005,"Greece","Per hundred thousand inhabitants","Transplantation of kidney",18.14,FALSE
2005,"Spain","Per hundred thousand inhabitants","Transplantation of kidney",41.82,FALSE
2005,"France","Per hundred thousand inhabitants","Transplantation of kidney",39.16,FALSE
2005,"Croatia","Per hundred thousand inhabitants","Transplantation of kidney",16.61,FALSE
2005,"Italy","Per hundred thousand inhabitants","Transplantation of kidney",12.62,FALSE
2005,"Lithuania","Per hundred thousand inhabitants","Transplantation of kidney",10.34,FALSE
2005,"Luxembourg","Per hundred thousand inhabitants","Transplantation of kidney",31.02,TRUE
2005,"Hungary","Per hundred thousand inhabitants","Transplantation of kidney",18.31,FALSE
2005,"Malta","Per hundred thousand inhabitants","Transplantation of kidney",31.02,TRUE
2005,"Netherlands","Per hundred thousand inhabitants","Transplantation of kidney",36.22,FALSE
2005,"Austria","Per hundred thousand inhabitants","Transplantation of kidney",42.54,FALSE
2005,"Poland","Per hundred thousand inhabitants","Transplantation of kidney",31.02,TRUE
2005,"Portugal","Per hundred thousand inhabitants","Transplantation of kidney",41.78,FALSE
2005,"Romania","Per hundred thousand inhabitants","Transplantation of kidney",31.02,TRUE
2005,"Slovakia","Per hundred thousand inhabitants","Transplantation of kidney",15.04,FALSE
2005,"Finland","Per hundred thousand inhabitants","Transplantation of kidney",41.82,FALSE
2005,"Iceland","Per hundred thousand inhabitants","Transplantation of kidney",28.31,FALSE
2005,"Liechtenstein","Per hundred thousand inhabitants","Transplantation of kidney",0,TRUE
2005,"Switzerland","Per hundred thousand inhabitants","Transplantation of kidney",31.02,TRUE
2005,"United Kingdom","Per hundred thousand inhabitants","Transplantation of kidney",31.67,FALSE
2005,"Serbia","Per hundred thousand inhabitants","Transplantation of kidney",31.02,TRUE
2005,"Turkey","Per hundred thousand inhabitants","Transplantation of kidney",7.64,TRUE
2006,"Belgium","Per hundred thousand inhabitants","Transplantation of kidney",42.41,FALSE
2006,"Bulgaria","Per hundred thousand inhabitants","Transplantation of kidney",31.87,TRUE
2006,"Czechia","Per hundred thousand inhabitants","Transplantation of kidney",35.37,TRUE
2006,"Denmark","Per hundred thousand inhabitants","Transplantation of kidney",31.87,FALSE
2006,"Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Transplantation of kidney",30.6,FALSE
2006,"Estonia","Per hundred thousand inhabitants","Transplantation of kidney",29.47,TRUE
2006,"Ireland","Per hundred thousand inhabitants","Transplantation of kidney",39.04,TRUE
