"TIME","Pais","Gasto_Cuidado_Rehabilitacion","Gasto_Cuidado_Rehabilitacion_Ingresados","Gasto_Hospitales","Gasto_Hospitales_Mentales","Gasto_Hospitales_Especiales"
2009,"Belgium",18019.63,9760.23,11661.88,1416.28,59.84
2009,"Bulgaria",1608.72,1047.44,1115.41,21.01,249.81
2009,"Czechia",6545.97,2982.27,4971.52,173.28,333.75
2009,"Denmark",14164.09,7162.92,11092.27,981.36,0
2009,"Germany (until 1990 former territory of the FRG)",140782,74687,79394,79394,8202
2009,"Estonia",534.32,252.35,444.73,2.61,22.1
2009,"Ireland",9955.94,4453.2,6533.87,267.18,704.26
2009,"Greece",14067.48,8774.24,9514.29,436.46,858.79
2009,"Spain",55541.06,23064.13,40031.29,757.26,2119.39
2009,"France",114699.39,62256.26,82777.86,12875.56,320.34
2009,"Croatia",1623.96,692.84,1286,43.57,96.01
2009,"Italy",79760,41034,65633,436.46,59.84
2009,"Cyprus",821.3,394.71,576.23,15.18,82.76
2009,"Latvia",639.95,291.9,443.65,35.8,62.82
2009,"Lithuania",1029.26,561.55,724.79,29.69,97.05
2009,"Luxembourg",1407.85,667.33,786.48,40.98,52.61
2009,"Hungary",3286.49,1715.82,2227.93,10.28,229.95
2009,"Malta",442.28,207.39,385.21,25.38,25.49
2009,"Netherlands",30442.87,12797.14,19721.07,3768.26,752.1
2009,"Austria",17475.06,10039.02,11438.37,436.46,1202.92
2009,"Poland",15478.29,8686.14,9118.38,420.95,484.43
2009,"Portugal",10794.54,3134.48,6782.62,143.95,59.84
2009,"Romania",3008.9,1681.94,2366.4,67.96,298.3
2009,"Slovenia",1910.05,910.51,1359.81,51.01,244.51
2009,"Slovakia",2665.54,1326.96,1535.71,33.15,1.04
2009,"Finland",9162.95,3955.48,5436.97,7.48,59.84
2009,"Sweden",17939.56,7449.6,17679.6,436.46,59.84
2009,"Iceland",527.56,245.83,351.73,0,0
2009,"Liechtenstein",177.86,79.41,27.9,0,0
2009,"Norway",17084.32,9525.89,13657.74,3137.22,0
2009,"Switzerland",28001.05,14047.46,18692.08,1491.4,1986.16
2009,"United Kingdom",126551.13,53271.07,93210.11,436.46,59.84
2009,"Bosnia and Herzegovina",763.08,410.5,475.8,3.67,29.79
2010,"Belgium",18880.37,10113.5,12155.36,1495.58,59.79
2010,"Bulgaria",1608.72,1047.44,1115.41,21.01,249.81
2010,"Czechia",6545.97,2982.27,4971.52,173.28,333.75
2010,"Denmark",13902.12,7177.57,11058.4,948.77,0
2010,"Germany (until 1990 former territory of the FRG)",146150,77889,82328,1495.58,8173
2010,"Estonia",527.85,247.97,441.95,2.44,20.84
2010,"Ireland",9955.94,4453.2,6533.87,267.18,704.26
2010,"Greece",13310.17,8500.55,9209.42,376.49,774.2
