"TIME","Pais","Operation_theatres_in_hospital","Surgical_day_care_places","Psychiatric_day_care_place","Oncological_day_care_place","Geriatric_day_care_places"
2010,"Belgium",1220,2039,2279,1362,568
2010,"Bulgaria",1220,2039,917,1362,1839
2010,"Czechia",996,996,2279,996,996
2010,"Denmark",1220,2039,3068,1362,1839
2010,"Germany (until 1990 former territory of the FRG)",1220,47,15496,910,1839
2010,"Estonia",132,349,2279,910,568
2010,"Ireland",222,1857,2279,1362,1839
2010,"Greece",1286,269,118,479,1839
2010,"Spain",4120,2562,3068,6410,2280
2010,"France",11337,13346,28285,6052,628
2010,"Croatia",403,244,1044,214,0
2010,"Italy",6088,7841,701,3097,262
2010,"Cyprus",28,8,0,27,0
2010,"Latvia",197,2039,120,1362,1839
2010,"Lithuania",1220,2039,3068,1362,1839
2010,"Luxembourg",52,2039,3068,1362,568
2010,"Hungary",1014,2039,3068,1362,1839
2010,"Malta",45,2039,3068,27,30
2010,"Netherlands",1177,2039,3068,1362,1839
2010,"Austria",288,2039,3068,1362,1839
2010,"Poland",3154,1036,1160,446,0
2010,"Portugal",827,2039,3068,1362,1839
2010,"Romania",1768,565,300,318,1
2010,"Slovenia",148,2039,3068,1362,1839
2010,"Slovakia",1220,1589,480,4,10
2010,"Liechtenstein",4,7,0,0,0
2010,"Switzerland",956,2039,3068,1362,1839
2010,"United Kingdom",3739,2039,3068,1362,1839
2010,"North Macedonia",1220,0,10,42,0
2010,"Serbia",480,516,1049,194,2
2010,"Turkey",5206,2039,3068,1362,1839
2011,"Belgium",1241,2177,2267,1460,556
2011,"Bulgaria",993,2177,917,1460,1949
2011,"Czechia",993,993,2267,993,993
2011,"Denmark",993,2177,3366,1460,1949
2011,"Germany (until 1990 former territory of the FRG)",1241,53,15457,983,1949
2011,"Estonia",132,385,2267,983,556
2011,"Ireland",221,221,2267,983,556
2011,"Greece",1286,269,118,479,1949
2011,"Spain",4202,2838,3366,6957,2297
2011,"France",11337,14110,28424,6052,628
2011,"Croatia",403,244,1044,214,0
2011,"Italy",6092,8013,631,3056,206
2011,"Cyprus",28,5,0,26,0
2011,"Latvia",224,2177,120,1460,1949
2011,"Lithuania",993,2177,3366,1460,1949
2011,"Luxembourg",52,2177,3366,1460,556
2011,"Hungary",1014,2177,3366,1460,1949
2011,"Malta",42,2177,3366,27,30
2011,"Netherlands",1177,2177,3366,1460,1949
2011,"Austria",290,2177,3366,1460,1949
2011,"Poland",3142,855,1196,492,0
2011,"Portugal",860,2177,3366,1460,1949
2011,"Romania",1806,611,217,421,10
2011,"Slovenia",154,2177,3366,1460,1949
2011,"Slovakia",993,1857,477,26,24
2011,"Liechtenstein",4,7,0,0,0
2011,"Switzerland",975,2177,3366,1460,1949
2011,"United Kingdom",3636,2177,3366,1460,1949
2011,"North Macedonia",993,0,10,38,0
2011,"Serbia",499,544,1092,250,2
2011,"Turkey",5206,2177,3366,1460,1949
2012,"Belgium",1258,2247,1869,1501,544
2012,"Bulgaria",993,2247,917,1501,2013
2012,"Czechia",993,993,1869,1047,993
2012,"Denmark",993,2247,3848,1501,2013
2012,"Germany (until 1990 former territory of the FRG)",1258,73,16773,1047,2013
2012,"Estonia",132,382,1869,1047,544
2012,"Ireland",222,222,1869,1047,544
2012,"Greece",1286,269,118,479,2013
2012,"Spain",4267,3008,3848,7352,2329
2012,"France",11337,15272,28871,6052,628
2012,"Croatia",403,199,920,120,0
2012,"Italy",6118,8139,603,2818,191
2012,"Cyprus",24,5,0,26,0
2012,"Latvia",241,2247,155,1501,2013
2012,"Lithuania",993,2247,3848,1501,2013
2012,"Luxembourg",52,2247,3848,1501,544
2012,"Hungary",1014,2247,3848,1501,2013
2012,"Malta",41,2247,3848,27,30
2012,"Netherlands",1177,2247,3848,1501,2013
2012,"Austria",291,2247,3848,1501,2013
2012,"Poland",3381,1036,1196,492,0
2012,"Portugal",892,2247,3848,1501,2013
2012,"Romania",1814,578,270,548,5
