"TIME","Pais","Computed_Tomography_Scanners","Gamma_cameras","Lithotriptors","Magnetic_Resonance_Imaging_Units","Angiography_units"
2010,"Belgium",152,152,116,116,133
2010,"Bulgaria",224,20,66,31,73
2010,"Czechia",152,122,32,66,79
2010,"Denmark",153,94,32,66,79
2010,"Germany (until 1990 former territory of the FRG)",2643,122,2211,2211,2211
2010,"Estonia",21,3,3,11,8
2010,"Ireland",70,29,6,56,70
2010,"Greece",364,158,20,255,110
2010,"Spain",743,280,80,558,239
2010,"France",766,334,6,451,79
2010,"Croatia",70,23,26,32,25
2010,"Italy",1907,688,6,1332,723
2010,"Cyprus",27,11,4,16,6
2010,"Latvia",61,6,1,17,12
2010,"Lithuania",58,8,8,15,21
2010,"Luxembourg",13,9,1,7,8
2010,"Hungary",73,109,52,30,37
2010,"Malta",13,4,1,3,4
2010,"Netherlands",205,179,40,203,79
2010,"Austria",250,102,6,156,79
2010,"Poland",547,117,169,179,332
2010,"Portugal",152,20,6,66,79
2010,"Romania",124,39,28,51,45
2010,"Slovenia",26,17,2,16,18
2010,"Slovakia",76,40,34,37,46
2010,"Finland",113,46,3,100,127
2010,"Sweden",152,20,6,66,79
2010,"Iceland",12,4,1,7,5
2010,"Liechtenstein",1,0,0,1,1
2010,"Switzerland",255,20,6,66,207
2010,"United Kingdom",496.96,20,6,411.32,79
2010,"North Macedonia",15,3,3,6,6
2010,"Albania",10,1,2,3,3
2010,"Serbia",70,21,11,18,23
2010,"Turkey",904,171,208,678,264
2011,"Belgium",152,152,118,118,125
2011,"Bulgaria",215,19,84,46,70
2011,"Czechia",155,124,34,72,76
2011,"Denmark",163,97,84,72,76
2011,"Germany (until 1990 former territory of the FRG)",2688,97,84,2317,76
2011,"Estonia",22,3,4,13,8
2011,"Ireland",72,29,6,60,70
2011,"Greece",368,160,20,249,110
2011,"Spain",778,286,81,643,249
2011,"France",816,345,34,489,70
2011,"Croatia",69,27,30,42,26
2011,"Italy",1937,680,34,1435,759
2011,"Cyprus",27,11,5,17,7
2011,"Latvia",64,6,1,19,11
2011,"Lithuania",61,9,9,18,21
2011,"Luxembourg",13,9,1,7,8
2011,"Hungary",73,109,52,30,37
2011,"Malta",12,4,1,2,4
2011,"Netherlands",209,179,42,215,70
2011,"Austria",248,100,34,157,70
2011,"Poland",518,133,169,184,394
2011,"Portugal",155,97,34,72,70
2011,"Romania",157,37,33,66,50
2011,"Slovenia",26,17,2,18,18
2011,"Slovakia",81,33,33,38,46
2011,"Finland",115,46,3,109,115
2011,"Sweden",155,97,34,72,70
2011,"Iceland",13,2,1,7,5
2011,"Liechtenstein",1,0,0,1,1
2011,"Switzerland",266,97,34,72,216
2011,"United Kingdom",536.29,97,34,440.52,70
2011,"North Macedonia",15,3,3,6,6
2011,"Albania",11,1,2,4,3
2011,"Serbia",70,21,11,18,23
2011,"Turkey",974,172,249,709,320
2012,"Belgium",167,167,118,118,120
2012,"Bulgaria",235,20,63,54,73
2012,"Czechia",158,119,34,73,81
2012,"Denmark",185,94,63,73,81
2012,"Germany (until 1990 former territory of the FRG)",2735,119,63,2305,81
2012,"Estonia",23,3,4,13,9
2012,"Ireland",77,30,6,57,73
2012,"Greece",369,158,20,242,110
2012,"Spain",804,291,85,691,264
2012,"France",883,379,34,566,73
2012,"Croatia",67,27,30,42,26
2012,"Italy",1982,635,34,1466,797
2012,"Cyprus",28,11,5,17,7
2012,"Latvia",66,6,1,20,13
2012,"Lithuania",71,9,7,30,18
2012,"Luxembourg",13,9,1,7,8
2012,"Hungary",76,108,52,28,37
2012,"Malta",12,3,1,3,4
2012,"Netherlands",183,174,38,198,73
2012,"Austria",251,102,34,161,73
2012,"Poland",586,121,191,209,429
2012,"Portugal",167,20,34,73,73
2012,"Romania",184,43,38,77,50
2012,"Slovenia",26,17,2,18,17
2012,"Slovakia",84,34,32,34,48
2012,"Finland",118,46,3,117,106
2012,"Sweden",167,20,34,73,73
2012,"Iceland",13,2,1,7,5
2012,"Liechtenstein",1,0,0,1,1
2012,"Switzerland",277,20,34,73,221
2012,"United Kingdom",578.85,20,34,456.1,73
2012,"North Macedonia",15,3,3,6,6
2012,"Albania",14,1,2,4,2
2012,"Serbia",70,21,11,18,25
2012,"Turkey",1017,218,267,720,344
2013,"Belgium",256,256,121,121,121
2013,"Bulgaria",249,20,66,53,78
2013,"Czechia",158,121,36,78,89
