"TIME","Pais","Generalist_medical_practitioners","Specialist_medical_practitioners","General_paediatricians","AGE_Total","AGE_Less_35","AGE_35_44","AGE_45_54","AGE_55_64"
2010,"Belgium",12228,19153,1332,31815,2416,7867,9108,8691
2010,"Bulgaria",5014,22949,1425,29038,2943,3709,9456,9061
2010,"Czechia",7369,30292,1262,37661,7192,8703,9132,9161
2010,"Denmark",4393,8746,384,20670,4012,5022,4937,5110
2010,"Germany (until 1990 former territory of the FRG)",74113,229532,12576,303645,55085,35260,93445,108915
2010,"Estonia",979,2962,168,4319,782,632,1070,1180
2010,"Ireland",12475,6346,262,18821,5502,5102,3989,2228
2010,"Greece",3391,39552,3279,64032,15361,18938,14255,11752
2010,"Spain",34620,107542,11728,175033,44000,40333,52033,33233
2010,"France",103262,108870,7232,212132,15626,39822,69169,75838
2010,"Croatia",3350,8954,754,12304,2516,2861,3793,2836
2010,"Italy",52944,173440,17197,371450,45708,54760,114308,113069
2010,"Cyprus",735,2311,242,3046,311,704,690,879
2010,"Latvia",1311,5206,271,6517,638,1273,2111,1473
2010,"Lithuania",2381,8285,828,13203,2320,2448,3575,3219
2010,"Luxembourg",414,992,83,1413,69,335,562,356
2010,"Hungary",7096,25615,2371,28686,4690,5741,7361,7047
2010,"Malta",278,614,59,1279,499,227,354,114
2010,"Netherlands",20848,28394,1484,49242,12511,12036,13048,10549
2010,"Austria",13219,20103,1183,40105,7333,9755,13797,7262
2010,"Poland",17484,65717,4721,83201,4012,7867,9108,8691
2010,"Portugal",21170,20956,1584,40672,4012,7867,9108,8691
2010,"Romania",18210,32568,2298,50778,15416,12739,11831,9394
2010,"Slovenia",1044,3773,490,4979,959,1279,1429,1089
2010,"Finland",6380,10212,692,18110,3576,4501,3970,4798
2010,"Sweden",5907,19534,980,17520,3304,4510,5547,4159
2010,"Iceland",182,714,16,35708,6320,8814,8320,9354
2010,"Liechtenstein",37,67,5,1142,166,195,362,330
2010,"Norway",4039,8151,658,104,2,27,39,31
2010,"Switzerland",4748,19198,1309,20114,5073,5274,4388,3936
2010,"United Kingdom",48641,118033,9084,29803,3439,8068,9183,7206
2010,"Montenegro",195,1081,172,165060,56194,48800,38261,18945
2010,"North Macedonia",1823,3718,394,1276,236,359,454,227
2010,"Albania",7369,2020,1332,5541,810,1178,2037,1516
2010,"Serbia",7031,15285,1967,22316,3611,6417,7541,4682
2010,"Turkey",41077,82370,6358,123447,43729,40457,21724,9834
2011,"Belgium",12290,19492,1350,32182,2420,7871,8850,8974
2011,"Bulgaria",4925,23459,1423,29038,2943,3709,9456,9061
2011,"Czechia",7369,30802,1323,38171,7287,8698,8882,9508
2011,"Denmark",4418,8900,394,21108,4132,5265,4804,5114
2011,"Germany (until 1990 former territory of the FRG)",75252,235971,12854,311223,57748,36100,91591,114365
2011,"Estonia",1001,3011,163,4372,782,632,1070,1180
2011,"Ireland",11366,7429,509,18795,5869,5328,3989,2228
2011,"Greece",3369,40396,3293,64145,12244,21399,14490,12269
2011,"Spain",34722,108759,12037,179267,43700,44867,49333,34933
2011,"France",93140,106780,7287,199920,17865,37929,61853,69758
2011,"Croatia",3299,9191,754,12490,2704,2881,3797,2847
2011,"Italy",53856,177625,17475,379930,50260,54414,104373,123815
2011,"Cyprus",735,2311,242,3046,311,704,690,879
2011,"Latvia",1328,5128,273,6456,652,1166,2040,1586
2011,"Lithuania",2679,9728,855,13327,2550,2248,3549,3285
2011,"Luxembourg",424,1010,82,1439,73,313,566,385
2011,"Hungary",7096,25615,2371,29500,4655,5699,7304,7541
2011,"Malta",315,620,55,1319,519,235,372,124
2011,"Netherlands",23301,28994,1500,52295,14358,12404,12915,11117
