"TIME","GEO","ICHA_HC","INDIC_HE","UNIT","Value","Flag and Footnotes"
"2010","European Union - 27 countries (from 2020)","Services of curative care","Discharges","Number",":",""
"2010","European Union - 27 countries (from 2020)","Services of curative care","In-patient average length of stay (in days)","Number",":",""
"2010","European Union - 27 countries (from 2020)","Services of curative care","Bed-days","Number",":",""
"2010","European Union - 27 countries (from 2020)","In-patient care","Discharges","Number","79 531 551.00",""
"2010","European Union - 27 countries (from 2020)","In-patient care","In-patient average length of stay (in days)","Number",":",""
"2010","European Union - 27 countries (from 2020)","In-patient care","Bed-days","Number",":",""
"2010","European Union - 28 countries (2013-2020)","Services of curative care","Discharges","Number",":",""
"2010","European Union - 28 countries (2013-2020)","Services of curative care","In-patient average length of stay (in days)","Number",":",""
"2010","European Union - 28 countries (2013-2020)","Services of curative care","Bed-days","Number",":",""
"2010","European Union - 28 countries (2013-2020)","In-patient care","Discharges","Number","88 046 517.00",""
"2010","European Union - 28 countries (2013-2020)","In-patient care","In-patient average length of stay (in days)","Number",":",""
"2010","European Union - 28 countries (2013-2020)","In-patient care","Bed-days","Number",":",""
"2010","Belgium","Services of curative care","Discharges","Number","1 788 715.00",""
"2010","Belgium","Services of curative care","In-patient average length of stay (in days)","Number","7.20",""
"2010","Belgium","Services of curative care","Bed-days","Number","12 801 044.00",""
"2010","Belgium","In-patient care","Discharges","Number","1 815 427.00",""
"2010","Belgium","In-patient care","In-patient average length of stay (in days)","Number","8.11",""
"2010","Belgium","In-patient care","Bed-days","Number",":",""
"2010","Bulgaria","Services of curative care","Discharges","Number",":",""
"2010","Bulgaria","Services of curative care","In-patient average length of stay (in days)","Number",":",""
"2010","Bulgaria","Services of curative care","Bed-days","Number",":",""
"2010","Bulgaria","In-patient care","Discharges","Number","1 920 900.00",""
"2010","Bulgaria","In-patient care","In-patient average length of stay (in days)","Number","6.10",""
"2010","Bulgaria","In-patient care","Bed-days","Number",":",""
"2010","Czechia","Services of curative care","Discharges","Number","1 991 481.00",""
"2010","Czechia","Services of curative care","In-patient average length of stay (in days)","Number","6.57",""
"2010","Czechia","Services of curative care","Bed-days","Number","13 074 737.00",""
"2010","Czechia","In-patient care","Discharges","Number","2 156 918.00",""
"2010","Czechia","In-patient care","In-patient average length of stay (in days)","Number","9.82",""
"2010","Czechia","In-patient care","Bed-days","Number",":",""
"2010","Denmark","Services of curative care","Discharges","Number",":",""
"2010","Denmark","Services of curative care","In-patient average length of stay (in days)","Number",":",""
"2010","Denmark","Services of curative care","Bed-days","Number",":",""
"2010","Denmark","In-patient care","Discharges","Number","891 815.00",""
"2010","Denmark","In-patient care","In-patient average length of stay (in days)","Number","5.88",""
"2010","Denmark","In-patient care","Bed-days","Number",":",""
"2010","Germany (until 1990 former territory of the FRG)","Services of curative care","Discharges","Number","17 961 537.00",""
"2010","Germany (until 1990 former territory of the FRG)","Services of curative care","In-patient average length of stay (in days)","Number","8.10",""
"2010","Germany (until 1990 former territory of the FRG)","Services of curative care","Bed-days","Number","145 019 320.00",""
"2010","Germany (until 1990 former territory of the FRG)","In-patient care","Discharges","Number","19 621 116.00",""
"2010","Germany (until 1990 former territory of the FRG)","In-patient care","In-patient average length of stay (in days)","Number","9.50",""
"2010","Germany (until 1990 former territory of the FRG)","In-patient care","Bed-days","Number",":",""
"2010","Estonia","Services of curative care","Discharges","Number","212 931.00",""
"2010","Estonia","Services of curative care","In-patient average length of stay (in days)","Number","5.50",""
"2010","Estonia","Services of curative care","Bed-days","Number","1 174 495.00",""
"2010","Estonia","In-patient care","Discharges","Number","242 848.00",""
"2010","Estonia","In-patient care","In-patient average length of stay (in days)","Number","7.60",""
"2010","Estonia","In-patient care","Bed-days","Number",":",""
"2010","Ireland","Services of curative care","Discharges","Number","585 572.00",""
"2010","Ireland","Services of curative care","In-patient average length of stay (in days)","Number","6.00",""
"2010","Ireland","Services of curative care","Bed-days","Number","3 537 819.00",""
"2010","Ireland","In-patient care","Discharges","Number","601 521.00",""
"2010","Ireland","In-patient care","In-patient average length of stay (in days)","Number","6.60",""
"2010","Ireland","In-patient care","Bed-days","Number",":",""
"2010","Greece","Services of curative care","Discharges","Number","2 197 206.00","d"
"2010","Greece","Services of curative care","In-patient average length of stay (in days)","Number","5.30","d"
"2010","Greece","Services of curative care","Bed-days","Number",":",""
"2010","Greece","In-patient care","Discharges","Number","2 219 835.00","d"
"2010","Greece","In-patient care","In-patient average length of stay (in days)","Number","6.60","d"
"2010","Greece","In-patient care","Bed-days","Number",":",""
"2010","Spain","Services of curative care","Discharges","Number","5 191 145.00",""
"2010","Spain","Services of curative care","In-patient average length of stay (in days)","Number","6.37",""
"2010","Spain","Services of curative care","Bed-days","Number","33 043 219.00",""
"2010","Spain","In-patient care","Discharges","Number","5 227 249.00",""
"2010","Spain","In-patient care","In-patient average length of stay (in days)","Number","7.89",""
"2010","Spain","In-patient care","Bed-days","Number",":",""
"2010","France","Services of curative care","Discharges","Number","10 429 386.00",""
"2010","France","Services of curative care","In-patient average length of stay (in days)","Number","5.82",""
"2010","France","Services of curative care","Bed-days","Number","60 650 081.00",""
"2010","France","In-patient care","Discharges","Number","12 053 560.00",""
"2010","France","In-patient care","In-patient average length of stay (in days)","Number","10.20",""
"2010","France","In-patient care","Bed-days","Number",":",""
"2010","Croatia","Services of curative care","Discharges","Number","666 527.00",""
"2010","Croatia","Services of curative care","In-patient average length of stay (in days)","Number","7.16",""
"2010","Croatia","Services of curative care","Bed-days","Number","4 772 692.00",""
"2010","Croatia","In-patient care","Discharges","Number","740 553.00",""
"2010","Croatia","In-patient care","In-patient average length of stay (in days)","Number","9.47",""
"2010","Croatia","In-patient care","Bed-days","Number",":",""
"2010","Italy","Services of curative care","Discharges","Number","7 374 878.00",""
"2010","Italy","Services of curative care","In-patient average length of stay (in days)","Number","6.74",""
"2010","Italy","Services of curative care","Bed-days","Number","49 672 827.00",""
"2010","Italy","In-patient care","Discharges","Number","8 192 318.00",""
"2010","Italy","In-patient care","In-patient average length of stay (in days)","Number","7.64",""
"2010","Italy","In-patient care","Bed-days","Number",":",""
"2010","Cyprus","Services of curative care","Discharges","Number","75 980.00","d"
"2010","Cyprus","Services of curative care","In-patient average length of stay (in days)","Number","5.40","d"
"2010","Cyprus","Services of curative care","Bed-days","Number",":",""
"2010","Cyprus","In-patient care","Discharges","Number","76 411.00","d"
"2010","Cyprus","In-patient care","In-patient average length of stay (in days)","Number",":",""
"2010","Cyprus","In-patient care","Bed-days","Number",":",""
"2010","Latvia","Services of curative care","Discharges","Number","313 636.00",""
"2010","Latvia","Services of curative care","In-patient average length of stay (in days)","Number","6.15",""
"2010","Latvia","Services of curative care","Bed-days","Number","1 928 669.00",""
"2010","Latvia","In-patient care","Discharges","Number","380 449.00",""
"2010","Latvia","In-patient care","In-patient average length of stay (in days)","Number","8.54",""
"2010","Latvia","In-patient care","Bed-days","Number",":",""
"2010","Lithuania","Services of curative care","Discharges","Number","698 604.00",""
"2010","Lithuania","Services of curative care","In-patient average length of stay (in days)","Number","7.11",""
"2010","Lithuania","Services of curative care","Bed-days","Number","4 967 058.00",""
"2010","Lithuania","In-patient care","Discharges","Number","721 052.00",""
"2010","Lithuania","In-patient care","In-patient average length of stay (in days)","Number","8.04",""
"2010","Lithuania","In-patient care","Bed-days","Number",":",""
"2010","Luxembourg","Services of curative care","Discharges","Number","76 879.00",""
"2010","Luxembourg","Services of curative care","In-patient average length of stay (in days)","Number","7.55",""
"2010","Luxembourg","Services of curative care","Bed-days","Number","580 732.00",""
"2010","Luxembourg","In-patient care","Discharges","Number","78 968.00",""
"2010","Luxembourg","In-patient care","In-patient average length of stay (in days)","Number","9.05",""
"2010","Luxembourg","In-patient care","Bed-days","Number",":",""
"2010","Hungary","Services of curative care","Discharges","Number","1 785 529.00",""
"2010","Hungary","Services of curative care","In-patient average length of stay (in days)","Number","5.84",""
"2010","Hungary","Services of curative care","Bed-days","Number","10 435 174.00",""
"2010","Hungary","In-patient care","Discharges","Number","2 064 888.00",""
"2010","Hungary","In-patient care","In-patient average length of stay (in days)","Number","9.51",""
"2010","Hungary","In-patient care","Bed-days","Number",":",""
"2010","Malta","Services of curative care","Discharges","Number","52 413.00","b"
"2010","Malta","Services of curative care","In-patient average length of stay (in days)","Number","5.00","b"
"2010","Malta","Services of curative care","Bed-days","Number","261 674.00","b"
"2010","Malta","In-patient care","Discharges","Number","54 843.00","b"
"2010","Malta","In-patient care","In-patient average length of stay (in days)","Number","6.80","b"
"2010","Malta","In-patient care","Bed-days","Number",":",""
"2010","Netherlands","Services of curative care","Discharges","Number","1 914 000.00",""
"2010","Netherlands","Services of curative care","In-patient average length of stay (in days)","Number","5.60",""
"2010","Netherlands","Services of curative care","Bed-days","Number",":",""
"2010","Netherlands","In-patient care","Discharges","Number","1 935 000.00",""
"2010","Netherlands","In-patient care","In-patient average length of stay (in days)","Number",":",""
"2010","Netherlands","In-patient care","Bed-days","Number",":",""
"2010","Austria","Services of curative care","Discharges","Number","2 189 708.00",""
"2010","Austria","Services of curative care","In-patient average length of stay (in days)","Number","6.61",""
"2010","Austria","Services of curative care","Bed-days","Number","14 474 030.00",""
"2010","Austria","In-patient care","Discharges","Number","2 311 392.00",""
"2010","Austria","In-patient care","In-patient average length of stay (in days)","Number","7.94",""
"2010","Austria","In-patient care","Bed-days","Number",":",""
"2010","Poland","Services of curative care","Discharges","Number","6 028 753.00",""
"2010","Poland","Services of curative care","In-patient average length of stay (in days)","Number","7.30",""
"2010","Poland","Services of curative care","Bed-days","Number","43 841 061.00",""
"2010","Poland","In-patient care","Discharges","Number","6 152 078.00",""
"2010","Poland","In-patient care","In-patient average length of stay (in days)","Number","7.60",""
"2010","Poland","In-patient care","Bed-days","Number",":",""
"2010","Portugal","Services of curative care","Discharges","Number","1 169 935.00",""
"2010","Portugal","Services of curative care","In-patient average length of stay (in days)","Number","8.58",""
"2010","Portugal","Services of curative care","Bed-days","Number","10 041 907.00",""
"2010","Portugal","In-patient care","Discharges","Number","1 173 701.00",""
"2010","Portugal","In-patient care","In-patient average length of stay (in days)","Number","8.70",""
"2010","Portugal","In-patient care","Bed-days","Number",":",""
"2010","Romania","Services of curative care","Discharges","Number","4 704 506.00",""
"2010","Romania","Services of curative care","In-patient average length of stay (in days)","Number","6.48",""
"2010","Romania","Services of curative care","Bed-days","Number","30 507 525.00",""
"2010","Romania","In-patient care","Discharges","Number","5 048 421.00",""
"2010","Romania","In-patient care","In-patient average length of stay (in days)","Number","7.44",""
"2010","Romania","In-patient care","Bed-days","Number",":",""
"2010","Slovenia","Services of curative care","Discharges","Number","348 424.00",""
"2010","Slovenia","Services of curative care","In-patient average length of stay (in days)","Number","5.45",""
"2010","Slovenia","Services of curative care","Bed-days","Number",":",""
"2010","Slovenia","In-patient care","Discharges","Number","363 505.00",""
"2010","Slovenia","In-patient care","In-patient average length of stay (in days)","Number","6.70",""
"2010","Slovenia","In-patient care","Bed-days","Number",":",""
"2010","Slovakia","Services of curative care","Discharges","Number","914 292.00",""
"2010","Slovakia","Services of curative care","In-patient average length of stay (in days)","Number","6.60",""
"2010","Slovakia","Services of curative care","Bed-days","Number","5 919 961.00",""
"2010","Slovakia","In-patient care","Discharges","Number","1 010 759.00",""
"2010","Slovakia","In-patient care","In-patient average length of stay (in days)","Number","8.20",""
"2010","Slovakia","In-patient care","Bed-days","Number",":",""
"2010","Finland","Services of curative care","Discharges","Number","925 431.00",""
"2010","Finland","Services of curative care","In-patient average length of stay (in days)","Number","7.00",""
"2010","Finland","Services of curative care","Bed-days","Number","6 506 901.00",""
"2010","Finland","In-patient care","Discharges","Number","953 377.00",""
"2010","Finland","In-patient care","In-patient average length of stay (in days)","Number","11.80",""
"2010","Finland","In-patient care","Bed-days","Number",":",""
"2010","Sweden","Services of curative care","Discharges","Number","1 475 726.00",""
"2010","Sweden","Services of curative care","In-patient average length of stay (in days)","Number","5.78",""
"2010","Sweden","Services of curative care","Bed-days","Number",":",""
"2010","Sweden","In-patient care","Discharges","Number","1 522 647.00",""
"2010","Sweden","In-patient care","In-patient average length of stay (in days)","Number","6.04",""
"2010","Sweden","In-patient care","Bed-days","Number",":",""
"2010","Iceland","Services of curative care","Discharges","Number","42 572.00",""
"2010","Iceland","Services of curative care","In-patient average length of stay (in days)","Number","5.36",""
"2010","Iceland","Services of curative care","Bed-days","Number","228 171.00",""
"2010","Iceland","In-patient care","Discharges","Number","43 210.00",""
"2010","Iceland","In-patient care","In-patient average length of stay (in days)","Number","5.58",""
"2010","Iceland","In-patient care","Bed-days","Number",":",""
"2010","Liechtenstein","Services of curative care","Discharges","Number","2 473.00",""
"2010","Liechtenstein","Services of curative care","In-patient average length of stay (in days)","Number","6.06",""
"2010","Liechtenstein","Services of curative care","Bed-days","Number","14 985.00",""
"2010","Liechtenstein","In-patient care","Discharges","Number","2 506.00",""
"2010","Liechtenstein","In-patient care","In-patient average length of stay (in days)","Number","6.48",""
"2010","Liechtenstein","In-patient care","Bed-days","Number",":",""
"2010","Norway","Services of curative care","Discharges","Number","924 873.00",""
"2010","Norway","Services of curative care","In-patient average length of stay (in days)","Number","6.30",""
"2010","Norway","Services of curative care","Bed-days","Number",":",""
"2010","Norway","In-patient care","Discharges","Number","962 390.00",""
"2010","Norway","In-patient care","In-patient average length of stay (in days)","Number","6.80",""
"2010","Norway","In-patient care","Bed-days","Number",":",""
"2010","Switzerland","Services of curative care","Discharges","Number","1 233 774.00","b"
"2010","Switzerland","Services of curative care","In-patient average length of stay (in days)","Number","7.85","b"
"2010","Switzerland","Services of curative care","Bed-days","Number","9 684 640.00",""
"2010","Switzerland","In-patient care","Discharges","Number","1 323 362.00","b"
"2010","Switzerland","In-patient care","In-patient average length of stay (in days)","Number","8.96","b"
"2010","Switzerland","In-patient care","Bed-days","Number",":",""
"2010","United Kingdom","Services of curative care","Discharges","Number","8 062 870.53",""
"2010","United Kingdom","Services of curative care","In-patient average length of stay (in days)","Number","6.06",""
"2010","United Kingdom","Services of curative care","Bed-days","Number",":",""
"2010","United Kingdom","In-patient care","Discharges","Number","8 514 966.00",""
"2010","United Kingdom","In-patient care","In-patient average length of stay (in days)","Number","7.74",""
"2010","United Kingdom","In-patient care","Bed-days","Number",":",""
"2010","Montenegro","Services of curative care","Discharges","Number",":",""
"2010","Montenegro","Services of curative care","In-patient average length of stay (in days)","Number",":",""
"2010","Montenegro","Services of curative care","Bed-days","Number",":",""
"2010","Montenegro","In-patient care","Discharges","Number","73 377.00",""
"2010","Montenegro","In-patient care","In-patient average length of stay (in days)","Number","8.10",""
"2010","Montenegro","In-patient care","Bed-days","Number",":",""
