"TIME","GEO","UNIT","ICD9CM","Value","Flag and Footnotes"
"2005","Belgium","Number","Transplantation of kidney and haemodialysis","10 371",""
"2005","Belgium","Number","Haemodialysis","6 192",""
"2005","Belgium","Number","Transplantation of kidney","4 179",""
"2005","Belgium","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis","98.97",""
"2005","Belgium","Per hundred thousand inhabitants","Haemodialysis","59.09",""
"2005","Belgium","Per hundred thousand inhabitants","Transplantation of kidney","39.88",""
"2005","Bulgaria","Number","Transplantation of kidney and haemodialysis",":",""
"2005","Bulgaria","Number","Haemodialysis",":",""
"2005","Bulgaria","Number","Transplantation of kidney",":",""
"2005","Bulgaria","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2005","Bulgaria","Per hundred thousand inhabitants","Haemodialysis",":",""
"2005","Bulgaria","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2005","Czechia","Number","Transplantation of kidney and haemodialysis",":",""
"2005","Czechia","Number","Haemodialysis","5 733",""
"2005","Czechia","Number","Transplantation of kidney",":",""
"2005","Czechia","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2005","Czechia","Per hundred thousand inhabitants","Haemodialysis","56.01",""
"2005","Czechia","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2005","Denmark","Number","Transplantation of kidney and haemodialysis","4 205",""
"2005","Denmark","Number","Haemodialysis","2 524",""
"2005","Denmark","Number","Transplantation of kidney","1 681",""
"2005","Denmark","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis","77.59",""
"2005","Denmark","Per hundred thousand inhabitants","Haemodialysis","46.57",""
"2005","Denmark","Per hundred thousand inhabitants","Transplantation of kidney","31.02",""
"2005","Germany (until 1990 former territory of the FRG)","Number","Transplantation of kidney and haemodialysis","87 151",""
"2005","Germany (until 1990 former territory of the FRG)","Number","Haemodialysis","63 427",""
"2005","Germany (until 1990 former territory of the FRG)","Number","Transplantation of kidney","23 724",""
"2005","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis","105.68",""
"2005","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Haemodialysis","76.91",""
"2005","Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Transplantation of kidney","28.77",""
"2005","Estonia","Number","Transplantation of kidney and haemodialysis",":",""
"2005","Estonia","Number","Haemodialysis",":",""
"2005","Estonia","Number","Transplantation of kidney",":",""
"2005","Estonia","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2005","Estonia","Per hundred thousand inhabitants","Haemodialysis",":",""
"2005","Estonia","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2005","Ireland","Number","Transplantation of kidney and haemodialysis",":",""
"2005","Ireland","Number","Haemodialysis","1 343",""
"2005","Ireland","Number","Transplantation of kidney",":",""
"2005","Ireland","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2005","Ireland","Per hundred thousand inhabitants","Haemodialysis","32.28",""
"2005","Ireland","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2005","Greece","Number","Transplantation of kidney and haemodialysis","10 648",""
"2005","Greece","Number","Haemodialysis","8 634",""
"2005","Greece","Number","Transplantation of kidney","2 014",""
"2005","Greece","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis","95.89",""
"2005","Greece","Per hundred thousand inhabitants","Haemodialysis","77.76",""
"2005","Greece","Per hundred thousand inhabitants","Transplantation of kidney","18.14",""
"2005","Spain","Number","Transplantation of kidney and haemodialysis","39 532",""
"2005","Spain","Number","Haemodialysis","21 385",""
"2005","Spain","Number","Transplantation of kidney","18 147",""
"2005","Spain","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis","91.09",""
"2005","Spain","Per hundred thousand inhabitants","Haemodialysis","49.28",""
"2005","Spain","Per hundred thousand inhabitants","Transplantation of kidney","41.82",""
"2005","France","Number","Transplantation of kidney and haemodialysis","57 325","e"
"2005","France","Number","Haemodialysis","32 652","e"
"2005","France","Number","Transplantation of kidney","24 673","e"
"2005","France","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis","90.99","e"
"2005","France","Per hundred thousand inhabitants","Haemodialysis","51.83","e"
"2005","France","Per hundred thousand inhabitants","Transplantation of kidney","39.16","e"
"2005","Croatia","Number","Transplantation of kidney and haemodialysis","3 708",""
"2005","Croatia","Number","Haemodialysis","2 970",""
"2005","Croatia","Number","Transplantation of kidney","738",""
"2005","Croatia","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis","83.45",""
"2005","Croatia","Per hundred thousand inhabitants","Haemodialysis","66.84",""
"2005","Croatia","Per hundred thousand inhabitants","Transplantation of kidney","16.61",""
"2005","Italy","Number","Transplantation of kidney and haemodialysis","48 873",""
"2005","Italy","Number","Haemodialysis","41 478",""
"2005","Italy","Number","Transplantation of kidney","7 395","d"
"2005","Italy","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis","83.39",""
"2005","Italy","Per hundred thousand inhabitants","Haemodialysis","70.77",""
"2005","Italy","Per hundred thousand inhabitants","Transplantation of kidney","12.62","d"
"2005","Lithuania","Number","Transplantation of kidney and haemodialysis",":",""
"2005","Lithuania","Number","Haemodialysis",":",""
"2005","Lithuania","Number","Transplantation of kidney","353",""
"2005","Lithuania","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2005","Lithuania","Per hundred thousand inhabitants","Haemodialysis",":",""
"2005","Lithuania","Per hundred thousand inhabitants","Transplantation of kidney","10.34",""
"2005","Luxembourg","Number","Transplantation of kidney and haemodialysis",":",""
"2005","Luxembourg","Number","Haemodialysis","207",""
"2005","Luxembourg","Number","Transplantation of kidney",":",""
"2005","Luxembourg","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",":",""
"2005","Luxembourg","Per hundred thousand inhabitants","Haemodialysis","44.50",""
"2005","Luxembourg","Per hundred thousand inhabitants","Transplantation of kidney",":",""
"2005","Hungary","Number","Transplantation of kidney and haemodialysis","7 323",""
"2005","Hungary","Number","Haemodialysis","5 476",""
"2005","Hungary","Number","Transplantation of kidney","1 847",""
"2005","Hungary","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis","72.60",""
"2005","Hungary","Per hundred thousand inhabitants","Haemodialysis","54.29",""
"2005","Hungary","Per hundred thousand inhabitants","Transplantation of kidney","18.31",""
"2005","Malta","Number","Transplantation of kidney and haemodialysis",":",""
