"TIME","GEO","MORTALIT","SEX","ICD10","UNIT","Value","Flag and Footnotes"
"2011","European Union - 27 countries (from 2020)","Total","Total","Total","Number","1 079 803",""
"2011","European Union - 27 countries (from 2020)","Total","Total","Total","Rate","281.35",""
"2011","European Union - 27 countries (from 2020)","Total","Males","Total","Number","713 132",""
"2011","European Union - 27 countries (from 2020)","Total","Males","Total","Rate","390.96",""
"2011","European Union - 27 countries (from 2020)","Total","Females","Total","Number","366 671",""
"2011","European Union - 27 countries (from 2020)","Total","Females","Total","Rate","182.26",""
"2011","European Union - 27 countries (from 2020)","Preventable mortality","Total","Total","Number","685 851.5",""
"2011","European Union - 27 countries (from 2020)","Preventable mortality","Total","Total","Rate","177.96",""
"2011","European Union - 27 countries (from 2020)","Preventable mortality","Males","Total","Number","495 179",""
"2011","European Union - 27 countries (from 2020)","Preventable mortality","Males","Total","Rate","269.67",""
"2011","European Union - 27 countries (from 2020)","Preventable mortality","Females","Total","Number","190 672.5",""
"2011","European Union - 27 countries (from 2020)","Preventable mortality","Females","Total","Rate","94.65",""
"2011","European Union - 27 countries (from 2020)","Treatable mortality","Total","Total","Number","393 951.5",""
"2011","European Union - 27 countries (from 2020)","Treatable mortality","Total","Total","Rate","103.39",""
"2011","European Union - 27 countries (from 2020)","Treatable mortality","Males","Total","Number","217 953",""
"2011","European Union - 27 countries (from 2020)","Treatable mortality","Males","Total","Rate","121.3",""
"2011","European Union - 27 countries (from 2020)","Treatable mortality","Females","Total","Number","175 998.5",""
"2011","European Union - 27 countries (from 2020)","Treatable mortality","Females","Total","Rate","87.61",""
"2011","European Union - 28 countries (2013-2020)","Total","Total","Total","Number","1 210 890",""
"2011","European Union - 28 countries (2013-2020)","Total","Total","Total","Rate","278",""
"2011","European Union - 28 countries (2013-2020)","Total","Males","Total","Number","792 864",""
"2011","European Union - 28 countries (2013-2020)","Total","Males","Total","Rate","381.92",""
"2011","European Union - 28 countries (2013-2020)","Total","Females","Total","Number","418 026",""
"2011","European Union - 28 countries (2013-2020)","Total","Females","Total","Rate","183.57",""
"2011","European Union - 28 countries (2013-2020)","Preventable mortality","Total","Total","Number","768 077.5",""
"2011","European Union - 28 countries (2013-2020)","Preventable mortality","Total","Total","Rate","175.67",""
"2011","European Union - 28 countries (2013-2020)","Preventable mortality","Males","Total","Number","548 939.5",""
"2011","European Union - 28 countries (2013-2020)","Preventable mortality","Males","Total","Rate","262.79",""
"2011","European Union - 28 countries (2013-2020)","Preventable mortality","Females","Total","Number","219 138",""
"2011","European Union - 28 countries (2013-2020)","Preventable mortality","Females","Total","Rate","96.14",""
"2011","European Union - 28 countries (2013-2020)","Treatable mortality","Total","Total","Number","442 812.5",""
"2011","European Union - 28 countries (2013-2020)","Treatable mortality","Total","Total","Rate","102.32",""
"2011","European Union - 28 countries (2013-2020)","Treatable mortality","Males","Total","Number","243 924.5",""
"2011","European Union - 28 countries (2013-2020)","Treatable mortality","Males","Total","Rate","119.13",""
"2011","European Union - 28 countries (2013-2020)","Treatable mortality","Females","Total","Number","198 888",""
"2011","European Union - 28 countries (2013-2020)","Treatable mortality","Females","Total","Rate","87.43",""
"2011","Belgium","Total","Total","Total","Number","23 343",""
"2011","Belgium","Total","Total","Total","Rate","254.69",""
"2011","Belgium","Total","Males","Total","Number","14 821",""
"2011","Belgium","Total","Males","Total","Rate","334.5",""
"2011","Belgium","Total","Females","Total","Number","8 522",""
"2011","Belgium","Total","Females","Total","Rate","180.32",""
"2011","Belgium","Preventable mortality","Total","Total","Number","15 883.5",""
"2011","Belgium","Preventable mortality","Total","Total","Rate","172.38",""
"2011","Belgium","Preventable mortality","Males","Total","Number","11 076",""
"2011","Belgium","Preventable mortality","Males","Total","Rate","248.21",""
"2011","Belgium","Preventable mortality","Females","Total","Number","4 807.5",""
"2011","Belgium","Preventable mortality","Females","Total","Rate","101.35",""
"2011","Belgium","Treatable mortality","Total","Total","Number","7 459.5",""
"2011","Belgium","Treatable mortality","Total","Total","Rate","82.31",""
"2011","Belgium","Treatable mortality","Males","Total","Number","3 745",""
"2011","Belgium","Treatable mortality","Males","Total","Rate","86.28",""
"2011","Belgium","Treatable mortality","Females","Total","Number","3 714.5",""
"2011","Belgium","Treatable mortality","Females","Total","Rate","78.98",""
"2011","Bulgaria","Total","Total","Total","Number","28 882",""
"2011","Bulgaria","Total","Total","Total","Rate","417.95",""
"2011","Bulgaria","Total","Males","Total","Number","18 747",""
"2011","Bulgaria","Total","Males","Total","Rate","592.65",""
