"TIME","GEO","UNIT","SEX","ICD10","Value","Flag and Footnotes"
"2011","European Union - 27 countries (from 2020)","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","37 138",""
"2011","European Union - 27 countries (from 2020)","Number","Total","Other sepsis","33 171",""
"2011","European Union - 27 countries (from 2020)","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","92 037",""
"2011","European Union - 27 countries (from 2020)","Number","Total","Pneumonia, organism unspecified","84 289",""
"2011","European Union - 28 countries (2013-2020)","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","40 939",""
"2011","European Union - 28 countries (2013-2020)","Number","Total","Other sepsis","35 726",""
"2011","European Union - 28 countries (2013-2020)","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","109 197",""
"2011","European Union - 28 countries (2013-2020)","Number","Total","Pneumonia, organism unspecified","112 257",""
"2011","Belgium","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","1 280",""
"2011","Belgium","Number","Total","Other sepsis","1 148",""
"2011","Belgium","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)","2 994",""
"2011","Belgium","Number","Total","Pneumonia, organism unspecified","3 260",""
"2011","Bulgaria","Number","Total","Certain infectious diseases (A00-A40, A42-B99)","290",""
"2011","Bulgaria","Number","Total","Other sepsis","233",""
