"TIME","GEO","UNIT","ICHA11_HF","Value","Flag and Footnotes"
"2009","European Union - 27 countries (from 2020)","Million euro","All financing schemes",":",""
"2009","European Union - 27 countries (from 2020)","Million euro","Government schemes and compulsory contributory health care financing schemes",":",""
"2009","European Union - 27 countries (from 2020)","Million euro","Government schemes",":",""
"2009","European Union - 27 countries (from 2020)","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2009","European Union - 27 countries (from 2020)","Million euro","Social health insurance schemes",":",""
"2009","European Union - 28 countries (2013-2020)","Million euro","All financing schemes",":",""
"2009","European Union - 28 countries (2013-2020)","Million euro","Government schemes and compulsory contributory health care financing schemes",":",""
"2009","European Union - 28 countries (2013-2020)","Million euro","Government schemes",":",""
"2009","European Union - 28 countries (2013-2020)","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2009","European Union - 28 countries (2013-2020)","Million euro","Social health insurance schemes",":",""
"2009","European Union - 27 countries (2007-2013)","Million euro","All financing schemes",":",""
"2009","European Union - 27 countries (2007-2013)","Million euro","Government schemes and compulsory contributory health care financing schemes",":",""
"2009","European Union - 27 countries (2007-2013)","Million euro","Government schemes",":",""
"2009","European Union - 27 countries (2007-2013)","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2009","European Union - 27 countries (2007-2013)","Million euro","Social health insurance schemes",":",""
"2009","European Union - 15 countries (1995-2004)","Million euro","All financing schemes",":",""
"2009","European Union - 15 countries (1995-2004)","Million euro","Government schemes and compulsory contributory health care financing schemes",":",""
"2009","European Union - 15 countries (1995-2004)","Million euro","Government schemes",":",""
"2009","European Union - 15 countries (1995-2004)","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2009","European Union - 15 countries (1995-2004)","Million euro","Social health insurance schemes",":",""
"2009","Euro area - 19 countries  (from 2015)","Million euro","All financing schemes",":",""
"2009","Euro area - 19 countries  (from 2015)","Million euro","Government schemes and compulsory contributory health care financing schemes",":",""
"2009","Euro area - 19 countries  (from 2015)","Million euro","Government schemes",":",""
"2009","Euro area - 19 countries  (from 2015)","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2009","Euro area - 19 countries  (from 2015)","Million euro","Social health insurance schemes",":",""
"2009","Euro area - 18 countries (2014)","Million euro","All financing schemes",":",""
"2009","Euro area - 18 countries (2014)","Million euro","Government schemes and compulsory contributory health care financing schemes",":",""
"2009","Euro area - 18 countries (2014)","Million euro","Government schemes",":",""
