"TIME","GEO","UNIT","ICHA11_HC","Value","Flag and Footnotes"
"2009","European Union - 27 countries (from 2020)","Million euro","Current health care expenditure (CHE)",":",""
"2009","European Union - 27 countries (from 2020)","Million euro","Curative care and rehabilitative care",":",""
"2009","European Union - 27 countries (from 2020)","Million euro","Curative care",":",""
"2009","European Union - 27 countries (from 2020)","Million euro","Inpatient curative and rehabilitative care",":",""
"2009","European Union - 27 countries (from 2020)","Million euro","Inpatient curative care",":",""
"2009","European Union - 28 countries (2013-2020)","Million euro","Current health care expenditure (CHE)",":",""
"2009","European Union - 28 countries (2013-2020)","Million euro","Curative care and rehabilitative care",":",""
"2009","European Union - 28 countries (2013-2020)","Million euro","Curative care",":",""
"2009","European Union - 28 countries (2013-2020)","Million euro","Inpatient curative and rehabilitative care",":",""
"2009","European Union - 28 countries (2013-2020)","Million euro","Inpatient curative care",":",""
"2009","European Union - 27 countries (2007-2013)","Million euro","Current health care expenditure (CHE)",":",""
"2009","European Union - 27 countries (2007-2013)","Million euro","Curative care and rehabilitative care",":",""
"2009","European Union - 27 countries (2007-2013)","Million euro","Curative care",":",""
"2009","European Union - 27 countries (2007-2013)","Million euro","Inpatient curative and rehabilitative care",":",""
"2009","European Union - 27 countries (2007-2013)","Million euro","Inpatient curative care",":",""
"2009","European Union - 15 countries (1995-2004)","Million euro","Current health care expenditure (CHE)",":",""
"2009","European Union - 15 countries (1995-2004)","Million euro","Curative care and rehabilitative care",":",""
"2009","European Union - 15 countries (1995-2004)","Million euro","Curative care",":",""
"2009","European Union - 15 countries (1995-2004)","Million euro","Inpatient curative and rehabilitative care",":",""
"2009","European Union - 15 countries (1995-2004)","Million euro","Inpatient curative care",":",""
"2009","Euro area - 19 countries  (from 2015)","Million euro","Current health care expenditure (CHE)",":",""
"2009","Euro area - 19 countries  (from 2015)","Million euro","Curative care and rehabilitative care",":",""
"2009","Euro area - 19 countries  (from 2015)","Million euro","Curative care",":",""
"2009","Euro area - 19 countries  (from 2015)","Million euro","Inpatient curative and rehabilitative care",":",""
"2009","Euro area - 19 countries  (from 2015)","Million euro","Inpatient curative care",":",""
"2009","Euro area - 18 countries (2014)","Million euro","Current health care expenditure (CHE)",":",""
"2009","Euro area - 18 countries (2014)","Million euro","Curative care and rehabilitative care",":",""
"2009","Euro area - 18 countries (2014)","Million euro","Curative care",":",""
"2009","Euro area - 18 countries (2014)","Million euro","Inpatient curative and rehabilitative care",":",""
"2009","Euro area - 18 countries (2014)","Million euro","Inpatient curative care",":",""
"2009","Euro area - 12 countries (2001-2006)","Million euro","Current health care expenditure (CHE)",":",""
"2009","Euro area - 12 countries (2001-2006)","Million euro","Curative care and rehabilitative care",":",""
"2009","Euro area - 12 countries (2001-2006)","Million euro","Curative care",":",""
"2009","Euro area - 12 countries (2001-2006)","Million euro","Inpatient curative and rehabilitative care",":",""
"2009","Euro area - 12 countries (2001-2006)","Million euro","Inpatient curative care",":",""
"2009","Belgium","Million euro","Current health care expenditure (CHE)","35 879.39",""
"2009","Belgium","Million euro","Curative care and rehabilitative care","18 019.63",""
"2009","Belgium","Million euro","Curative care","15 566.94",""
"2009","Belgium","Million euro","Inpatient curative and rehabilitative care","9 760.23",""
"2009","Belgium","Million euro","Inpatient curative care","8 868.22",""
"2009","Bulgaria","Million euro","Current health care expenditure (CHE)",":",""
"2009","Bulgaria","Million euro","Curative care and rehabilitative care",":",""
"2009","Bulgaria","Million euro","Curative care",":",""
"2009","Bulgaria","Million euro","Inpatient curative and rehabilitative care",":",""
"2009","Bulgaria","Million euro","Inpatient curative care",":",""
"2009","Czechia","Million euro","Current health care expenditure (CHE)",":",""
