"TIME","GEO","UNIT","ICHA11_HP","Value","Flag and Footnotes"
"2009","European Union - 27 countries (from 2020)","Million euro","All providers of health care",":",""
"2009","European Union - 27 countries (from 2020)","Million euro","Hospitals",":",""
"2009","European Union - 27 countries (from 2020)","Million euro","General hospitals",":",""
"2009","European Union - 27 countries (from 2020)","Million euro","Mental health hospitals",":",""
"2009","European Union - 27 countries (from 2020)","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2009","European Union - 28 countries (2013-2020)","Million euro","All providers of health care",":",""
"2009","European Union - 28 countries (2013-2020)","Million euro","Hospitals",":",""
"2009","European Union - 28 countries (2013-2020)","Million euro","General hospitals",":",""
"2009","European Union - 28 countries (2013-2020)","Million euro","Mental health hospitals",":",""
"2009","European Union - 28 countries (2013-2020)","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2009","European Union - 27 countries (2007-2013)","Million euro","All providers of health care",":",""
"2009","European Union - 27 countries (2007-2013)","Million euro","Hospitals",":",""
"2009","European Union - 27 countries (2007-2013)","Million euro","General hospitals",":",""
"2009","European Union - 27 countries (2007-2013)","Million euro","Mental health hospitals",":",""
"2009","European Union - 27 countries (2007-2013)","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2009","European Union - 15 countries (1995-2004)","Million euro","All providers of health care",":",""
"2009","European Union - 15 countries (1995-2004)","Million euro","Hospitals",":",""
"2009","European Union - 15 countries (1995-2004)","Million euro","General hospitals",":",""
"2009","European Union - 15 countries (1995-2004)","Million euro","Mental health hospitals",":",""
"2009","European Union - 15 countries (1995-2004)","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2009","Euro area - 19 countries  (from 2015)","Million euro","All providers of health care",":",""
"2009","Euro area - 19 countries  (from 2015)","Million euro","Hospitals",":",""
"2009","Euro area - 19 countries  (from 2015)","Million euro","General hospitals",":",""
"2009","Euro area - 19 countries  (from 2015)","Million euro","Mental health hospitals",":",""
"2009","Euro area - 19 countries  (from 2015)","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2009","Euro area - 18 countries (2014)","Million euro","All providers of health care",":",""
"2009","Euro area - 18 countries (2014)","Million euro","Hospitals",":",""
"2009","Euro area - 18 countries (2014)","Million euro","General hospitals",":",""
"2009","Euro area - 18 countries (2014)","Million euro","Mental health hospitals",":",""
"2009","Euro area - 18 countries (2014)","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2009","Euro area - 12 countries (2001-2006)","Million euro","All providers of health care",":",""
"2009","Euro area - 12 countries (2001-2006)","Million euro","Hospitals",":",""
"2009","Euro area - 12 countries (2001-2006)","Million euro","General hospitals",":",""
"2009","Euro area - 12 countries (2001-2006)","Million euro","Mental health hospitals",":",""
"2009","Euro area - 12 countries (2001-2006)","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2009","Belgium","Million euro","All providers of health care","35 879.39",""
"2009","Belgium","Million euro","Hospitals","11 661.88",""
"2009","Belgium","Million euro","General hospitals","10 185.76",""
"2009","Belgium","Million euro","Mental health hospitals","1 416.28",""
"2009","Belgium","Million euro","Specialised hospitals (other than mental health hospitals)","59.84",""
"2009","Bulgaria","Million euro","All providers of health care",":",""
"2009","Bulgaria","Million euro","Hospitals",":",""
"2009","Bulgaria","Million euro","General hospitals",":",""
"2009","Bulgaria","Million euro","Mental health hospitals",":",""
"2009","Bulgaria","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2009","Czechia","Million euro","All providers of health care",":",""
"2009","Czechia","Million euro","Hospitals",":",""
"2009","Czechia","Million euro","General hospitals",":",""
"2009","Czechia","Million euro","Mental health hospitals",":",""
"2009","Czechia","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2009","Denmark","Million euro","All providers of health care",":",""
"2009","Denmark","Million euro","Hospitals",":",""
"2009","Denmark","Million euro","General hospitals",":",""
"2009","Denmark","Million euro","Mental health hospitals",":",""
"2009","Denmark","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2009","Germany (until 1990 former territory of the FRG)","Million euro","All providers of health care","274 841.00",""
"2009","Germany (until 1990 former territory of the FRG)","Million euro","Hospitals","79 394.00",""
"2009","Germany (until 1990 former territory of the FRG)","Million euro","General hospitals","71 192.00",""
"2009","Germany (until 1990 former territory of the FRG)","Million euro","Mental health hospitals",":",""
"2009","Germany (until 1990 former territory of the FRG)","Million euro","Specialised hospitals (other than mental health hospitals)","8 202.00",""
"2009","Estonia","Million euro","All providers of health care","925.55",""
"2009","Estonia","Million euro","Hospitals","444.73",""
"2009","Estonia","Million euro","General hospitals","420.03",""
"2009","Estonia","Million euro","Mental health hospitals","2.61",""
"2009","Estonia","Million euro","Specialised hospitals (other than mental health hospitals)","22.10",""
"2009","Ireland","Million euro","All providers of health care",":",""
"2009","Ireland","Million euro","Hospitals",":",""
"2009","Ireland","Million euro","General hospitals",":",""
"2009","Ireland","Million euro","Mental health hospitals",":",""
"2009","Ireland","Million euro","Specialised hospitals (other than mental health hospitals)",":",""
"2009","Greece","Million euro","All providers of health care","22 344.57",""
"2009","Greece","Million euro","Hospitals","9 514.29",""
"2009","Greece","Million euro","General hospitals","8 219.03",""
"2009","Greece","Million euro","Mental health hospitals","436.46",""
"2009","Greece","Million euro","Specialised hospitals (other than mental health hospitals)","858.79",""
"2009","Spain","Million euro","All providers of health care","97 384.01",""
"2009","Spain","Million euro","Hospitals","40 031.29",""
"2009","Spain","Million euro","General hospitals","37 154.64",""
"2009","Spain","Million euro","Mental health hospitals","757.26",""
"2009","Spain","Million euro","Specialised hospitals (other than mental health hospitals)","2 119.39",""
"2009","France","Million euro","All providers of health care","218 751.88",""
"2009","France","Million euro","Hospitals","82 777.86",""
"2009","France","Million euro","General hospitals","69 581.96",""
"2009","France","Million euro","Mental health hospitals","12 875.56",""
