"TIME","GEO","UNIT","SOURCE","ICD10","Value","Flag and Footnotes"
"2010","Belgium","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2010","Belgium","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2010","Belgium","Percentage","Programme data","Malignant neoplasm of breast","61.80",""
"2010","Belgium","Percentage","Programme data","Malignant neoplasm of cervix uteri","63.39",""
"2010","Bulgaria","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2010","Bulgaria","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2010","Bulgaria","Percentage","Programme data","Malignant neoplasm of breast",":",""
"2010","Bulgaria","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2010","Czechia","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2010","Czechia","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2010","Czechia","Percentage","Programme data","Malignant neoplasm of breast","49.50",""
"2010","Czechia","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2010","Denmark","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2010","Denmark","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2010","Denmark","Percentage","Programme data","Malignant neoplasm of breast","77.40",""
"2010","Denmark","Percentage","Programme data","Malignant neoplasm of cervix uteri","64.90","d"
"2010","Germany (until 1990 former territory of the FRG)","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2010","Germany (until 1990 former territory of the FRG)","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2010","Germany (until 1990 former territory of the FRG)","Percentage","Programme data","Malignant neoplasm of breast","53.70",""
"2010","Germany (until 1990 former territory of the FRG)","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2010","Estonia","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2010","Estonia","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2010","Estonia","Percentage","Programme data","Malignant neoplasm of breast","62.00","d"
"2010","Estonia","Percentage","Programme data","Malignant neoplasm of cervix uteri","44.00","d"
"2010","Ireland","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2010","Ireland","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2010","Ireland","Percentage","Programme data","Malignant neoplasm of breast","73.90","d"
"2010","Ireland","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2010","Greece","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2010","Greece","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2010","Greece","Percentage","Programme data","Malignant neoplasm of breast",":",""
"2010","Greece","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2010","Spain","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2010","Spain","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2010","Spain","Percentage","Programme data","Malignant neoplasm of breast",":",""
"2010","Spain","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2010","France","Percentage","Survey data","Malignant neoplasm of breast","75.40",""
"2010","France","Percentage","Survey data","Malignant neoplasm of cervix uteri","71.13",""
"2010","France","Percentage","Programme data","Malignant neoplasm of breast","52.70",""
"2010","France","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2010","Croatia","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2010","Croatia","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2010","Croatia","Percentage","Programme data","Malignant neoplasm of breast","57.00",""
"2010","Croatia","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2010","Italy","Percentage","Survey data","Malignant neoplasm of breast","70.00",""
"2010","Italy","Percentage","Survey data","Malignant neoplasm of cervix uteri","76.00",""
"2010","Italy","Percentage","Programme data","Malignant neoplasm of breast","59.20",""
"2010","Italy","Percentage","Programme data","Malignant neoplasm of cervix uteri","40.00",""
"2010","Cyprus","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2010","Cyprus","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2010","Cyprus","Percentage","Programme data","Malignant neoplasm of breast",":",""
"2010","Cyprus","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2010","Latvia","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2010","Latvia","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2010","Latvia","Percentage","Programme data","Malignant neoplasm of breast","19.40",""
"2010","Latvia","Percentage","Programme data","Malignant neoplasm of cervix uteri","15.30",""
"2010","Lithuania","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2010","Lithuania","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2010","Lithuania","Percentage","Programme data","Malignant neoplasm of breast","28.60",""
"2010","Lithuania","Percentage","Programme data","Malignant neoplasm of cervix uteri","43.20","d"
"2010","Luxembourg","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2010","Luxembourg","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2010","Luxembourg","Percentage","Programme data","Malignant neoplasm of breast","62.00",""
"2010","Luxembourg","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2010","Hungary","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2010","Hungary","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2010","Hungary","Percentage","Programme data","Malignant neoplasm of breast","47.13",""
"2010","Hungary","Percentage","Programme data","Malignant neoplasm of cervix uteri","38.68",""
"2010","Malta","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2010","Malta","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2010","Malta","Percentage","Programme data","Malignant neoplasm of breast","47.40","d"
"2010","Malta","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2010","Netherlands","Percentage","Survey data","Malignant neoplasm of breast","87.60","b"
"2010","Netherlands","Percentage","Survey data","Malignant neoplasm of cervix uteri","65.70","b"
"2010","Netherlands","Percentage","Programme data","Malignant neoplasm of breast","81.50",""
"2010","Netherlands","Percentage","Programme data","Malignant neoplasm of cervix uteri","65.50","d"
"2010","Austria","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2010","Austria","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2010","Austria","Percentage","Programme data","Malignant neoplasm of breast",":",""
"2010","Austria","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2010","Poland","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2010","Poland","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2010","Poland","Percentage","Programme data","Malignant neoplasm of breast",":",""
"2010","Poland","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2010","Portugal","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2010","Portugal","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2010","Portugal","Percentage","Programme data","Malignant neoplasm of breast",":",""
"2010","Portugal","Percentage","Programme data","Malignant neoplasm of cervix uteri",":",""
"2010","Romania","Percentage","Survey data","Malignant neoplasm of breast",":",""
"2010","Romania","Percentage","Survey data","Malignant neoplasm of cervix uteri",":",""
"2010","Romania","Percentage","Programme data","Malignant neoplasm of breast",":",""
