"TIME","GEO","OWNER","UNIT","Value","Flag and Footnotes"
"2010","Belgium","Public ownership","Number","18 150.00",""
"2010","Belgium","Public ownership","Inhabitants per ...","601.67",""
"2010","Belgium","Public ownership","Per hundred thousand inhabitants","166.20",""
"2010","Belgium","Not-for-profit private ownership","Number","48 495.00",""
"2010","Belgium","Not-for-profit private ownership","Inhabitants per ...","225.18",""
"2010","Belgium","Not-for-profit private ownership","Per hundred thousand inhabitants","444.08",""
"2010","Belgium","For-profit private ownership","Number",":",""
"2010","Belgium","For-profit private ownership","Inhabitants per ...",":",""
"2010","Belgium","For-profit private ownership","Per hundred thousand inhabitants",":",""
"2010","Bulgaria","Public ownership","Number","43 112.00",""
"2010","Bulgaria","Public ownership","Inhabitants per ...","171.54",""
"2010","Bulgaria","Public ownership","Per hundred thousand inhabitants","582.94",""
"2010","Bulgaria","Not-for-profit private ownership","Number","0.00",""
"2010","Bulgaria","Not-for-profit private ownership","Inhabitants per ...",":",""
"2010","Bulgaria","Not-for-profit private ownership","Per hundred thousand inhabitants","0.00",""
"2010","Bulgaria","For-profit private ownership","Number","5 822.00",""
"2010","Bulgaria","For-profit private ownership","Inhabitants per ...","1 270.28",""
"2010","Bulgaria","For-profit private ownership","Per hundred thousand inhabitants","78.72",""
"2010","Czechia","Public ownership","Number","65 673.00","b"
"2010","Czechia","Public ownership","Inhabitants per ...","159.49",""
"2010","Czechia","Public ownership","Per hundred thousand inhabitants","626.99",""
"2010","Czechia","Not-for-profit private ownership","Number","311.00","b"
"2010","Czechia","Not-for-profit private ownership","Inhabitants per ...","33 679.77",""
"2010","Czechia","Not-for-profit private ownership","Per hundred thousand inhabitants","2.97",""
"2010","Czechia","For-profit private ownership","Number","10 429.00","b"
"2010","Czechia","For-profit private ownership","Inhabitants per ...","1 004.35",""
"2010","Czechia","For-profit private ownership","Per hundred thousand inhabitants","99.57",""
"2010","Denmark","Public ownership","Number","18 536.00",""
"2010","Denmark","Public ownership","Inhabitants per ...","299.29",""
"2010","Denmark","Public ownership","Per hundred thousand inhabitants","334.12",""
"2010","Denmark","Not-for-profit private ownership","Number","468.00",""
"2010","Denmark","Not-for-profit private ownership","Inhabitants per ...","11 854.02",""
"2010","Denmark","Not-for-profit private ownership","Per hundred thousand inhabitants","8.44",""
"2010","Denmark","For-profit private ownership","Number","401.00",""
"2010","Denmark","For-profit private ownership","Inhabitants per ...","13 834.62",""
"2010","Denmark","For-profit private ownership","Per hundred thousand inhabitants","7.23",""
"2010","Germany (until 1990 former territory of the FRG)","Public ownership","Number","273 789.00",""
"2010","Germany (until 1990 former territory of the FRG)","Public ownership","Inhabitants per ...","295.89",""
"2010","Germany (until 1990 former territory of the FRG)","Public ownership","Per hundred thousand inhabitants","337.96",""
"2010","Germany (until 1990 former territory of the FRG)","Not-for-profit private ownership","Number","200 672.00",""
"2010","Germany (until 1990 former territory of the FRG)","Not-for-profit private ownership","Inhabitants per ...","403.70",""
"2010","Germany (until 1990 former territory of the FRG)","Not-for-profit private ownership","Per hundred thousand inhabitants","247.71",""
"2010","Germany (until 1990 former territory of the FRG)","For-profit private ownership","Number","200 012.00",""
"2010","Germany (until 1990 former territory of the FRG)","For-profit private ownership","Inhabitants per ...","405.04",""
"2010","Germany (until 1990 former territory of the FRG)","For-profit private ownership","Per hundred thousand inhabitants","246.89",""
"2010","Estonia","Public ownership","Number","6 321.00",""
"2010","Estonia","Public ownership","Inhabitants per ...","210.64",""
"2010","Estonia","Public ownership","Per hundred thousand inhabitants","474.74",""
"2010","Estonia","Not-for-profit private ownership","Number","376.00",""
