"TIME","GEO","FACILITY","UNIT","Value","Flag and Footnotes"
"2010","Belgium","Operation theatres in hospital","Number","1 220.00",""
"2010","Belgium","Day care places altogether","Number","5 960.00",""
"2010","Belgium","Surgical day care places","Number","2 039.00",""
"2010","Belgium","Oncological day care place","Number","1 362.00",""
"2010","Belgium","Psychiatric day care place","Number","2 279.00",""
"2010","Belgium","Geriatric day care places","Number","568.00",""
"2010","Bulgaria","Operation theatres in hospital","Number",":",""
"2010","Bulgaria","Day care places altogether","Number",":",""
"2010","Bulgaria","Surgical day care places","Number",":",""
"2010","Bulgaria","Oncological day care place","Number",":",""
"2010","Bulgaria","Psychiatric day care place","Number",":",""
"2010","Bulgaria","Geriatric day care places","Number",":",""
"2010","Czechia","Operation theatres in hospital","Number","996.00",""
"2010","Czechia","Day care places altogether","Number",":",""
"2010","Czechia","Surgical day care places","Number",":",""
"2010","Czechia","Oncological day care place","Number",":",""
"2010","Czechia","Psychiatric day care place","Number",":",""
"2010","Czechia","Geriatric day care places","Number",":",""
"2010","Denmark","Operation theatres in hospital","Number",":",""
"2010","Denmark","Day care places altogether","Number",":",""
"2010","Denmark","Surgical day care places","Number",":",""
"2010","Denmark","Oncological day care place","Number",":",""
"2010","Denmark","Psychiatric day care place","Number",":",""
"2010","Denmark","Geriatric day care places","Number",":",""
"2010","Germany (until 1990 former territory of the FRG)","Operation theatres in hospital","Number",":",""
"2010","Germany (until 1990 former territory of the FRG)","Day care places altogether","Number","23 615.00",""
"2010","Germany (until 1990 former territory of the FRG)","Surgical day care places","Number","47.00",""
"2010","Germany (until 1990 former territory of the FRG)","Oncological day care place","Number","910.00",""
"2010","Germany (until 1990 former territory of the FRG)","Psychiatric day care place","Number","15 496.00",""
"2010","Germany (until 1990 former territory of the FRG)","Geriatric day care places","Number","1 839.00",""
"2010","Estonia","Operation theatres in hospital","Number",":",""
"2010","Estonia","Day care places altogether","Number","349.00",""
"2010","Estonia","Surgical day care places","Number",":",""
"2010","Estonia","Oncological day care place","Number",":",""
"2010","Estonia","Psychiatric day care place","Number",":",""
"2010","Estonia","Geriatric day care places","Number",":",""
"2010","Ireland","Operation theatres in hospital","Number",":",""
"2010","Ireland","Day care places altogether","Number","1 857.00",""
"2010","Ireland","Surgical day care places","Number",":",""
"2010","Ireland","Oncological day care place","Number",":",""
"2010","Ireland","Psychiatric day care place","Number",":",""
"2010","Ireland","Geriatric day care places","Number",":",""
"2010","Greece","Operation theatres in hospital","Number",":",""
"2010","Greece","Day care places altogether","Number","2 578.00",""
"2010","Greece","Surgical day care places","Number",":",""
"2010","Greece","Oncological day care place","Number",":",""
"2010","Greece","Psychiatric day care place","Number",":",""
"2010","Greece","Geriatric day care places","Number",":",""
"2010","Spain","Operation theatres in hospital","Number","4 120.00","b"
"2010","Spain","Day care places altogether","Number","14 320.00","b"
"2010","Spain","Surgical day care places","Number","2 562.00",""
"2010","Spain","Oncological day care place","Number","6 410.00",""
"2010","Spain","Psychiatric day care place","Number","3 068.00",""
"2010","Spain","Geriatric day care places","Number","2 280.00",""
"2010","France","Operation theatres in hospital","Number",":",""
"2010","France","Day care places altogether","Number","63 385.00",""
"2010","France","Surgical day care places","Number","13 346.00",""
"2010","France","Oncological day care place","Number",":",""
"2010","France","Psychiatric day care place","Number","28 285.00",""
"2010","France","Geriatric day care places","Number",":",""
"2010","Croatia","Operation theatres in hospital","Number",":",""
"2010","Croatia","Day care places altogether","Number",":",""
"2010","Croatia","Surgical day care places","Number",":",""
"2010","Croatia","Oncological day care place","Number",":",""
"2010","Croatia","Psychiatric day care place","Number",":",""
"2010","Croatia","Geriatric day care places","Number",":",""
"2010","Italy","Operation theatres in hospital","Number","6 088.00",""
"2010","Italy","Day care places altogether","Number","22 765.00",""
"2010","Italy","Surgical day care places","Number","7 841.00",""
"2010","Italy","Oncological day care place","Number","3 097.00",""
"2010","Italy","Psychiatric day care place","Number","701.00",""
"2010","Italy","Geriatric day care places","Number","262.00",""
"2010","Cyprus","Operation theatres in hospital","Number",":",""
"2010","Cyprus","Day care places altogether","Number","208.00","d"
"2010","Cyprus","Surgical day care places","Number","8.00","d"
"2010","Cyprus","Oncological day care place","Number","27.00","d"
"2010","Cyprus","Psychiatric day care place","Number","0.00",""
"2010","Cyprus","Geriatric day care places","Number","0.00",""
"2010","Latvia","Operation theatres in hospital","Number","197.00",""
"2010","Latvia","Day care places altogether","Number","1 323.00",""
"2010","Latvia","Surgical day care places","Number",":",""
"2010","Latvia","Oncological day care place","Number",":",""
"2010","Latvia","Psychiatric day care place","Number","120.00",""
"2010","Latvia","Geriatric day care places","Number",":",""
"2010","Lithuania","Operation theatres in hospital","Number",":",""
"2010","Lithuania","Day care places altogether","Number",":",""
"2010","Lithuania","Surgical day care places","Number",":",""
"2010","Lithuania","Oncological day care place","Number",":",""
"2010","Lithuania","Psychiatric day care place","Number",":",""
"2010","Lithuania","Geriatric day care places","Number",":",""
"2010","Luxembourg","Operation theatres in hospital","Number","52.00",""
"2010","Luxembourg","Day care places altogether","Number",":",""
"2010","Luxembourg","Surgical day care places","Number",":",""
"2010","Luxembourg","Oncological day care place","Number",":",""
"2010","Luxembourg","Psychiatric day care place","Number",":",""
"2010","Luxembourg","Geriatric day care places","Number",":",""
"2010","Hungary","Operation theatres in hospital","Number",":",""
"2010","Hungary","Day care places altogether","Number",":",""
"2010","Hungary","Surgical day care places","Number",":",""
"2010","Hungary","Oncological day care place","Number",":",""
"2010","Hungary","Psychiatric day care place","Number",":",""
"2010","Hungary","Geriatric day care places","Number",":",""
"2010","Malta","Operation theatres in hospital","Number","45.00",""
"2010","Malta","Day care places altogether","Number","149.00","e"
"2010","Malta","Surgical day care places","Number",":",""
"2010","Malta","Oncological day care place","Number",":",""
"2010","Malta","Psychiatric day care place","Number",":",""
"2010","Malta","Geriatric day care places","Number",":",""
"2010","Netherlands","Operation theatres in hospital","Number",":",""
"2010","Netherlands","Day care places altogether","Number",":",""
"2010","Netherlands","Surgical day care places","Number",":",""
"2010","Netherlands","Oncological day care place","Number",":",""
"2010","Netherlands","Psychiatric day care place","Number",":",""
"2010","Netherlands","Geriatric day care places","Number",":",""
"2010","Austria","Operation theatres in hospital","Number","288.00","e"
"2010","Austria","Day care places altogether","Number",":",""
"2010","Austria","Surgical day care places","Number",":",""
"2010","Austria","Oncological day care place","Number",":",""
"2010","Austria","Psychiatric day care place","Number",":",""
"2010","Austria","Geriatric day care places","Number",":",""
"2010","Poland","Operation theatres in hospital","Number","3 154.00",""
"2010","Poland","Day care places altogether","Number","7 585.00",""
"2010","Poland","Surgical day care places","Number","1 036.00",""
"2010","Poland","Oncological day care place","Number","446.00",""
"2010","Poland","Psychiatric day care place","Number","1 160.00",""
"2010","Poland","Geriatric day care places","Number","0.00",""
"2010","Portugal","Operation theatres in hospital","Number","827.00",""
"2010","Portugal","Day care places altogether","Number","841.00",""
"2010","Portugal","Surgical day care places","Number",":",""
"2010","Portugal","Oncological day care place","Number",":",""
"2010","Portugal","Psychiatric day care place","Number",":",""
"2010","Portugal","Geriatric day care places","Number",":",""
"2010","Romania","Operation theatres in hospital","Number","1 768.00",""
"2010","Romania","Day care places altogether","Number","5 733.00",""
"2010","Romania","Surgical day care places","Number","565.00",""
"2010","Romania","Oncological day care place","Number","318.00",""
"2010","Romania","Psychiatric day care place","Number","300.00",""
"2010","Romania","Geriatric day care places","Number","1.00",""
"2010","Slovenia","Operation theatres in hospital","Number","148.00",""
"2010","Slovenia","Day care places altogether","Number",":",""
"2010","Slovenia","Surgical day care places","Number",":",""
"2010","Slovenia","Oncological day care place","Number",":",""
"2010","Slovenia","Psychiatric day care place","Number",":",""
"2010","Slovenia","Geriatric day care places","Number",":",""
"2010","Slovakia","Operation theatres in hospital","Number",":",""
"2010","Slovakia","Day care places altogether","Number","3 373.00",""
"2010","Slovakia","Surgical day care places","Number","1 589.00",""
"2010","Slovakia","Oncological day care place","Number","4.00",""
"2010","Slovakia","Psychiatric day care place","Number","480.00",""
"2010","Slovakia","Geriatric day care places","Number","10.00",""
"2010","Liechtenstein","Operation theatres in hospital","Number","4.00",""
"2010","Liechtenstein","Day care places altogether","Number","7.00",""
"2010","Liechtenstein","Surgical day care places","Number","7.00",""
"2010","Liechtenstein","Oncological day care place","Number","0.00",""
"2010","Liechtenstein","Psychiatric day care place","Number","0.00",""
"2010","Liechtenstein","Geriatric day care places","Number","0.00",""
"2010","Switzerland","Operation theatres in hospital","Number","956.00","b"
"2010","Switzerland","Day care places altogether","Number",":",""
"2010","Switzerland","Surgical day care places","Number",":",""
"2010","Switzerland","Oncological day care place","Number",":",""
"2010","Switzerland","Psychiatric day care place","Number",":",""
"2010","Switzerland","Geriatric day care places","Number",":",""
"2010","United Kingdom","Operation theatres in hospital","Number","3 739.00","e"
"2010","United Kingdom","Day care places altogether","Number","13 186.00","e"
"2010","United Kingdom","Surgical day care places","Number",":",""
"2010","United Kingdom","Oncological day care place","Number",":",""
"2010","United Kingdom","Psychiatric day care place","Number",":",""
"2010","United Kingdom","Geriatric day care places","Number",":",""
"2010","North Macedonia","Operation theatres in hospital","Number",":",""
"2010","North Macedonia","Day care places altogether","Number","148.00",""
"2010","North Macedonia","Surgical day care places","Number","0.00",""
"2010","North Macedonia","Oncological day care place","Number","42.00",""
"2010","North Macedonia","Psychiatric day care place","Number","10.00",""
