"TIME","GEO","UNIT","FACILITY","ICHA_HP","Value","Flag and Footnotes"
"2010","Belgium","Number","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","152.00","d"
"2010","Belgium","Number","Computed Tomography Scanners","Hospitals","144.00","d"
"2010","Belgium","Number","Computed Tomography Scanners","Providers of ambulatory health care","8.00",""
"2010","Belgium","Number","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care","116.00",""
"2010","Belgium","Number","Magnetic Resonance Imaging Units","Hospitals","116.00",""
"2010","Belgium","Number","Magnetic Resonance Imaging Units","Providers of ambulatory health care","0.00",""
"2010","Belgium","Number","Gamma cameras","Hospitals and providers of ambulatory health care",":",""
"2010","Belgium","Number","Gamma cameras","Hospitals","322.00",""
"2010","Belgium","Number","Gamma cameras","Providers of ambulatory health care",":",""
"2010","Belgium","Number","Angiography units","Hospitals and providers of ambulatory health care",":",""
"2010","Belgium","Number","Angiography units","Hospitals","133.00",""
"2010","Belgium","Number","Angiography units","Providers of ambulatory health care",":",""
"2010","Belgium","Number","Lithotriptors","Hospitals and providers of ambulatory health care",":",""
"2010","Belgium","Number","Lithotriptors","Hospitals","49.00",""
"2010","Belgium","Number","Lithotriptors","Providers of ambulatory health care",":",""
"2010","Belgium","Inhabitants per ...","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","71 843.89",""
"2010","Belgium","Inhabitants per ...","Computed Tomography Scanners","Hospitals","75 835.22",""
"2010","Belgium","Inhabitants per ...","Computed Tomography Scanners","Providers of ambulatory health care","1 365 033.94",""
"2010","Belgium","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care","94 140.27",""
"2010","Belgium","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals","94 140.27",""
"2010","Belgium","Inhabitants per ...","Magnetic Resonance Imaging Units","Providers of ambulatory health care",":",""
"2010","Belgium","Inhabitants per ...","Gamma cameras","Hospitals and providers of ambulatory health care",":",""
"2010","Belgium","Inhabitants per ...","Gamma cameras","Hospitals","33 913.89",""
"2010","Belgium","Inhabitants per ...","Gamma cameras","Providers of ambulatory health care",":",""
"2010","Belgium","Inhabitants per ...","Angiography units","Hospitals and providers of ambulatory health care",":",""
"2010","Belgium","Inhabitants per ...","Angiography units","Hospitals","82 107.30",""
"2010","Belgium","Inhabitants per ...","Angiography units","Providers of ambulatory health care",":",""
"2010","Belgium","Inhabitants per ...","Lithotriptors","Hospitals and providers of ambulatory health care",":",""
"2010","Belgium","Inhabitants per ...","Lithotriptors","Hospitals","222 862.68",""
"2010","Belgium","Inhabitants per ...","Lithotriptors","Providers of ambulatory health care",":",""
"2010","Belgium","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","1.39",""
"2010","Belgium","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals","1.32",""
"2010","Belgium","Per hundred thousand inhabitants","Computed Tomography Scanners","Providers of ambulatory health care","0.07",""
"2010","Belgium","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care","1.06",""
"2010","Belgium","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals","1.06",""
"2010","Belgium","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Providers of ambulatory health care","0.00",""
"2010","Belgium","Per hundred thousand inhabitants","Gamma cameras","Hospitals and providers of ambulatory health care",":",""
"2010","Belgium","Per hundred thousand inhabitants","Gamma cameras","Hospitals","2.95",""
"2010","Belgium","Per hundred thousand inhabitants","Gamma cameras","Providers of ambulatory health care",":",""
"2010","Belgium","Per hundred thousand inhabitants","Angiography units","Hospitals and providers of ambulatory health care",":",""
"2010","Belgium","Per hundred thousand inhabitants","Angiography units","Hospitals","1.22",""
"2010","Belgium","Per hundred thousand inhabitants","Angiography units","Providers of ambulatory health care",":",""
"2010","Belgium","Per hundred thousand inhabitants","Lithotriptors","Hospitals and providers of ambulatory health care",":",""
"2010","Belgium","Per hundred thousand inhabitants","Lithotriptors","Hospitals","0.45",""
"2010","Belgium","Per hundred thousand inhabitants","Lithotriptors","Providers of ambulatory health care",":",""
"2010","Bulgaria","Number","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","224.00",""
"2010","Bulgaria","Number","Computed Tomography Scanners","Hospitals","149.00",""
"2010","Bulgaria","Number","Computed Tomography Scanners","Providers of ambulatory health care","75.00",""
"2010","Bulgaria","Number","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care","31.00",""
"2010","Bulgaria","Number","Magnetic Resonance Imaging Units","Hospitals","15.00",""
"2010","Bulgaria","Number","Magnetic Resonance Imaging Units","Providers of ambulatory health care","16.00",""
"2010","Bulgaria","Number","Gamma cameras","Hospitals and providers of ambulatory health care","20.00",""
"2010","Bulgaria","Number","Gamma cameras","Hospitals","19.00",""
"2010","Bulgaria","Number","Gamma cameras","Providers of ambulatory health care","1.00",""
"2010","Bulgaria","Number","Angiography units","Hospitals and providers of ambulatory health care",":",""
"2010","Bulgaria","Number","Angiography units","Hospitals",":",""
"2010","Bulgaria","Number","Angiography units","Providers of ambulatory health care",":",""
"2010","Bulgaria","Number","Lithotriptors","Hospitals and providers of ambulatory health care",":",""
"2010","Bulgaria","Number","Lithotriptors","Hospitals",":",""
"2010","Bulgaria","Number","Lithotriptors","Providers of ambulatory health care",":",""
"2010","Bulgaria","Inhabitants per ...","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","33 016.06",""
"2010","Bulgaria","Inhabitants per ...","Computed Tomography Scanners","Hospitals","49 634.89",""
"2010","Bulgaria","Inhabitants per ...","Computed Tomography Scanners","Providers of ambulatory health care","98 607.98",""
"2010","Bulgaria","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care","238 567.69",""
"2010","Bulgaria","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals","493 039.90",""
"2010","Bulgaria","Inhabitants per ...","Magnetic Resonance Imaging Units","Providers of ambulatory health care","462 224.91",""
"2010","Bulgaria","Inhabitants per ...","Gamma cameras","Hospitals and providers of ambulatory health care","369 779.93",""
"2010","Bulgaria","Inhabitants per ...","Gamma cameras","Hospitals","389 242.03",""
"2010","Bulgaria","Inhabitants per ...","Gamma cameras","Providers of ambulatory health care","7 395 598.50",""
"2010","Bulgaria","Inhabitants per ...","Angiography units","Hospitals and providers of ambulatory health care",":",""
"2010","Bulgaria","Inhabitants per ...","Angiography units","Hospitals",":",""
"2010","Bulgaria","Inhabitants per ...","Angiography units","Providers of ambulatory health care",":",""
"2010","Bulgaria","Inhabitants per ...","Lithotriptors","Hospitals and providers of ambulatory health care",":",""
"2010","Bulgaria","Inhabitants per ...","Lithotriptors","Hospitals",":",""
"2010","Bulgaria","Inhabitants per ...","Lithotriptors","Providers of ambulatory health care",":",""
"2010","Bulgaria","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","3.03",""
"2010","Bulgaria","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals","2.01",""
"2010","Bulgaria","Per hundred thousand inhabitants","Computed Tomography Scanners","Providers of ambulatory health care","1.01",""
"2010","Bulgaria","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care","0.42",""
"2010","Bulgaria","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals","0.20",""
"2010","Bulgaria","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Providers of ambulatory health care","0.22",""
"2010","Bulgaria","Per hundred thousand inhabitants","Gamma cameras","Hospitals and providers of ambulatory health care","0.27",""
"2010","Bulgaria","Per hundred thousand inhabitants","Gamma cameras","Hospitals","0.26",""
"2010","Bulgaria","Per hundred thousand inhabitants","Gamma cameras","Providers of ambulatory health care","0.01",""
"2010","Bulgaria","Per hundred thousand inhabitants","Angiography units","Hospitals and providers of ambulatory health care",":",""
"2010","Bulgaria","Per hundred thousand inhabitants","Angiography units","Hospitals",":",""
"2010","Bulgaria","Per hundred thousand inhabitants","Angiography units","Providers of ambulatory health care",":",""
"2010","Bulgaria","Per hundred thousand inhabitants","Lithotriptors","Hospitals and providers of ambulatory health care",":",""
"2010","Bulgaria","Per hundred thousand inhabitants","Lithotriptors","Hospitals",":",""
"2010","Bulgaria","Per hundred thousand inhabitants","Lithotriptors","Providers of ambulatory health care",":",""
"2010","Czechia","Number","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","152.00",""
"2010","Czechia","Number","Computed Tomography Scanners","Hospitals","141.00",""
"2010","Czechia","Number","Computed Tomography Scanners","Providers of ambulatory health care","11.00",""
"2010","Czechia","Number","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care","66.00",""
"2010","Czechia","Number","Magnetic Resonance Imaging Units","Hospitals","55.00",""
"2010","Czechia","Number","Magnetic Resonance Imaging Units","Providers of ambulatory health care","11.00",""
"2010","Czechia","Number","Gamma cameras","Hospitals and providers of ambulatory health care","122.00",""
"2010","Czechia","Number","Gamma cameras","Hospitals",":",""
"2010","Czechia","Number","Gamma cameras","Providers of ambulatory health care",":",""
"2010","Czechia","Number","Angiography units","Hospitals and providers of ambulatory health care","79.00",""
"2010","Czechia","Number","Angiography units","Hospitals",":",""
"2010","Czechia","Number","Angiography units","Providers of ambulatory health care",":",""
"2010","Czechia","Number","Lithotriptors","Hospitals and providers of ambulatory health care","32.00",""
"2010","Czechia","Number","Lithotriptors","Hospitals",":",""
"2010","Czechia","Number","Lithotriptors","Providers of ambulatory health care",":",""
"2010","Czechia","Inhabitants per ...","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","68 910.59",""
"2010","Czechia","Inhabitants per ...","Computed Tomography Scanners","Hospitals","74 286.59",""
"2010","Czechia","Inhabitants per ...","Computed Tomography Scanners","Providers of ambulatory health care","952 219.05",""
"2010","Czechia","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care","158 703.17",""
"2010","Czechia","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals","190 443.81",""
"2010","Czechia","Inhabitants per ...","Magnetic Resonance Imaging Units","Providers of ambulatory health care","952 219.05",""
"2010","Czechia","Inhabitants per ...","Gamma cameras","Hospitals and providers of ambulatory health care","85 855.82",""
"2010","Czechia","Inhabitants per ...","Gamma cameras","Hospitals",":",""
"2010","Czechia","Inhabitants per ...","Gamma cameras","Providers of ambulatory health care",":",""
"2010","Czechia","Inhabitants per ...","Angiography units","Hospitals and providers of ambulatory health care","132 587.46",""
"2010","Czechia","Inhabitants per ...","Angiography units","Hospitals",":",""
"2010","Czechia","Inhabitants per ...","Angiography units","Providers of ambulatory health care",":",""
"2010","Czechia","Inhabitants per ...","Lithotriptors","Hospitals and providers of ambulatory health care","327 325.30",""
"2010","Czechia","Inhabitants per ...","Lithotriptors","Hospitals",":",""
"2010","Czechia","Inhabitants per ...","Lithotriptors","Providers of ambulatory health care",":",""
"2010","Czechia","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals and providers of ambulatory health care","1.45",""
"2010","Czechia","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals","1.35",""
"2010","Czechia","Per hundred thousand inhabitants","Computed Tomography Scanners","Providers of ambulatory health care","0.11",""
