"TIME","GEO","UNIT","FACILITY","Value","Flag and Footnotes"
"2010","European Union - 27 countries (from 2020)","Number","Available beds in hospitals (HP.1)","2 527 925.00",""
"2010","European Union - 27 countries (from 2020)","Number","Curative care beds in hospitals (HP.1)",":",""
"2010","European Union - 27 countries (from 2020)","Number","Rehabilitative care beds in hospitals (HP.1)",":",""
"2010","European Union - 27 countries (from 2020)","Number","Long-term care beds in hospitals (HP.1)",":",""
"2010","European Union - 27 countries (from 2020)","Number","Other beds in hospitals (HP.1)",":",""
"2010","European Union - 27 countries (from 2020)","Inhabitants per ...","Available beds in hospitals (HP.1)","174.18",""
"2010","European Union - 27 countries (from 2020)","Inhabitants per ...","Curative care beds in hospitals (HP.1)",":",""
"2010","European Union - 27 countries (from 2020)","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)",":",""
"2010","European Union - 27 countries (from 2020)","Inhabitants per ...","Long-term care beds in hospitals (HP.1)",":",""
"2010","European Union - 27 countries (from 2020)","Inhabitants per ...","Other beds in hospitals (HP.1)",":",""
"2010","European Union - 27 countries (from 2020)","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","574.14",""
"2010","European Union - 27 countries (from 2020)","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)",":",""
"2010","European Union - 27 countries (from 2020)","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)",":",""
"2010","European Union - 27 countries (from 2020)","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)",":",""
"2010","European Union - 27 countries (from 2020)","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)",":",""
"2010","European Union - 28 countries (2013-2020)","Number","Available beds in hospitals (HP.1)","2 711 756.00",""
"2010","European Union - 28 countries (2013-2020)","Number","Curative care beds in hospitals (HP.1)",":",""
"2010","European Union - 28 countries (2013-2020)","Number","Rehabilitative care beds in hospitals (HP.1)",":",""
"2010","European Union - 28 countries (2013-2020)","Number","Long-term care beds in hospitals (HP.1)",":",""
"2010","European Union - 28 countries (2013-2020)","Number","Other beds in hospitals (HP.1)",":",""
"2010","European Union - 28 countries (2013-2020)","Inhabitants per ...","Available beds in hospitals (HP.1)","185.51",""
"2010","European Union - 28 countries (2013-2020)","Inhabitants per ...","Curative care beds in hospitals (HP.1)",":",""
"2010","European Union - 28 countries (2013-2020)","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)",":",""
"2010","European Union - 28 countries (2013-2020)","Inhabitants per ...","Long-term care beds in hospitals (HP.1)",":",""
"2010","European Union - 28 countries (2013-2020)","Inhabitants per ...","Other beds in hospitals (HP.1)",":",""
"2010","European Union - 28 countries (2013-2020)","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","539.04",""
"2010","European Union - 28 countries (2013-2020)","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)",":",""
