"TIME","GEO","UNIT","AGE","SEX","Value","Flag and Footnotes"
"2010","European Union - 27 countries (from 2020)","Number","Total","Total",":",""
"2010","European Union - 27 countries (from 2020)","Number","Less than 35 years","Total",":",""
"2010","European Union - 27 countries (from 2020)","Number","From 35 to 44 years","Total",":",""
"2010","European Union - 27 countries (from 2020)","Number","From 45 to 54 years","Total",":",""
"2010","European Union - 27 countries (from 2020)","Number","From 55 to 64 years","Total",":",""
"2010","European Union - 28 countries (2013-2020)","Number","Total","Total",":",""
"2010","European Union - 28 countries (2013-2020)","Number","Less than 35 years","Total",":",""
"2010","European Union - 28 countries (2013-2020)","Number","From 35 to 44 years","Total",":",""
"2010","European Union - 28 countries (2013-2020)","Number","From 45 to 54 years","Total",":",""
"2010","European Union - 28 countries (2013-2020)","Number","From 55 to 64 years","Total",":",""
"2010","Belgium","Number","Total","Total","31 815",""
"2010","Belgium","Number","Less than 35 years","Total","2 416",""
"2010","Belgium","Number","From 35 to 44 years","Total","7 867",""
"2010","Belgium","Number","From 45 to 54 years","Total","9 108",""
"2010","Belgium","Number","From 55 to 64 years","Total","8 691",""
"2010","Bulgaria","Number","Total","Total",":",""
"2010","Bulgaria","Number","Less than 35 years","Total",":",""
"2010","Bulgaria","Number","From 35 to 44 years","Total",":",""
"2010","Bulgaria","Number","From 45 to 54 years","Total",":",""
"2010","Bulgaria","Number","From 55 to 64 years","Total",":",""
"2010","Czechia","Number","Total","Total","37 661",""
"2010","Czechia","Number","Less than 35 years","Total","7 192",""
"2010","Czechia","Number","From 35 to 44 years","Total","8 703",""
"2010","Czechia","Number","From 45 to 54 years","Total","9 132",""
"2010","Czechia","Number","From 55 to 64 years","Total","9 161",""
"2010","Denmark","Number","Total","Total","20 670",""
"2010","Denmark","Number","Less than 35 years","Total","4 012",""
"2010","Denmark","Number","From 35 to 44 years","Total","5 022",""
"2010","Denmark","Number","From 45 to 54 years","Total","4 937",""
"2010","Denmark","Number","From 55 to 64 years","Total","5 110",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Total","Total","303 645",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Less than 35 years","Total","55 085",""
"2010","Germany (until 1990 former territory of the FRG)","Number","From 35 to 44 years","Total","35 260",""
"2010","Germany (until 1990 former territory of the FRG)","Number","From 45 to 54 years","Total","93 445",""
"2010","Germany (until 1990 former territory of the FRG)","Number","From 55 to 64 years","Total","108 915",""
"2010","Estonia","Number","Total","Total","4 319",""
"2010","Estonia","Number","Less than 35 years","Total",":",""
"2010","Estonia","Number","From 35 to 44 years","Total",":",""
"2010","Estonia","Number","From 45 to 54 years","Total",":",""
"2010","Estonia","Number","From 55 to 64 years","Total",":",""
"2010","Ireland","Number","Total","Total","18 821",""
"2010","Ireland","Number","Less than 35 years","Total",":",""
"2010","Ireland","Number","From 35 to 44 years","Total",":",""
"2010","Ireland","Number","From 45 to 54 years","Total",":",""
"2010","Ireland","Number","From 55 to 64 years","Total",":",""
"2010","Greece","Number","Total","Total","64 032",""
"2010","Greece","Number","Less than 35 years","Total","15 361",""
"2010","Greece","Number","From 35 to 44 years","Total","18 938",""
"2010","Greece","Number","From 45 to 54 years","Total","14 255",""
"2010","Greece","Number","From 55 to 64 years","Total","11 752",""
"2010","Spain","Number","Total","Total","175 033",""
"2010","Spain","Number","Less than 35 years","Total","44 000",""
"2010","Spain","Number","From 35 to 44 years","Total","40 333",""
"2010","Spain","Number","From 45 to 54 years","Total","52 033",""
"2010","Spain","Number","From 55 to 64 years","Total","33 233",""
"2010","France","Number","Total","Total","212 132",""
"2010","France","Number","Less than 35 years","Total","15 626",""
"2010","France","Number","From 35 to 44 years","Total","39 822",""
"2010","France","Number","From 45 to 54 years","Total","69 169",""
"2010","France","Number","From 55 to 64 years","Total","75 838",""
"2010","Croatia","Number","Total","Total","12 304",""
"2010","Croatia","Number","Less than 35 years","Total","2 516",""
"2010","Croatia","Number","From 35 to 44 years","Total","2 861",""
"2010","Croatia","Number","From 45 to 54 years","Total","3 793",""
"2010","Croatia","Number","From 55 to 64 years","Total","2 836",""
"2010","Italy","Number","Total","Total","371 450",""
"2010","Italy","Number","Less than 35 years","Total","45 708",""
"2010","Italy","Number","From 35 to 44 years","Total","54 760",""
"2010","Italy","Number","From 45 to 54 years","Total","114 308",""
"2010","Italy","Number","From 55 to 64 years","Total","113 069",""
"2010","Cyprus","Number","Total","Total",":",""
"2010","Cyprus","Number","Less than 35 years","Total",":",""
"2010","Cyprus","Number","From 35 to 44 years","Total",":",""
"2010","Cyprus","Number","From 45 to 54 years","Total",":",""
"2010","Cyprus","Number","From 55 to 64 years","Total",":",""
"2010","Latvia","Number","Total","Total","6 517",""
"2010","Latvia","Number","Less than 35 years","Total","638",""
"2010","Latvia","Number","From 35 to 44 years","Total","1 273",""
"2010","Latvia","Number","From 45 to 54 years","Total","2 111",""
"2010","Latvia","Number","From 55 to 64 years","Total","1 473",""
"2010","Lithuania","Number","Total","Total","13 203",""
"2010","Lithuania","Number","Less than 35 years","Total","2 320","e"
"2010","Lithuania","Number","From 35 to 44 years","Total","2 448","e"
"2010","Lithuania","Number","From 45 to 54 years","Total","3 575","e"
"2010","Lithuania","Number","From 55 to 64 years","Total","3 219","e"
"2010","Luxembourg","Number","Total","Total","1 413",""
"2010","Luxembourg","Number","Less than 35 years","Total","69",""
"2010","Luxembourg","Number","From 35 to 44 years","Total","335",""
"2010","Luxembourg","Number","From 45 to 54 years","Total","562",""
"2010","Luxembourg","Number","From 55 to 64 years","Total","356",""
"2010","Hungary","Number","Total","Total","28 686","b"
"2010","Hungary","Number","Less than 35 years","Total","4 690","b"
"2010","Hungary","Number","From 35 to 44 years","Total","5 741","b"
"2010","Hungary","Number","From 45 to 54 years","Total","7 361","b"
"2010","Hungary","Number","From 55 to 64 years","Total","7 047","b"
"2010","Malta","Number","Total","Total","1 279",""
"2010","Malta","Number","Less than 35 years","Total","499",""
"2010","Malta","Number","From 35 to 44 years","Total","227",""
"2010","Malta","Number","From 45 to 54 years","Total","354",""
"2010","Malta","Number","From 55 to 64 years","Total","114",""
"2010","Netherlands","Number","Total","Total","49 242",""
"2010","Netherlands","Number","Less than 35 years","Total","12 511",""
"2010","Netherlands","Number","From 35 to 44 years","Total","12 036",""
"2010","Netherlands","Number","From 45 to 54 years","Total","13 048",""
"2010","Netherlands","Number","From 55 to 64 years","Total","10 549",""
"2010","Austria","Number","Total","Total","40 105",""
"2010","Austria","Number","Less than 35 years","Total","7 333",""
"2010","Austria","Number","From 35 to 44 years","Total","9 755",""
"2010","Austria","Number","From 45 to 54 years","Total","13 797",""
"2010","Austria","Number","From 55 to 64 years","Total","7 262",""
"2010","Poland","Number","Total","Total","83 201",""
"2010","Poland","Number","Less than 35 years","Total",":",""
"2010","Poland","Number","From 35 to 44 years","Total",":",""
"2010","Poland","Number","From 45 to 54 years","Total",":",""
"2010","Poland","Number","From 55 to 64 years","Total",":",""
"2010","Portugal","Number","Total","Total","40 672",""
"2010","Portugal","Number","Less than 35 years","Total",":",""
"2010","Portugal","Number","From 35 to 44 years","Total",":",""
"2010","Portugal","Number","From 45 to 54 years","Total",":",""
"2010","Portugal","Number","From 55 to 64 years","Total",":",""
"2010","Romania","Number","Total","Total","50 778","b"
"2010","Romania","Number","Less than 35 years","Total","15 416","b"
"2010","Romania","Number","From 35 to 44 years","Total","12 739","b"
"2010","Romania","Number","From 45 to 54 years","Total","11 831","b"
"2010","Romania","Number","From 55 to 64 years","Total","9 394","b"
"2010","Slovenia","Number","Total","Total","4 979",""
"2010","Slovenia","Number","Less than 35 years","Total","959",""
"2010","Slovenia","Number","From 35 to 44 years","Total","1 279",""
"2010","Slovenia","Number","From 45 to 54 years","Total","1 429",""
"2010","Slovenia","Number","From 55 to 64 years","Total","1 089",""
"2010","Slovakia","Number","Total","Total","18 110",""
"2010","Slovakia","Number","Less than 35 years","Total","3 576",""
"2010","Slovakia","Number","From 35 to 44 years","Total","4 501",""
"2010","Slovakia","Number","From 45 to 54 years","Total","3 970",""
"2010","Slovakia","Number","From 55 to 64 years","Total","4 798",""
"2010","Finland","Number","Total","Total","17 520","be"
"2010","Finland","Number","Less than 35 years","Total","3 304","be"
"2010","Finland","Number","From 35 to 44 years","Total","4 510","be"
"2010","Finland","Number","From 45 to 54 years","Total","5 547","be"
"2010","Finland","Number","From 55 to 64 years","Total","4 159","be"
"2010","Sweden","Number","Total","Total","35 708",""
"2010","Sweden","Number","Less than 35 years","Total","6 320",""
"2010","Sweden","Number","From 35 to 44 years","Total","8 814",""
"2010","Sweden","Number","From 45 to 54 years","Total","8 320",""
"2010","Sweden","Number","From 55 to 64 years","Total","9 354",""
"2010","Iceland","Number","Total","Total","1 142",""
"2010","Iceland","Number","Less than 35 years","Total","166",""
"2010","Iceland","Number","From 35 to 44 years","Total","195",""
"2010","Iceland","Number","From 45 to 54 years","Total","362",""
"2010","Iceland","Number","From 55 to 64 years","Total","330",""
"2010","Liechtenstein","Number","Total","Total","104","b"
"2010","Liechtenstein","Number","Less than 35 years","Total","2","b"
"2010","Liechtenstein","Number","From 35 to 44 years","Total","27","b"
"2010","Liechtenstein","Number","From 45 to 54 years","Total","39","b"
"2010","Liechtenstein","Number","From 55 to 64 years","Total","31","b"
"2010","Norway","Number","Total","Total","20 114",""
"2010","Norway","Number","Less than 35 years","Total","5 073",""
"2010","Norway","Number","From 35 to 44 years","Total","5 274",""
"2010","Norway","Number","From 45 to 54 years","Total","4 388",""
"2010","Norway","Number","From 55 to 64 years","Total","3 936",""
"2010","Switzerland","Number","Total","Total","29 803",""
"2010","Switzerland","Number","Less than 35 years","Total","3 439",""
"2010","Switzerland","Number","From 35 to 44 years","Total","8 068",""
"2010","Switzerland","Number","From 45 to 54 years","Total","9 183",""
"2010","Switzerland","Number","From 55 to 64 years","Total","7 206",""
"2010","United Kingdom","Number","Total","Total","165 060",""
"2010","United Kingdom","Number","Less than 35 years","Total","56 194",""
"2010","United Kingdom","Number","From 35 to 44 years","Total","48 800",""
"2010","United Kingdom","Number","From 45 to 54 years","Total","38 261",""
"2010","United Kingdom","Number","From 55 to 64 years","Total","18 945",""
"2010","Montenegro","Number","Total","Total","1 276",""
"2010","Montenegro","Number","Less than 35 years","Total","236",""
"2010","Montenegro","Number","From 35 to 44 years","Total","359",""
"2010","Montenegro","Number","From 45 to 54 years","Total","454",""
"2010","Montenegro","Number","From 55 to 64 years","Total","227","d"
"2010","North Macedonia","Number","Total","Total","5 541",""
"2010","North Macedonia","Number","Less than 35 years","Total","810",""
"2010","North Macedonia","Number","From 35 to 44 years","Total","1 178",""
"2010","North Macedonia","Number","From 45 to 54 years","Total","2 037",""
"2010","North Macedonia","Number","From 55 to 64 years","Total","1 516",""
"2010","Serbia","Number","Total","Total","22 316",""
"2010","Serbia","Number","Less than 35 years","Total","3 611",""
"2010","Serbia","Number","From 35 to 44 years","Total","6 417",""
"2010","Serbia","Number","From 45 to 54 years","Total","7 541",""
"2010","Serbia","Number","From 55 to 64 years","Total","4 682",""
"2010","Turkey","Number","Total","Total","123 447",""
"2010","Turkey","Number","Less than 35 years","Total","43 729","e"
"2010","Turkey","Number","From 35 to 44 years","Total","40 457","e"
"2010","Turkey","Number","From 45 to 54 years","Total","21 724","e"
"2010","Turkey","Number","From 55 to 64 years","Total","9 834","e"
"2011","European Union - 27 countries (from 2020)","Number","Total","Total",":",""
"2011","European Union - 27 countries (from 2020)","Number","Less than 35 years","Total",":",""
"2011","European Union - 27 countries (from 2020)","Number","From 35 to 44 years","Total",":",""
"2011","European Union - 27 countries (from 2020)","Number","From 45 to 54 years","Total",":",""
"2011","European Union - 27 countries (from 2020)","Number","From 55 to 64 years","Total",":",""
"2011","European Union - 28 countries (2013-2020)","Number","Total","Total",":",""
"2011","European Union - 28 countries (2013-2020)","Number","Less than 35 years","Total",":",""
"2011","European Union - 28 countries (2013-2020)","Number","From 35 to 44 years","Total",":",""
"2011","European Union - 28 countries (2013-2020)","Number","From 45 to 54 years","Total",":",""
"2011","European Union - 28 countries (2013-2020)","Number","From 55 to 64 years","Total",":",""
"2011","Belgium","Number","Total","Total","32 182",""
"2011","Belgium","Number","Less than 35 years","Total","2 420",""
"2011","Belgium","Number","From 35 to 44 years","Total","7 871",""
"2011","Belgium","Number","From 45 to 54 years","Total","8 850",""
"2011","Belgium","Number","From 55 to 64 years","Total","8 974",""
"2011","Bulgaria","Number","Total","Total",":",""
"2011","Bulgaria","Number","Less than 35 years","Total",":",""
"2011","Bulgaria","Number","From 35 to 44 years","Total",":",""
"2011","Bulgaria","Number","From 45 to 54 years","Total",":",""
"2011","Bulgaria","Number","From 55 to 64 years","Total",":",""
"2011","Czechia","Number","Total","Total","38 171",""
"2011","Czechia","Number","Less than 35 years","Total","7 287",""
"2011","Czechia","Number","From 35 to 44 years","Total","8 698",""
"2011","Czechia","Number","From 45 to 54 years","Total","8 882",""
"2011","Czechia","Number","From 55 to 64 years","Total","9 508",""
"2011","Denmark","Number","Total","Total","21 108",""
"2011","Denmark","Number","Less than 35 years","Total","4 132",""
"2011","Denmark","Number","From 35 to 44 years","Total","5 265",""
"2011","Denmark","Number","From 45 to 54 years","Total","4 804",""
"2011","Denmark","Number","From 55 to 64 years","Total","5 114",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Total","Total","311 223",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Less than 35 years","Total","57 748",""
"2011","Germany (until 1990 former territory of the FRG)","Number","From 35 to 44 years","Total","36 100",""
"2011","Germany (until 1990 former territory of the FRG)","Number","From 45 to 54 years","Total","91 591",""
"2011","Germany (until 1990 former territory of the FRG)","Number","From 55 to 64 years","Total","114 365",""
"2011","Estonia","Number","Total","Total","4 372",""
"2011","Estonia","Number","Less than 35 years","Total",":",""
"2011","Estonia","Number","From 35 to 44 years","Total",":",""
"2011","Estonia","Number","From 45 to 54 years","Total",":",""
"2011","Estonia","Number","From 55 to 64 years","Total",":",""
"2011","Ireland","Number","Total","Total","18 795",""
"2011","Ireland","Number","Less than 35 years","Total","5 869",""
"2011","Ireland","Number","From 35 to 44 years","Total","5 328",""
"2011","Ireland","Number","From 45 to 54 years","Total","3 989",""
"2011","Ireland","Number","From 55 to 64 years","Total","2 228",""
"2011","Greece","Number","Total","Total","64 145",""
"2011","Greece","Number","Less than 35 years","Total","12 244",""
"2011","Greece","Number","From 35 to 44 years","Total","21 399",""
"2011","Greece","Number","From 45 to 54 years","Total","14 490",""
