"TIME","GEO","UNIT","MED_SPEC","Value","Flag and Footnotes"
"2010","Belgium","Number","Generalist medical practitioners","12 228.00",""
"2010","Belgium","Number","General practitioners","12 228.00",""
"2010","Belgium","Number","Other generalist medical practitioners","0.00",""
"2010","Belgium","Number","Specialist medical practitioners","19 153.00",""
"2010","Belgium","Number","General paediatricians","1 332.00",""
"2010","Bulgaria","Number","Generalist medical practitioners","5 014.00",""
"2010","Bulgaria","Number","General practitioners","4 761.00",""
"2010","Bulgaria","Number","Other generalist medical practitioners","253.00",""
"2010","Bulgaria","Number","Specialist medical practitioners","22 949.00",""
"2010","Bulgaria","Number","General paediatricians","1 425.00",""
"2010","Czechia","Number","Generalist medical practitioners","7 369.00",""
"2010","Czechia","Number","General practitioners","7 369.00",""
"2010","Czechia","Number","Other generalist medical practitioners","0.00",""
"2010","Czechia","Number","Specialist medical practitioners","30 292.00",""
"2010","Czechia","Number","General paediatricians","1 262.00",""
"2010","Denmark","Number","Generalist medical practitioners","4 393.00",""
"2010","Denmark","Number","General practitioners",":",""
"2010","Denmark","Number","Other generalist medical practitioners",":",""
"2010","Denmark","Number","Specialist medical practitioners","8 746.00",""
"2010","Denmark","Number","General paediatricians","384.00",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Generalist medical practitioners","74 113.00",""
"2010","Germany (until 1990 former territory of the FRG)","Number","General practitioners","56 831.00",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Other generalist medical practitioners","17 282.00",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Specialist medical practitioners","229 532.00",""
"2010","Germany (until 1990 former territory of the FRG)","Number","General paediatricians","12 576.00",""
"2010","Estonia","Number","Generalist medical practitioners","979.00",""
"2010","Estonia","Number","General practitioners","857.00",""
"2010","Estonia","Number","Other generalist medical practitioners","122.00",""
"2010","Estonia","Number","Specialist medical practitioners","2 962.00",""
"2010","Estonia","Number","General paediatricians","168.00",""
"2010","Ireland","Number","Generalist medical practitioners","12 475.00",""
"2010","Ireland","Number","General practitioners","2 534.00",""
"2010","Ireland","Number","Other generalist medical practitioners","9 941.00",""
"2010","Ireland","Number","Specialist medical practitioners","6 346.00",""
"2010","Ireland","Number","General paediatricians","262.00",""
"2010","Greece","Number","Generalist medical practitioners","3 391.00",""
"2010","Greece","Number","General practitioners","2 076.00",""
"2010","Greece","Number","Other generalist medical practitioners","1 315.00",""
"2010","Greece","Number","Specialist medical practitioners","39 552.00",""
"2010","Greece","Number","General paediatricians","3 279.00",""
"2010","Spain","Number","Generalist medical practitioners","34 620.00",""
"2010","Spain","Number","General practitioners","34 620.00",""
"2010","Spain","Number","Other generalist medical practitioners","0.00",""
"2010","Spain","Number","Specialist medical practitioners","107 542.00","bd"
"2010","Spain","Number","General paediatricians","11 728.00","bd"
"2010","France","Number","Generalist medical practitioners","103 262.00",""
"2010","France","Number","General practitioners","103 262.00",""
"2010","France","Number","Other generalist medical practitioners",":",""
"2010","France","Number","Specialist medical practitioners","108 870.00",""
"2010","France","Number","General paediatricians","7 232.00",""
"2010","Croatia","Number","Generalist medical practitioners","3 350.00",""
"2010","Croatia","Number","General practitioners","2 228.00",""
"2010","Croatia","Number","Other generalist medical practitioners","1 122.00",""
"2010","Croatia","Number","Specialist medical practitioners","8 954.00",""
"2010","Croatia","Number","General paediatricians","754.00",""
"2010","Italy","Number","Generalist medical practitioners","52 944.00","e"
"2010","Italy","Number","General practitioners","45 878.00",""
"2010","Italy","Number","Other generalist medical practitioners","7 066.00","e"
"2010","Italy","Number","Specialist medical practitioners","173 440.00","e"
"2010","Italy","Number","General paediatricians","17 197.00","e"
"2010","Cyprus","Number","Generalist medical practitioners",":",""
"2010","Cyprus","Number","General practitioners",":",""
"2010","Cyprus","Number","Other generalist medical practitioners",":",""
"2010","Cyprus","Number","Specialist medical practitioners",":",""
"2010","Cyprus","Number","General paediatricians",":",""
"2010","Latvia","Number","Generalist medical practitioners","1 311.00",""
"2010","Latvia","Number","General practitioners","1 311.00",""
"2010","Latvia","Number","Other generalist medical practitioners","0.00",""
"2010","Latvia","Number","Specialist medical practitioners","5 206.00",""
"2010","Latvia","Number","General paediatricians","271.00",""
"2010","Lithuania","Number","Generalist medical practitioners","2 381.00",""
"2010","Lithuania","Number","General practitioners","2 291.00",""
"2010","Lithuania","Number","Other generalist medical practitioners","90.00",""
"2010","Lithuania","Number","Specialist medical practitioners","8 285.00",""
"2010","Lithuania","Number","General paediatricians","828.00",""
"2010","Luxembourg","Number","Generalist medical practitioners","414.00",""
"2010","Luxembourg","Number","General practitioners","414.00",""
"2010","Luxembourg","Number","Other generalist medical practitioners","0.00",""
"2010","Luxembourg","Number","Specialist medical practitioners","992.00",""
"2010","Luxembourg","Number","General paediatricians","83.00",""
"2010","Hungary","Number","Generalist medical practitioners",":",""
"2010","Hungary","Number","General practitioners",":",""
"2010","Hungary","Number","Other generalist medical practitioners",":",""
"2010","Hungary","Number","Specialist medical practitioners",":",""
"2010","Hungary","Number","General paediatricians",":",""
"2010","Malta","Number","Generalist medical practitioners","278.00",""
"2010","Malta","Number","General practitioners","278.00",""
"2010","Malta","Number","Other generalist medical practitioners","0.00",""
"2010","Malta","Number","Specialist medical practitioners","614.00",""
"2010","Malta","Number","General paediatricians","59.00",""
"2010","Netherlands","Number","Generalist medical practitioners","20 848.00",""
"2010","Netherlands","Number","General practitioners","12 133.00",""
