"TIME","GEO","ISCO08","UNIT","Value","Flag and Footnotes"
"2010","Belgium","Medical doctors","Full-time equivalent (FTE)","6 142.50","e"
"2010","Belgium","Nursing professionals and midwives","Full-time equivalent (FTE)","58 481.59","e"
"2010","Belgium","Nursing associate professionals","Full-time equivalent (FTE)","1 217.85","e"
"2010","Belgium","Health care assistants","Full-time equivalent (FTE)","9 229.93","e"
"2010","Belgium","Hospital employment","Full-time equivalent (FTE)","140 507.19","e"
"2010","Bulgaria","Medical doctors","Full-time equivalent (FTE)",":",""
"2010","Bulgaria","Nursing professionals and midwives","Full-time equivalent (FTE)",":",""
"2010","Bulgaria","Nursing associate professionals","Full-time equivalent (FTE)",":",""
"2010","Bulgaria","Health care assistants","Full-time equivalent (FTE)",":",""
"2010","Bulgaria","Hospital employment","Full-time equivalent (FTE)",":",""
"2010","Czechia","Medical doctors","Full-time equivalent (FTE)","19 596.72",""
"2010","Czechia","Nursing professionals and midwives","Full-time equivalent (FTE)","54 123.78",""
"2010","Czechia","Nursing associate professionals","Full-time equivalent (FTE)",":",""
"2010","Czechia","Health care assistants","Full-time equivalent (FTE)","2 859.09",""
"2010","Czechia","Hospital employment","Full-time equivalent (FTE)","135 056.52",""
"2010","Denmark","Medical doctors","Full-time equivalent (FTE)","14 335.00",""
"2010","Denmark","Nursing professionals and midwives","Full-time equivalent (FTE)","35 652.00",""
"2010","Denmark","Nursing associate professionals","Full-time equivalent (FTE)","0.00",""
"2010","Denmark","Health care assistants","Full-time equivalent (FTE)","11 994.00",""
"2010","Denmark","Hospital employment","Full-time equivalent (FTE)","103 805.00",""
"2010","Germany (until 1990 former territory of the FRG)","Medical doctors","Full-time equivalent (FTE)","143 000.00",""
"2010","Germany (until 1990 former territory of the FRG)","Nursing professionals and midwives","Full-time equivalent (FTE)","312 000.00",""
"2010","Germany (until 1990 former territory of the FRG)","Nursing associate professionals","Full-time equivalent (FTE)","29 000.00",""
"2010","Germany (until 1990 former territory of the FRG)","Health care assistants","Full-time equivalent (FTE)",":",""
