"TIME","GEO","UNIT","WSTATUS","ISCO08","Value","Flag and Footnotes"
"2010","European Union - 27 countries (from 2020)","Number","Practising","Medical doctors",":",""
"2010","European Union - 27 countries (from 2020)","Number","Practising","Dentists",":",""
"2010","European Union - 27 countries (from 2020)","Number","Practising","Pharmacists",":",""
"2010","European Union - 27 countries (from 2020)","Number","Practising","Physiotherapists",":",""
"2010","European Union - 28 countries (2013-2020)","Number","Practising","Medical doctors",":",""
"2010","European Union - 28 countries (2013-2020)","Number","Practising","Dentists",":",""
"2010","European Union - 28 countries (2013-2020)","Number","Practising","Pharmacists",":",""
"2010","European Union - 28 countries (2013-2020)","Number","Practising","Physiotherapists",":",""
"2010","Belgium","Number","Practising","Medical doctors","31 815.00",""
"2010","Belgium","Number","Practising","Dentists","7 675.00",""
"2010","Belgium","Number","Practising","Pharmacists","12 629.00",""
"2010","Belgium","Number","Practising","Physiotherapists",":",""
"2010","Bulgaria","Number","Practising","Medical doctors","27 963.00",""
"2010","Bulgaria","Number","Practising","Dentists","6 389.00",""
"2010","Bulgaria","Number","Practising","Pharmacists",":",""
"2010","Bulgaria","Number","Practising","Physiotherapists",":",""
"2010","Czechia","Number","Practising","Medical doctors","37 661.00",""
"2010","Czechia","Number","Practising","Dentists","7 263.00",""
"2010","Czechia","Number","Practising","Pharmacists","6 061.00",""
"2010","Czechia","Number","Practising","Physiotherapists",":",""
"2010","Denmark","Number","Practising","Medical doctors","20 670.00",""
"2010","Denmark","Number","Practising","Dentists","4 544.00",""
"2010","Denmark","Number","Practising","Pharmacists","2 628.00",""
"2010","Denmark","Number","Practising","Physiotherapists",":",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Practising","Medical doctors","303 645.00",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Practising","Dentists","66 427.00",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Practising","Pharmacists","50 604.00",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Practising","Physiotherapists",":",""
"2010","Estonia","Number","Practising","Medical doctors","4 319.00",""
"2010","Estonia","Number","Practising","Dentists","1 198.00",""
"2010","Estonia","Number","Practising","Pharmacists","842.00",""
"2010","Estonia","Number","Practising","Physiotherapists",":",""
"2010","Ireland","Number","Practising","Medical doctors",":",""
"2010","Ireland","Number","Practising","Dentists",":",""
"2010","Ireland","Number","Practising","Pharmacists",":",""
"2010","Ireland","Number","Practising","Physiotherapists",":",""
"2010","Greece","Number","Practising","Medical doctors",":",""
"2010","Greece","Number","Practising","Dentists",":",""
"2010","Greece","Number","Practising","Pharmacists",":",""
"2010","Greece","Number","Practising","Physiotherapists",":",""
"2010","Spain","Number","Practising","Medical doctors","175 033.00",""
"2010","Spain","Number","Practising","Dentists",":",""
"2010","Spain","Number","Practising","Pharmacists","43 000.00",""
"2010","Spain","Number","Practising","Physiotherapists",":",""
"2010","France","Number","Practising","Medical doctors","196 767.00","e"
"2010","France","Number","Practising","Dentists",":",""
"2010","France","Number","Practising","Pharmacists",":",""
"2010","France","Number","Practising","Physiotherapists",":",""
"2010","France (metropolitan)","Number","Practising","Medical doctors",":",""
"2010","France (metropolitan)","Number","Practising","Dentists",":",""
"2010","France (metropolitan)","Number","Practising","Pharmacists",":",""
"2010","France (metropolitan)","Number","Practising","Physiotherapists",":",""
"2010","Croatia","Number","Practising","Medical doctors","12 304.00",""
"2010","Croatia","Number","Practising","Dentists","3 158.00",""
"2010","Croatia","Number","Practising","Pharmacists","2 851.00",""
"2010","Croatia","Number","Practising","Physiotherapists",":",""
"2010","Italy","Number","Practising","Medical doctors","226 384.00","e"
"2010","Italy","Number","Practising","Dentists",":",""
"2010","Italy","Number","Practising","Pharmacists",":",""
"2010","Italy","Number","Practising","Physiotherapists",":",""
"2010","Cyprus","Number","Practising","Medical doctors","2 399.00",""
"2010","Cyprus","Number","Practising","Dentists","772.00","e"
"2010","Cyprus","Number","Practising","Pharmacists","181.00",""
"2010","Cyprus","Number","Practising","Physiotherapists",":",""
"2010","Latvia","Number","Practising","Medical doctors","6 517.00",""
"2010","Latvia","Number","Practising","Dentists","1 488.00",""
"2010","Latvia","Number","Practising","Pharmacists","1 433.00",""
"2010","Latvia","Number","Practising","Physiotherapists",":",""
"2010","Lithuania","Number","Practising","Medical doctors","12 226.00",""
"2010","Lithuania","Number","Practising","Dentists","2 456.00",""
"2010","Lithuania","Number","Practising","Pharmacists",":",""
"2010","Lithuania","Number","Practising","Physiotherapists",":",""
"2010","Luxembourg","Number","Practising","Medical doctors","1 404.00",""
"2010","Luxembourg","Number","Practising","Dentists","422.00",""
"2010","Luxembourg","Number","Practising","Pharmacists","374.00",""
"2010","Luxembourg","Number","Practising","Physiotherapists",":",""
"2010","Hungary","Number","Practising","Medical doctors","28 686.00","b"
"2010","Hungary","Number","Practising","Dentists","5 257.00",""
"2010","Hungary","Number","Practising","Pharmacists","5 821.00",""
"2010","Hungary","Number","Practising","Physiotherapists",":",""
"2010","Malta","Number","Practising","Medical doctors","1 279.00",""
"2010","Malta","Number","Practising","Dentists","184.00",""
"2010","Malta","Number","Practising","Pharmacists","301.00",""
"2010","Malta","Number","Practising","Physiotherapists",":",""
"2010","Netherlands","Number","Practising","Medical doctors",":",""
"2010","Netherlands","Number","Practising","Dentists","7 840.00",""
"2010","Netherlands","Number","Practising","Pharmacists","3 308.00",""
"2010","Netherlands","Number","Practising","Physiotherapists",":",""
"2010","Austria","Number","Practising","Medical doctors","40 105.00",""
"2010","Austria","Number","Practising","Dentists","4 685.00",""
"2010","Austria","Number","Practising","Pharmacists","5 579.00",""
"2010","Austria","Number","Practising","Physiotherapists",":",""
"2010","Poland","Number","Practising","Medical doctors","83 201.00",""
"2010","Poland","Number","Practising","Dentists","12 549.00",""
"2010","Poland","Number","Practising","Pharmacists","25 203.00",""
"2010","Poland","Number","Practising","Physiotherapists",":",""
"2010","Portugal","Number","Practising","Medical doctors",":",""
"2010","Portugal","Number","Practising","Dentists",":",""
"2010","Portugal","Number","Practising","Pharmacists","7 674.00",""
"2010","Portugal","Number","Practising","Physiotherapists",":",""
"2010","Romania","Number","Practising","Medical doctors","50 778.00",""
"2010","Romania","Number","Practising","Dentists","12 959.00",""
"2010","Romania","Number","Practising","Pharmacists","13 534.00",""
"2010","Romania","Number","Practising","Physiotherapists",":",""
"2010","Slovenia","Number","Practising","Medical doctors","4 979.00",""
"2010","Slovenia","Number","Practising","Dentists","1 259.00",""
"2010","Slovenia","Number","Practising","Pharmacists","1 102.00",""
"2010","Slovenia","Number","Practising","Physiotherapists",":",""
"2010","Slovakia","Number","Practising","Medical doctors",":",""
"2010","Slovakia","Number","Practising","Dentists",":",""
"2010","Slovakia","Number","Practising","Pharmacists",":",""
"2010","Slovakia","Number","Practising","Physiotherapists",":",""
"2010","Finland","Number","Practising","Medical doctors","16 030.00","e"
