"TIME","GEO","UNIT","WSTATUS","ISCO08","Value","Flag and Footnotes"
"2010","Belgium","Number","Practising","Nurses, midewives, health care assistants and home-based personal care workers",":",""
"2010","Belgium","Number","Practising","Nurses and midwives","110 405.00",""
"2010","Belgium","Number","Practising","Nursing professionals and midwives",":",""
"2010","Belgium","Number","Practising","Nurses","104 513.00","e"
"2010","Belgium","Number","Practising","Nursing professionals",":",""
"2010","Belgium","Number","Professionally active","Nurses, midewives, health care assistants and home-based personal care workers","206 145.00",""
"2010","Belgium","Number","Professionally active","Nurses and midwives","137 243.00",""
"2010","Belgium","Number","Professionally active","Nursing professionals and midwives",":",""
"2010","Belgium","Number","Professionally active","Nurses","129 916.00","e"
"2010","Belgium","Number","Professionally active","Nursing professionals",":",""
"2010","Belgium","Number","Licensed to practice","Nurses, midewives, health care assistants and home-based personal care workers",":",""
"2010","Belgium","Number","Licensed to practice","Nurses and midwives","173 899.00",""
"2010","Belgium","Number","Licensed to practice","Nursing professionals and midwives",":",""
"2010","Belgium","Number","Licensed to practice","Nurses","164 141.00",""
"2010","Belgium","Number","Licensed to practice","Nursing professionals",":",""
"2010","Belgium","Inhabitants per ...","Practising","Nurses, midewives, health care assistants and home-based personal care workers",":",""
"2010","Belgium","Inhabitants per ...","Practising","Nurses and midwives","98.91",""
"2010","Belgium","Inhabitants per ...","Practising","Nursing professionals and midwives",":",""
"2010","Belgium","Inhabitants per ...","Practising","Nurses","104.49","e"
"2010","Belgium","Inhabitants per ...","Practising","Nursing professionals",":",""
"2010","Belgium","Inhabitants per ...","Professionally active","Nurses, midewives, health care assistants and home-based personal care workers","52.97",""
"2010","Belgium","Inhabitants per ...","Professionally active","Nurses and midwives","79.57",""
"2010","Belgium","Inhabitants per ...","Professionally active","Nursing professionals and midwives",":",""
"2010","Belgium","Inhabitants per ...","Professionally active","Nurses","84.06","e"
"2010","Belgium","Inhabitants per ...","Professionally active","Nursing professionals",":",""
"2010","Belgium","Inhabitants per ...","Licensed to practice","Nurses, midewives, health care assistants and home-based personal care workers",":",""
