"TIME","GEO","ICHA_HC","INDIC_HE","UNIT","Value","Value_imp"
2010,"European Union - 27 countries (from 2020)","Services of curative care","Discharges","Number",1991481,TRUE
2010,"European Union - 27 countries (from 2020)","Services of curative care","In-patient average length of stay (in days)","Number",7.2,TRUE
2010,"European Union - 27 countries (from 2020)","Services of curative care","Bed-days","Number",13074737,TRUE
2010,"European Union - 27 countries (from 2020)","In-patient care","Discharges","Number",79531551,FALSE
2010,"European Union - 27 countries (from 2020)","In-patient care","In-patient average length of stay (in days)","Number",8.11,TRUE
2010,"European Union - 27 countries (from 2020)","In-patient care","Bed-days","Number",79101698,TRUE
2010,"European Union - 28 countries (2013-2020)","Services of curative care","Discharges","Number",1991481,TRUE
2010,"European Union - 28 countries (2013-2020)","Services of curative care","In-patient average length of stay (in days)","Number",7.2,TRUE
2010,"European Union - 28 countries (2013-2020)","Services of curative care","Bed-days","Number",13074737,TRUE
2010,"European Union - 28 countries (2013-2020)","In-patient care","Discharges","Number",88046517,FALSE
2010,"European Union - 28 countries (2013-2020)","In-patient care","In-patient average length of stay (in days)","Number",8.11,TRUE
2010,"European Union - 28 countries (2013-2020)","In-patient care","Bed-days","Number",87611555,TRUE
2010,"Belgium","Services of curative care","Discharges","Number",1788715,FALSE
2010,"Belgium","Services of curative care","In-patient average length of stay (in days)","Number",7.2,FALSE
2010,"Belgium","Services of curative care","Bed-days","Number",12801044,FALSE
2010,"Belgium","In-patient care","Discharges","Number",1815427,FALSE
2010,"Belgium","In-patient care","In-patient average length of stay (in days)","Number",8.11,FALSE
2010,"Belgium","In-patient care","Bed-days","Number",1815427,TRUE
2010,"Bulgaria","Services of curative care","Discharges","Number",1920900,TRUE
2010,"Bulgaria","Services of curative care","In-patient average length of stay (in days)","Number",6.57,TRUE
2010,"Bulgaria","Services of curative care","Bed-days","Number",13074737,TRUE
2010,"Bulgaria","In-patient care","Discharges","Number",1920900,FALSE
2010,"Bulgaria","In-patient care","In-patient average length of stay (in days)","Number",6.1,FALSE
2010,"Bulgaria","In-patient care","Bed-days","Number",1920900,TRUE
2010,"Czechia","Services of curative care","Discharges","Number",1991481,FALSE
2010,"Czechia","Services of curative care","In-patient average length of stay (in days)","Number",6.57,FALSE
2010,"Czechia","Services of curative care","Bed-days","Number",13074737,FALSE
2010,"Czechia","In-patient care","Discharges","Number",2156918,FALSE
2010,"Czechia","In-patient care","In-patient average length of stay (in days)","Number",9.82,FALSE
2010,"Czechia","In-patient care","Bed-days","Number",2156918,TRUE
2010,"Denmark","Services of curative care","Discharges","Number",1788715,TRUE
2010,"Denmark","Services of curative care","In-patient average length of stay (in days)","Number",6.57,TRUE
2010,"Denmark","Services of curative care","Bed-days","Number",13074737,TRUE
2010,"Denmark","In-patient care","Discharges","Number",891815,FALSE
2010,"Denmark","In-patient care","In-patient average length of stay (in days)","Number",5.88,FALSE
2010,"Denmark","In-patient care","Bed-days","Number",872386,TRUE
2010,"Germany (until 1990 former territory of the FRG)","Services of curative care","Discharges","Number",17961537,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Services of curative care","In-patient average length of stay (in days)","Number",8.1,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Services of curative care","Bed-days","Number",145019320,FALSE
2010,"Germany (until 1990 former territory of the FRG)","In-patient care","Discharges","Number",19621116,FALSE
2010,"Germany (until 1990 former territory of the FRG)","In-patient care","In-patient average length of stay (in days)","Number",9.5,FALSE
2010,"Germany (until 1990 former territory of the FRG)","In-patient care","Bed-days","Number",19621116,TRUE
2010,"Estonia","Services of curative care","Discharges","Number",212931,FALSE
2010,"Estonia","Services of curative care","In-patient average length of stay (in days)","Number",5.5,FALSE
2010,"Estonia","Services of curative care","Bed-days","Number",1174495,FALSE
2010,"Estonia","In-patient care","Discharges","Number",242848,FALSE
2010,"Estonia","In-patient care","In-patient average length of stay (in days)","Number",7.6,FALSE
2010,"Estonia","In-patient care","Bed-days","Number",242848,TRUE
2010,"Ireland","Services of curative care","Discharges","Number",585572,FALSE
2010,"Ireland","Services of curative care","In-patient average length of stay (in days)","Number",6,FALSE
2010,"Ireland","Services of curative care","Bed-days","Number",3537819,FALSE
2010,"Ireland","In-patient care","Discharges","Number",601521,FALSE
2010,"Ireland","In-patient care","In-patient average length of stay (in days)","Number",6.6,FALSE
2010,"Ireland","In-patient care","Bed-days","Number",601521,TRUE
2010,"Greece","Services of curative care","Discharges","Number",2197206,FALSE
2010,"Greece","Services of curative care","In-patient average length of stay (in days)","Number",5.3,FALSE
2010,"Greece","Services of curative care","Bed-days","Number",13074737,TRUE
2010,"Greece","In-patient care","Discharges","Number",2219835,FALSE
2010,"Greece","In-patient care","In-patient average length of stay (in days)","Number",6.6,FALSE
2010,"Greece","In-patient care","Bed-days","Number",2199062,TRUE
2010,"Spain","Services of curative care","Discharges","Number",5191145,FALSE
2010,"Spain","Services of curative care","In-patient average length of stay (in days)","Number",6.37,FALSE
2010,"Spain","Services of curative care","Bed-days","Number",33043219,FALSE
