"TIME","GEO","UNIT","ICD9CM","Value","Value_imp"
2005,"Belgium","Number","Transplantation of kidney and haemodialysis",10371,FALSE
2005,"Belgium","Number","Haemodialysis",6192,FALSE
2005,"Belgium","Number","Transplantation of kidney",4179,FALSE
2005,"Belgium","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",98.97,FALSE
2005,"Belgium","Per hundred thousand inhabitants","Haemodialysis",59.09,FALSE
2005,"Belgium","Per hundred thousand inhabitants","Transplantation of kidney",39.88,FALSE
2005,"Bulgaria","Number","Transplantation of kidney and haemodialysis",8228,TRUE
2005,"Bulgaria","Number","Haemodialysis",6192,TRUE
2005,"Bulgaria","Number","Transplantation of kidney",1681,TRUE
2005,"Bulgaria","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",98.97,TRUE
2005,"Bulgaria","Per hundred thousand inhabitants","Haemodialysis",59.09,TRUE
2005,"Bulgaria","Per hundred thousand inhabitants","Transplantation of kidney",31.02,TRUE
2005,"Czechia","Number","Transplantation of kidney and haemodialysis",9956,TRUE
2005,"Czechia","Number","Haemodialysis",5733,FALSE
2005,"Czechia","Number","Transplantation of kidney",3687,TRUE
2005,"Czechia","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",95.51,TRUE
2005,"Czechia","Per hundred thousand inhabitants","Haemodialysis",56.01,FALSE
2005,"Czechia","Per hundred thousand inhabitants","Transplantation of kidney",35.37,TRUE
2005,"Denmark","Number","Transplantation of kidney and haemodialysis",4205,FALSE
2005,"Denmark","Number","Haemodialysis",2524,FALSE
2005,"Denmark","Number","Transplantation of kidney",1681,FALSE
2005,"Denmark","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",77.59,FALSE
2005,"Denmark","Per hundred thousand inhabitants","Haemodialysis",46.57,FALSE
2005,"Denmark","Per hundred thousand inhabitants","Transplantation of kidney",31.02,FALSE
2005,"Germany (until 1990 former territory of the FRG)","Number","Transplantation of kidney and haemodialysis",87151,FALSE
2005,"Germany (until 1990 former territory of the FRG)","Number","Haemodialysis",63427,FALSE
2005,"Germany (until 1990 former territory of the FRG)","Number","Transplantation of kidney",23724,FALSE
2005,"Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",105.68,FALSE
2005,"Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Haemodialysis",76.91,FALSE
2005,"Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Transplantation of kidney",28.77,FALSE
2005,"Estonia","Number","Transplantation of kidney and haemodialysis",10371,TRUE
2005,"Estonia","Number","Haemodialysis",5733,TRUE
2005,"Estonia","Number","Transplantation of kidney",395,TRUE
2005,"Estonia","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",98.97,TRUE
2005,"Estonia","Per hundred thousand inhabitants","Haemodialysis",56.01,TRUE
2005,"Estonia","Per hundred thousand inhabitants","Transplantation of kidney",29.47,TRUE
2005,"Ireland","Number","Transplantation of kidney and haemodialysis",3329,TRUE
2005,"Ireland","Number","Haemodialysis",1343,FALSE
2005,"Ireland","Number","Transplantation of kidney",1728,TRUE
2005,"Ireland","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",75.22,TRUE
2005,"Ireland","Per hundred thousand inhabitants","Haemodialysis",32.28,FALSE
2005,"Ireland","Per hundred thousand inhabitants","Transplantation of kidney",39.04,TRUE
2005,"Greece","Number","Transplantation of kidney and haemodialysis",10648,FALSE
2005,"Greece","Number","Haemodialysis",8634,FALSE
2005,"Greece","Number","Transplantation of kidney",2014,FALSE
2005,"Greece","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",95.89,FALSE
2005,"Greece","Per hundred thousand inhabitants","Haemodialysis",77.76,FALSE
2005,"Greece","Per hundred thousand inhabitants","Transplantation of kidney",18.14,FALSE
2005,"Spain","Number","Transplantation of kidney and haemodialysis",39532,FALSE
2005,"Spain","Number","Haemodialysis",21385,FALSE
2005,"Spain","Number","Transplantation of kidney",18147,FALSE
2005,"Spain","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",91.09,FALSE
2005,"Spain","Per hundred thousand inhabitants","Haemodialysis",49.28,FALSE
2005,"Spain","Per hundred thousand inhabitants","Transplantation of kidney",41.82,FALSE
2005,"France","Number","Transplantation of kidney and haemodialysis",57325,FALSE
2005,"France","Number","Haemodialysis",32652,FALSE
2005,"France","Number","Transplantation of kidney",24673,FALSE
2005,"France","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",90.99,FALSE
2005,"France","Per hundred thousand inhabitants","Haemodialysis",51.83,FALSE
2005,"France","Per hundred thousand inhabitants","Transplantation of kidney",39.16,FALSE
2005,"Croatia","Number","Transplantation of kidney and haemodialysis",3708,FALSE
2005,"Croatia","Number","Haemodialysis",2970,FALSE
2005,"Croatia","Number","Transplantation of kidney",738,FALSE
2005,"Croatia","Per hundred thousand inhabitants","Transplantation of kidney and haemodialysis",83.45,FALSE
2005,"Croatia","Per hundred thousand inhabitants","Haemodialysis",66.84,FALSE
2005,"Croatia","Per hundred thousand inhabitants","Transplantation of kidney",16.61,FALSE
2005,"Italy","Number","Transplantation of kidney and haemodialysis",48873,FALSE
2005,"Italy","Number","Haemodialysis",41478,FALSE
2005,"Italy","Number","Transplantation of kidney",7395,FALSE
