"TIME","GEO","AGE","INDIC_HE","UNIT","SEX","ICD10","Value","Value_imp"
2010,"Belgium","Total","Day cases (total number)","Per hundred thousand inhabitants","Total","All causes of diseases (A00-Z99) excluding V00-Y98",15360.4,TRUE
2010,"Belgium","Total","Day cases (total number)","Per hundred thousand inhabitants","Total","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",15343.4,TRUE
2010,"Belgium","Total","Day cases (total number)","Per hundred thousand inhabitants","Total","Certain infectious and parasitic diseases (A00-B99)",85.2,TRUE
2010,"Belgium","Total","Day cases (total number)","Per hundred thousand inhabitants","Total","Tuberculosis",1.9,TRUE
2010,"Belgium","Total","Day cases (total number)","Per hundred thousand inhabitants","Total","Intestinal infectious diseases except diarrhoea",3.3,TRUE
2010,"Belgium","Total","Day cases (total number)","Per hundred thousand inhabitants","Males","All causes of diseases (A00-Z99) excluding V00-Y98",14664.8,TRUE
2010,"Belgium","Total","Day cases (total number)","Per hundred thousand inhabitants","Males","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",14648.2,TRUE
2010,"Belgium","Total","Day cases (total number)","Per hundred thousand inhabitants","Males","Certain infectious and parasitic diseases (A00-B99)",93.7,TRUE
2010,"Belgium","Total","Day cases (total number)","Per hundred thousand inhabitants","Males","Tuberculosis",2.6,TRUE
2010,"Belgium","Total","Day cases (total number)","Per hundred thousand inhabitants","Males","Intestinal infectious diseases except diarrhoea",3.3,TRUE
2010,"Belgium","Total","Day cases (total number)","Per hundred thousand inhabitants","Females","All causes of diseases (A00-Z99) excluding V00-Y98",16031.9,TRUE
2010,"Belgium","Total","Day cases (total number)","Per hundred thousand inhabitants","Females","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",16014.5,TRUE
2010,"Belgium","Total","Day cases (total number)","Per hundred thousand inhabitants","Females","Certain infectious and parasitic diseases (A00-B99)",74.4,TRUE
2010,"Belgium","Total","Day cases (total number)","Per hundred thousand inhabitants","Females","Tuberculosis",1.3,TRUE
2010,"Belgium","Total","Day cases (total number)","Per hundred thousand inhabitants","Females","Intestinal infectious diseases except diarrhoea",3.5,TRUE
2010,"Belgium","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Total","All causes of diseases (A00-Z99) excluding V00-Y98",9373.8,TRUE
2010,"Belgium","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Total","All causes of diseases (A00-Z99) excluding V00-Y98 and Z38",8194.5,TRUE
2010,"Belgium","Less than 1 year","Day cases (total number)","Per hundred thousand inhabitants","Total","Certain infectious and parasitic diseases (A00-B99)",71.8,TRUE
