"TIME","GEO","MORTALIT","SEX","ICD10","UNIT","Value","Value_imp"
2011,"European Union - 27 countries (from 2020)","Total","Total","Total","Number",1079803,FALSE
2011,"European Union - 27 countries (from 2020)","Total","Total","Total","Rate",281.35,FALSE
2011,"European Union - 27 countries (from 2020)","Total","Males","Total","Number",713132,FALSE
2011,"European Union - 27 countries (from 2020)","Total","Males","Total","Rate",390.96,FALSE
2011,"European Union - 27 countries (from 2020)","Total","Females","Total","Number",366671,FALSE
2011,"European Union - 27 countries (from 2020)","Total","Females","Total","Rate",182.26,FALSE
2011,"European Union - 27 countries (from 2020)","Preventable mortality","Total","Total","Number",685851.5,FALSE
2011,"European Union - 27 countries (from 2020)","Preventable mortality","Total","Total","Rate",177.96,FALSE
2011,"European Union - 27 countries (from 2020)","Preventable mortality","Males","Total","Number",495179,FALSE
2011,"European Union - 27 countries (from 2020)","Preventable mortality","Males","Total","Rate",269.67,FALSE
2011,"European Union - 27 countries (from 2020)","Preventable mortality","Females","Total","Number",190672.5,FALSE
2011,"European Union - 27 countries (from 2020)","Preventable mortality","Females","Total","Rate",94.65,FALSE
2011,"European Union - 27 countries (from 2020)","Treatable mortality","Total","Total","Number",393951.5,FALSE
2011,"European Union - 27 countries (from 2020)","Treatable mortality","Total","Total","Rate",103.39,FALSE
2011,"European Union - 27 countries (from 2020)","Treatable mortality","Males","Total","Number",217953,FALSE
2011,"European Union - 27 countries (from 2020)","Treatable mortality","Males","Total","Rate",121.3,FALSE
2011,"European Union - 27 countries (from 2020)","Treatable mortality","Females","Total","Number",175998.5,FALSE
2011,"European Union - 27 countries (from 2020)","Treatable mortality","Females","Total","Rate",87.61,FALSE
2011,"European Union - 28 countries (2013-2020)","Total","Total","Total","Number",1210890,FALSE
2011,"European Union - 28 countries (2013-2020)","Total","Total","Total","Rate",278,FALSE
2011,"European Union - 28 countries (2013-2020)","Total","Males","Total","Number",792864,FALSE
2011,"European Union - 28 countries (2013-2020)","Total","Males","Total","Rate",381.92,FALSE
2011,"European Union - 28 countries (2013-2020)","Total","Females","Total","Number",418026,FALSE
2011,"European Union - 28 countries (2013-2020)","Total","Females","Total","Rate",183.57,FALSE
2011,"European Union - 28 countries (2013-2020)","Preventable mortality","Total","Total","Number",768077.5,FALSE
2011,"European Union - 28 countries (2013-2020)","Preventable mortality","Total","Total","Rate",175.67,FALSE
2011,"European Union - 28 countries (2013-2020)","Preventable mortality","Males","Total","Number",548939.5,FALSE
2011,"European Union - 28 countries (2013-2020)","Preventable mortality","Males","Total","Rate",262.79,FALSE
2011,"European Union - 28 countries (2013-2020)","Preventable mortality","Females","Total","Number",219138,FALSE
2011,"European Union - 28 countries (2013-2020)","Preventable mortality","Females","Total","Rate",96.14,FALSE
2011,"European Union - 28 countries (2013-2020)","Treatable mortality","Total","Total","Number",442812.5,FALSE
2011,"European Union - 28 countries (2013-2020)","Treatable mortality","Total","Total","Rate",102.32,FALSE
2011,"European Union - 28 countries (2013-2020)","Treatable mortality","Males","Total","Number",243924.5,FALSE
2011,"European Union - 28 countries (2013-2020)","Treatable mortality","Males","Total","Rate",119.13,FALSE
2011,"European Union - 28 countries (2013-2020)","Treatable mortality","Females","Total","Number",198888,FALSE
2011,"European Union - 28 countries (2013-2020)","Treatable mortality","Females","Total","Rate",87.43,FALSE
2011,"Belgium","Total","Total","Total","Number",23343,FALSE
2011,"Belgium","Total","Total","Total","Rate",254.69,FALSE
2011,"Belgium","Total","Males","Total","Number",14821,FALSE
2011,"Belgium","Total","Males","Total","Rate",334.5,FALSE
2011,"Belgium","Total","Females","Total","Number",8522,FALSE
2011,"Belgium","Total","Females","Total","Rate",180.32,FALSE
2011,"Belgium","Preventable mortality","Total","Total","Number",15883.5,FALSE
2011,"Belgium","Preventable mortality","Total","Total","Rate",172.38,FALSE
2011,"Belgium","Preventable mortality","Males","Total","Number",11076,FALSE
2011,"Belgium","Preventable mortality","Males","Total","Rate",248.21,FALSE
2011,"Belgium","Preventable mortality","Females","Total","Number",4807.5,FALSE
2011,"Belgium","Preventable mortality","Females","Total","Rate",101.35,FALSE
2011,"Belgium","Treatable mortality","Total","Total","Number",7459.5,FALSE
2011,"Belgium","Treatable mortality","Total","Total","Rate",82.31,FALSE
2011,"Belgium","Treatable mortality","Males","Total","Number",3745,FALSE
2011,"Belgium","Treatable mortality","Males","Total","Rate",86.28,FALSE
2011,"Belgium","Treatable mortality","Females","Total","Number",3714.5,FALSE
2011,"Belgium","Treatable mortality","Females","Total","Rate",78.98,FALSE
2011,"Bulgaria","Total","Total","Total","Number",28882,FALSE
2011,"Bulgaria","Total","Total","Total","Rate",417.95,FALSE
2011,"Bulgaria","Total","Males","Total","Number",18747,FALSE
2011,"Bulgaria","Total","Males","Total","Rate",592.65,FALSE
2011,"Bulgaria","Total","Females","Total","Number",10135,FALSE
2011,"Bulgaria","Total","Females","Total","Rate",270.88,FALSE
2011,"Bulgaria","Preventable mortality","Total","Total","Number",15459.5,FALSE
2011,"Bulgaria","Preventable mortality","Total","Total","Rate",222.86,FALSE
2011,"Bulgaria","Preventable mortality","Males","Total","Number",10986.5,FALSE
2011,"Bulgaria","Preventable mortality","Males","Total","Rate",344.65,FALSE
2011,"Bulgaria","Preventable mortality","Females","Total","Number",4473,FALSE
2011,"Bulgaria","Preventable mortality","Females","Total","Rate",119.32,FALSE
2011,"Bulgaria","Treatable mortality","Total","Total","Number",13422.5,FALSE
2011,"Bulgaria","Treatable mortality","Total","Total","Rate",195.09,FALSE
2011,"Bulgaria","Treatable mortality","Males","Total","Number",7760.5,FALSE
2011,"Bulgaria","Treatable mortality","Males","Total","Rate",248,FALSE
2011,"Bulgaria","Treatable mortality","Females","Total","Number",5662,FALSE
2011,"Bulgaria","Treatable mortality","Females","Total","Rate",151.57,FALSE
2011,"Czechia","Total","Total","Total","Number",34356,FALSE
2011,"Czechia","Total","Total","Total","Rate",373.46,FALSE
2011,"Czechia","Total","Males","Total","Number",22959,FALSE
2011,"Czechia","Total","Males","Total","Rate",531.07,FALSE
2011,"Czechia","Total","Females","Total","Number",11397,FALSE
2011,"Czechia","Total","Females","Total","Rate",235.29,FALSE
2011,"Czechia","Preventable mortality","Total","Total","Number",20972.5,FALSE
2011,"Czechia","Preventable mortality","Total","Total","Rate",225.72,FALSE
2011,"Czechia","Preventable mortality","Males","Total","Number",15088,FALSE
2011,"Czechia","Preventable mortality","Males","Total","Rate",344.03,FALSE
2011,"Czechia","Preventable mortality","Females","Total","Number",5884.5,FALSE
2011,"Czechia","Preventable mortality","Females","Total","Rate",121.08,FALSE
2011,"Czechia","Treatable mortality","Total","Total","Number",13383.5,FALSE
2011,"Czechia","Treatable mortality","Total","Total","Rate",147.74,FALSE
2011,"Czechia","Treatable mortality","Males","Total","Number",7871,FALSE
2011,"Czechia","Treatable mortality","Males","Total","Rate",187.04,FALSE
2011,"Czechia","Treatable mortality","Females","Total","Number",5512.5,FALSE
2011,"Czechia","Treatable mortality","Females","Total","Rate",114.21,FALSE
2011,"Denmark","Total","Total","Total","Number",13467,FALSE
2011,"Denmark","Total","Total","Total","Rate",274.59,FALSE
2011,"Denmark","Total","Males","Total","Number",8166,FALSE
2011,"Denmark","Total","Males","Total","Rate",338.76,FALSE
2011,"Denmark","Total","Females","Total","Number",5301,FALSE
2011,"Denmark","Total","Females","Total","Rate",212.65,FALSE
2011,"Denmark","Preventable mortality","Total","Total","Number",9022,FALSE
2011,"Denmark","Preventable mortality","Total","Total","Rate",183.37,FALSE
2011,"Denmark","Preventable mortality","Males","Total","Number",5868,FALSE
2011,"Denmark","Preventable mortality","Males","Total","Rate",242.02,FALSE
2011,"Denmark","Preventable mortality","Females","Total","Number",3154,FALSE
2011,"Denmark","Preventable mortality","Females","Total","Rate",126.47,FALSE
2011,"Denmark","Treatable mortality","Total","Total","Number",4445,FALSE
2011,"Denmark","Treatable mortality","Total","Total","Rate",91.23,FALSE
2011,"Denmark","Treatable mortality","Males","Total","Number",2298,FALSE
2011,"Denmark","Treatable mortality","Males","Total","Rate",96.74,FALSE
2011,"Denmark","Treatable mortality","Females","Total","Number",2147,FALSE
2011,"Denmark","Treatable mortality","Females","Total","Rate",86.18,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Total","Total","Total","Number",201490,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Total","Total","Total","Rate",257.93,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Total","Males","Total","Number",130920,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Total","Males","Total","Rate",347.65,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Total","Females","Total","Number",70570,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Total","Females","Total","Rate",174.27,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Preventable mortality","Total","Total","Number",127461,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Preventable mortality","Total","Total","Rate",163.45,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Preventable mortality","Males","Total","Number",89805.5,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Preventable mortality","Males","Total","Rate",238.32,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Preventable mortality","Females","Total","Number",37655.5,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Preventable mortality","Females","Total","Rate",93.29,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Treatable mortality","Total","Total","Number",74029,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Treatable mortality","Total","Total","Rate",94.48,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Treatable mortality","Males","Total","Number",41114.5,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Treatable mortality","Males","Total","Rate",109.32,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Treatable mortality","Females","Total","Number",32914.5,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Treatable mortality","Females","Total","Rate",80.98,FALSE
2011,"Estonia","Total","Total","Total","Number",5425,FALSE
2011,"Estonia","Total","Total","Total","Rate",462.64,FALSE
2011,"Estonia","Total","Males","Total","Number",3724,FALSE
2011,"Estonia","Total","Males","Total","Rate",747.6,FALSE
2011,"Estonia","Total","Females","Total","Number",1701,FALSE
2011,"Estonia","Total","Females","Total","Rate",250.46,FALSE
2011,"Estonia","Preventable mortality","Total","Total","Number",3555,FALSE
2011,"Estonia","Preventable mortality","Total","Total","Rate",301.67,FALSE
2011,"Estonia","Preventable mortality","Males","Total","Number",2632,FALSE
2011,"Estonia","Preventable mortality","Males","Total","Rate",518.56,FALSE
2011,"Estonia","Preventable mortality","Females","Total","Number",923,FALSE
2011,"Estonia","Preventable mortality","Females","Total","Rate",136.86,FALSE
2011,"Estonia","Treatable mortality","Total","Total","Number",1870,FALSE
2011,"Estonia","Treatable mortality","Total","Total","Rate",160.97,FALSE
2011,"Estonia","Treatable mortality","Males","Total","Number",1092,FALSE
2011,"Estonia","Treatable mortality","Males","Total","Rate",229.04,FALSE
2011,"Estonia","Treatable mortality","Females","Total","Number",778,FALSE
2011,"Estonia","Treatable mortality","Females","Total","Rate",113.6,FALSE
2011,"Ireland","Total","Total","Total","Number",7965,FALSE
2011,"Ireland","Total","Total","Total","Rate",251.71,FALSE
2011,"Ireland","Total","Males","Total","Number",5042,FALSE
2011,"Ireland","Total","Males","Total","Rate",319.7,FALSE
2011,"Ireland","Total","Females","Total","Number",2923,FALSE
2011,"Ireland","Total","Females","Total","Rate",185.23,FALSE
2011,"Ireland","Preventable mortality","Total","Total","Number",5063.5,FALSE
2011,"Ireland","Preventable mortality","Total","Total","Rate",157.72,FALSE
2011,"Ireland","Preventable mortality","Males","Total","Number",3475.5,FALSE
2011,"Ireland","Preventable mortality","Males","Total","Rate",216.34,FALSE
2011,"Ireland","Preventable mortality","Females","Total","Number",1588,FALSE
2011,"Ireland","Preventable mortality","Females","Total","Rate",100.31,FALSE
2011,"Ireland","Treatable mortality","Total","Total","Number",2901.5,FALSE
2011,"Ireland","Treatable mortality","Total","Total","Rate",93.99,FALSE
2011,"Ireland","Treatable mortality","Males","Total","Number",1566.5,FALSE
2011,"Ireland","Treatable mortality","Males","Total","Rate",103.37,FALSE
2011,"Ireland","Treatable mortality","Females","Total","Number",1335,FALSE
2011,"Ireland","Treatable mortality","Females","Total","Rate",84.92,FALSE
2011,"Greece","Total","Total","Total","Number",23598,FALSE
2011,"Greece","Total","Total","Total","Rate",242.84,FALSE
2011,"Greece","Total","Males","Total","Number",16474,FALSE
2011,"Greece","Total","Males","Total","Rate",354.94,FALSE
2011,"Greece","Total","Females","Total","Number",7124,FALSE
2011,"Greece","Total","Females","Total","Rate",140.08,FALSE
2011,"Greece","Preventable mortality","Total","Total","Number",14479.5,FALSE
2011,"Greece","Preventable mortality","Total","Total","Rate",148.68,FALSE
2011,"Greece","Preventable mortality","Males","Total","Number",11143,FALSE
2011,"Greece","Preventable mortality","Males","Total","Rate",239.19,FALSE
2011,"Greece","Preventable mortality","Females","Total","Number",3336.5,FALSE
2011,"Greece","Preventable mortality","Females","Total","Rate",65.55,FALSE
2011,"Greece","Treatable mortality","Total","Total","Number",9118.5,FALSE
2011,"Greece","Treatable mortality","Total","Total","Rate",94.15,FALSE
2011,"Greece","Treatable mortality","Males","Total","Number",5331,FALSE
2011,"Greece","Treatable mortality","Males","Total","Rate",115.76,FALSE
