"TIME","GEO","UNIT","SEX","ICD10","Value","Value_imp"
2011,"European Union - 27 countries (from 2020)","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",37138,FALSE
2011,"European Union - 27 countries (from 2020)","Number","Total","Other sepsis",33171,FALSE
2011,"European Union - 27 countries (from 2020)","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",92037,FALSE
2011,"European Union - 27 countries (from 2020)","Number","Total","Pneumonia, organism unspecified",84289,FALSE
2011,"European Union - 28 countries (2013-2020)","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",40939,FALSE
2011,"European Union - 28 countries (2013-2020)","Number","Total","Other sepsis",35726,FALSE
2011,"European Union - 28 countries (2013-2020)","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",109197,FALSE
2011,"European Union - 28 countries (2013-2020)","Number","Total","Pneumonia, organism unspecified",112257,FALSE
2011,"Belgium","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",1280,FALSE
2011,"Belgium","Number","Total","Other sepsis",1148,FALSE
2011,"Belgium","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",2994,FALSE
2011,"Belgium","Number","Total","Pneumonia, organism unspecified",3260,FALSE
2011,"Bulgaria","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",290,FALSE
2011,"Bulgaria","Number","Total","Other sepsis",233,FALSE
2011,"Bulgaria","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",1227,FALSE
2011,"Bulgaria","Number","Total","Pneumonia, organism unspecified",1200,FALSE
2011,"Czechia","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",651,FALSE
2011,"Czechia","Number","Total","Other sepsis",714,FALSE
2011,"Czechia","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",2336,FALSE
2011,"Czechia","Number","Total","Pneumonia, organism unspecified",2073,FALSE
2011,"Denmark","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",559,FALSE
2011,"Denmark","Number","Total","Other sepsis",250,FALSE
2011,"Denmark","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",1954,FALSE
2011,"Denmark","Number","Total","Pneumonia, organism unspecified",890,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",9300,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Number","Total","Other sepsis",7411,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",15593,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Number","Total","Pneumonia, organism unspecified",18020,FALSE
2011,"Estonia","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",127,FALSE
2011,"Estonia","Number","Total","Other sepsis",3,FALSE
2011,"Estonia","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",347,FALSE
2011,"Estonia","Number","Total","Pneumonia, organism unspecified",29,FALSE
2011,"Ireland","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",142,FALSE
2011,"Ireland","Number","Total","Other sepsis",93,FALSE
2011,"Ireland","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",684,FALSE
2011,"Ireland","Number","Total","Pneumonia, organism unspecified",1040,FALSE
2011,"Greece","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",254,FALSE
2011,"Greece","Number","Total","Other sepsis",3626,FALSE
2011,"Greece","Number","Total","Other infectious diseases (G00, G03-G04, G06, G08-G09, H00-H01, H10, H16, H20, H30, H46, H60, H65-H66, H68, H70, I00-I02, I30, I33, I38, I40, I80, J00-J16, J20-J22, J31-J32, J36-J37, J40-J42, J85-J86, K04-K05, K20, K29, K35-K37, K61, K65, K73, K75, K81, K85, L00-L08, M00, M02, N10-N12, N15, N30, N34, N39, N41, N45, N49, N61, N70-N73, N75-N76, O23, O85-O86, O91, O98, P35-P39, R50)",5612,FALSE
2011,"Greece","Number","Total","Pneumonia, organism unspecified",1665,FALSE
2011,"Spain","Number","Total","Certain infectious diseases (A00-A40, A42-B99)",3452,FALSE
