"TIME","GEO","UNIT","ICHA11_HF","Value","Value_imp"
2009,"European Union - 27 countries (from 2020)","Million euro","All financing schemes",1213033.52,TRUE
2009,"European Union - 27 countries (from 2020)","Million euro","Government schemes and compulsory contributory health care financing schemes",946258.94,TRUE
2009,"European Union - 27 countries (from 2020)","Million euro","Government schemes",348580.6,TRUE
2009,"European Union - 27 countries (from 2020)","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",631557.62,TRUE
2009,"European Union - 27 countries (from 2020)","Million euro","Social health insurance schemes",23474.9,TRUE
2009,"European Union - 28 countries (2013-2020)","Million euro","All financing schemes",1474601,TRUE
2009,"European Union - 28 countries (2013-2020)","Million euro","Government schemes and compulsory contributory health care financing schemes",1154213.92,TRUE
2009,"European Union - 28 countries (2013-2020)","Million euro","Government schemes",548836.45,TRUE
2009,"European Union - 28 countries (2013-2020)","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",631557.62,TRUE
2009,"European Union - 28 countries (2013-2020)","Million euro","Social health insurance schemes",23474.9,TRUE
2009,"European Union - 27 countries (2007-2013)","Million euro","All financing schemes",1471573.22,TRUE
2009,"European Union - 27 countries (2007-2013)","Million euro","Government schemes and compulsory contributory health care financing schemes",1151711.99,TRUE
2009,"European Union - 27 countries (2007-2013)","Million euro","Government schemes",548759.56,TRUE
2009,"European Union - 27 countries (2007-2013)","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",629007.28,TRUE
2009,"European Union - 27 countries (2007-2013)","Million euro","Social health insurance schemes",23474.9,TRUE
2009,"European Union - 15 countries (1995-2004)","Million euro","All financing schemes",1333671.16,TRUE
2009,"European Union - 15 countries (1995-2004)","Million euro","Government schemes and compulsory contributory health care financing schemes",1047644.89,TRUE
2009,"European Union - 15 countries (1995-2004)","Million euro","Government schemes",509576.56,TRUE
2009,"European Union - 15 countries (1995-2004)","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",538068.33,TRUE
2009,"European Union - 15 countries (1995-2004)","Million euro","Social health insurance schemes",478171.07,TRUE
2009,"Euro area - 19 countries  (from 2015)","Million euro","All financing schemes",1074381.4,TRUE
2009,"Euro area - 19 countries  (from 2015)","Million euro","Government schemes and compulsory contributory health care financing schemes",836403.96,TRUE
2009,"Euro area - 19 countries  (from 2015)","Million euro","Government schemes",277351.86,TRUE
2009,"Euro area - 19 countries  (from 2015)","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",591585.75,TRUE
2009,"Euro area - 19 countries  (from 2015)","Million euro","Social health insurance schemes",23474.9,TRUE
2009,"Euro area - 18 countries (2014)","Million euro","All financing schemes",1071957.52,TRUE
2009,"Euro area - 18 countries (2014)","Million euro","Government schemes and compulsory contributory health care financing schemes",834776.57,TRUE
2009,"Euro area - 18 countries (2014)","Million euro","Government schemes",277110.29,TRUE
2009,"Euro area - 18 countries (2014)","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",590111.93,TRUE
2009,"Euro area - 18 countries (2014)","Million euro","Social health insurance schemes",23474.9,TRUE
2009,"Euro area - 12 countries (2001-2006)","Million euro","All financing schemes",1001514.67,TRUE
2009,"Euro area - 12 countries (2001-2006)","Million euro","Government schemes and compulsory contributory health care financing schemes",780126.57,TRUE
2009,"Euro area - 12 countries (2001-2006)","Million euro","Government schemes",262928.63,TRUE
2009,"Euro area - 12 countries (2001-2006)","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",519475.14,TRUE
2009,"Euro area - 12 countries (2001-2006)","Million euro","Social health insurance schemes",478171.07,TRUE
2009,"Belgium","Million euro","All financing schemes",35879.39,FALSE
2009,"Belgium","Million euro","Government schemes and compulsory contributory health care financing schemes",27304.88,FALSE
2009,"Belgium","Million euro","Government schemes",3810.66,FALSE
2009,"Belgium","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",23494.22,FALSE
2009,"Belgium","Million euro","Social health insurance schemes",23474.9,FALSE
2009,"Bulgaria","Million euro","All financing schemes",3003.51,TRUE
2009,"Bulgaria","Million euro","Government schemes and compulsory contributory health care financing schemes",1624.92,TRUE
2009,"Bulgaria","Million euro","Government schemes",350.12,TRUE
2009,"Bulgaria","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",1274.8,TRUE
2009,"Bulgaria","Million euro","Social health insurance schemes",1274.8,TRUE
2009,"Czechia","Million euro","All financing schemes",12202.11,TRUE
2009,"Czechia","Million euro","Government schemes and compulsory contributory health care financing schemes",10050.99,TRUE
2009,"Czechia","Million euro","Government schemes",1466.1,TRUE
2009,"Czechia","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",8584.89,TRUE
2009,"Czechia","Million euro","Social health insurance schemes",8718.68,TRUE
2009,"Denmark","Million euro","All financing schemes",25167.02,TRUE
2009,"Denmark","Million euro","Government schemes and compulsory contributory health care financing schemes",21076.18,TRUE
2009,"Denmark","Million euro","Government schemes",21076.18,TRUE
2009,"Denmark","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",0,TRUE
2009,"Denmark","Million euro","Social health insurance schemes",0,TRUE
2009,"Germany (until 1990 former territory of the FRG)","Million euro","All financing schemes",274841,FALSE
2009,"Germany (until 1990 former territory of the FRG)","Million euro","Government schemes and compulsory contributory health care financing schemes",229043,FALSE
2009,"Germany (until 1990 former territory of the FRG)","Million euro","Government schemes",18793,FALSE
2009,"Germany (until 1990 former territory of the FRG)","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",210249,FALSE
2009,"Germany (until 1990 former territory of the FRG)","Million euro","Social health insurance schemes",188255,FALSE
2009,"Estonia","Million euro","All financing schemes",925.55,FALSE
2009,"Estonia","Million euro","Government schemes and compulsory contributory health care financing schemes",720.72,FALSE
2009,"Estonia","Million euro","Government schemes",98.54,FALSE
2009,"Estonia","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",622.18,FALSE
2009,"Estonia","Million euro","Social health insurance schemes",622.18,FALSE
2009,"Ireland","Million euro","All financing schemes",18505.51,TRUE
2009,"Ireland","Million euro","Government schemes and compulsory contributory health care financing schemes",13233.25,TRUE
2009,"Ireland","Million euro","Government schemes",13177.04,TRUE
2009,"Ireland","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",56.22,TRUE
2009,"Ireland","Million euro","Social health insurance schemes",0,TRUE
2009,"Greece","Million euro","All financing schemes",22344.57,FALSE
2009,"Greece","Million euro","Government schemes and compulsory contributory health care financing schemes",15265.83,FALSE
2009,"Greece","Million euro","Government schemes",6115.4,FALSE
2009,"Greece","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",9150.43,FALSE
2009,"Greece","Million euro","Social health insurance schemes",9150.43,FALSE
2009,"Spain","Million euro","All financing schemes",97384.01,FALSE
2009,"Spain","Million euro","Government schemes and compulsory contributory health care financing schemes",73106.85,FALSE
2009,"Spain","Million euro","Government schemes",69106.44,FALSE
2009,"Spain","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",4000.41,FALSE
2009,"Spain","Million euro","Social health insurance schemes",4000.41,FALSE
