"TIME","GEO","UNIT","ICHA11_HC","Value","Value_imp"
2009,"European Union - 27 countries (from 2020)","Million euro","Current health care expenditure (CHE)",1213033.52,TRUE
2009,"European Union - 27 countries (from 2020)","Million euro","Curative care and rehabilitative care",651214.95,TRUE
2009,"European Union - 27 countries (from 2020)","Million euro","Curative care",15566.94,TRUE
2009,"European Union - 27 countries (from 2020)","Million euro","Inpatient curative and rehabilitative care",324206.51,TRUE
2009,"European Union - 27 countries (from 2020)","Million euro","Inpatient curative care",8868.22,TRUE
2009,"European Union - 28 countries (2013-2020)","Million euro","Current health care expenditure (CHE)",1474601,TRUE
2009,"European Union - 28 countries (2013-2020)","Million euro","Curative care and rehabilitative care",798747.96,TRUE
2009,"European Union - 28 countries (2013-2020)","Million euro","Curative care",15566.94,TRUE
2009,"European Union - 28 countries (2013-2020)","Million euro","Inpatient curative and rehabilitative care",386040.94,TRUE
2009,"European Union - 28 countries (2013-2020)","Million euro","Inpatient curative care",8868.22,TRUE
2009,"European Union - 27 countries (2007-2013)","Million euro","Current health care expenditure (CHE)",1471573.22,TRUE
2009,"European Union - 27 countries (2007-2013)","Million euro","Curative care and rehabilitative care",797030.29,TRUE
2009,"European Union - 27 countries (2007-2013)","Million euro","Curative care",15566.94,TRUE
2009,"European Union - 27 countries (2007-2013)","Million euro","Inpatient curative and rehabilitative care",385288.98,TRUE
2009,"European Union - 27 countries (2007-2013)","Million euro","Inpatient curative care",8868.22,TRUE
2009,"European Union - 15 countries (1995-2004)","Million euro","Current health care expenditure (CHE)",1333671.16,TRUE
2009,"European Union - 15 countries (1995-2004)","Million euro","Curative care and rehabilitative care",717423.88,TRUE
2009,"European Union - 15 countries (1995-2004)","Million euro","Curative care",15566.94,TRUE
2009,"European Union - 15 countries (1995-2004)","Million euro","Inpatient curative and rehabilitative care",348033.69,TRUE
2009,"European Union - 15 countries (1995-2004)","Million euro","Inpatient curative care",8868.22,TRUE
2009,"Euro area - 19 countries  (from 2015)","Million euro","Current health care expenditure (CHE)",1074381.4,TRUE
2009,"Euro area - 19 countries  (from 2015)","Million euro","Curative care and rehabilitative care",575572.5,TRUE
2009,"Euro area - 19 countries  (from 2015)","Million euro","Curative care",15566.94,TRUE
2009,"Euro area - 19 countries  (from 2015)","Million euro","Inpatient curative and rehabilitative care",288322.18,TRUE
2009,"Euro area - 19 countries  (from 2015)","Million euro","Inpatient curative care",8868.22,TRUE
2009,"Euro area - 18 countries (2014)","Million euro","Current health care expenditure (CHE)",1071957.52,TRUE
2009,"Euro area - 18 countries (2014)","Million euro","Curative care and rehabilitative care",574309.33,TRUE
2009,"Euro area - 18 countries (2014)","Million euro","Curative care",15566.94,TRUE
2009,"Euro area - 18 countries (2014)","Million euro","Inpatient curative and rehabilitative care",287646.05,TRUE
2009,"Euro area - 18 countries (2014)","Million euro","Inpatient curative care",8868.22,TRUE
2009,"Euro area - 12 countries (2001-2006)","Million euro","Current health care expenditure (CHE)",1001514.67,TRUE
2009,"Euro area - 12 countries (2001-2006)","Million euro","Curative care and rehabilitative care",536670.5,TRUE
2009,"Euro area - 12 countries (2001-2006)","Million euro","Curative care",15566.94,TRUE
2009,"Euro area - 12 countries (2001-2006)","Million euro","Inpatient curative and rehabilitative care",271396.76,TRUE
2009,"Euro area - 12 countries (2001-2006)","Million euro","Inpatient curative care",8868.22,TRUE
2009,"Belgium","Million euro","Current health care expenditure (CHE)",35879.39,FALSE
2009,"Belgium","Million euro","Curative care and rehabilitative care",18019.63,FALSE
2009,"Belgium","Million euro","Curative care",15566.94,FALSE
2009,"Belgium","Million euro","Inpatient curative and rehabilitative care",9760.23,FALSE
2009,"Belgium","Million euro","Inpatient curative care",8868.22,FALSE
