"TIME","GEO","UNIT","ICHA11_HF","Value","Value_imp"
2009,"European Union - 27 countries (from 2020)","Million euro","All financing schemes",932.1,TRUE
2009,"European Union - 27 countries (from 2020)","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2009,"European Union - 27 countries (from 2020)","Million euro","Government schemes",213.47,TRUE
2009,"European Union - 27 countries (from 2020)","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",181.89,TRUE
2009,"European Union - 27 countries (from 2020)","Million euro","Social health insurance schemes",181.89,TRUE
2009,"European Union - 28 countries (2013-2020)","Million euro","All financing schemes",932.1,TRUE
2009,"European Union - 28 countries (2013-2020)","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2009,"European Union - 28 countries (2013-2020)","Million euro","Government schemes",213.47,TRUE
2009,"European Union - 28 countries (2013-2020)","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",181.89,TRUE
2009,"European Union - 28 countries (2013-2020)","Million euro","Social health insurance schemes",181.89,TRUE
2009,"European Union - 27 countries (2007-2013)","Million euro","All financing schemes",932.1,TRUE
2009,"European Union - 27 countries (2007-2013)","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2009,"European Union - 27 countries (2007-2013)","Million euro","Government schemes",213.47,TRUE
2009,"European Union - 27 countries (2007-2013)","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",181.89,TRUE
2009,"European Union - 27 countries (2007-2013)","Million euro","Social health insurance schemes",181.89,TRUE
2009,"European Union - 15 countries (1995-2004)","Million euro","All financing schemes",932.1,TRUE
2009,"European Union - 15 countries (1995-2004)","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2009,"European Union - 15 countries (1995-2004)","Million euro","Government schemes",213.47,TRUE
2009,"European Union - 15 countries (1995-2004)","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",181.89,TRUE
2009,"European Union - 15 countries (1995-2004)","Million euro","Social health insurance schemes",181.89,TRUE
2009,"Euro area - 19 countries  (from 2015)","Million euro","All financing schemes",932.1,TRUE
2009,"Euro area - 19 countries  (from 2015)","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2009,"Euro area - 19 countries  (from 2015)","Million euro","Government schemes",213.47,TRUE
2009,"Euro area - 19 countries  (from 2015)","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",181.89,TRUE
2009,"Euro area - 19 countries  (from 2015)","Million euro","Social health insurance schemes",181.89,TRUE
2009,"Euro area - 18 countries (2014)","Million euro","All financing schemes",932.1,TRUE
2009,"Euro area - 18 countries (2014)","Million euro","Government schemes and compulsory contributory health care financing schemes",711.45,TRUE
2009,"Euro area - 18 countries (2014)","Million euro","Government schemes",213.47,TRUE
2009,"Euro area - 18 countries (2014)","Million euro","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",181.89,TRUE
2009,"Euro area - 18 countries (2014)","Million euro","Social health insurance schemes",181.89,TRUE
2009,"Euro area - 12 countries (2001-2006)","Million euro","All financing schemes",932.1,TRUE
