"TIME","GEO","UNIT","ICHA11_HC","Value","Value_imp"
2009,"European Union - 27 countries (from 2020)","Million euro","Current health care expenditure (CHE)",932.1,TRUE
2009,"European Union - 27 countries (from 2020)","Million euro","Curative care and rehabilitative care",534.32,TRUE
2009,"European Union - 27 countries (from 2020)","Million euro","Curative care",519.45,TRUE
2009,"European Union - 27 countries (from 2020)","Million euro","Inpatient curative and rehabilitative care",252.35,TRUE
2009,"European Union - 27 countries (from 2020)","Million euro","Inpatient curative care",247.4,TRUE
2009,"European Union - 28 countries (2013-2020)","Million euro","Current health care expenditure (CHE)",932.1,TRUE
2009,"European Union - 28 countries (2013-2020)","Million euro","Curative care and rehabilitative care",534.32,TRUE
2009,"European Union - 28 countries (2013-2020)","Million euro","Curative care",519.45,TRUE
2009,"European Union - 28 countries (2013-2020)","Million euro","Inpatient curative and rehabilitative care",252.35,TRUE
2009,"European Union - 28 countries (2013-2020)","Million euro","Inpatient curative care",247.4,TRUE
2009,"European Union - 27 countries (2007-2013)","Million euro","Current health care expenditure (CHE)",932.1,TRUE
2009,"European Union - 27 countries (2007-2013)","Million euro","Curative care and rehabilitative care",534.32,TRUE
2009,"European Union - 27 countries (2007-2013)","Million euro","Curative care",519.45,TRUE
2009,"European Union - 27 countries (2007-2013)","Million euro","Inpatient curative and rehabilitative care",252.35,TRUE
2009,"European Union - 27 countries (2007-2013)","Million euro","Inpatient curative care",247.4,TRUE
2009,"European Union - 15 countries (1995-2004)","Million euro","Current health care expenditure (CHE)",932.1,TRUE
2009,"European Union - 15 countries (1995-2004)","Million euro","Curative care and rehabilitative care",534.32,TRUE
2009,"European Union - 15 countries (1995-2004)","Million euro","Curative care",519.45,TRUE
2009,"European Union - 15 countries (1995-2004)","Million euro","Inpatient curative and rehabilitative care",252.35,TRUE
2009,"European Union - 15 countries (1995-2004)","Million euro","Inpatient curative care",247.4,TRUE
2009,"Euro area - 19 countries  (from 2015)","Million euro","Current health care expenditure (CHE)",932.1,TRUE
2009,"Euro area - 19 countries  (from 2015)","Million euro","Curative care and rehabilitative care",534.32,TRUE
2009,"Euro area - 19 countries  (from 2015)","Million euro","Curative care",519.45,TRUE
2009,"Euro area - 19 countries  (from 2015)","Million euro","Inpatient curative and rehabilitative care",252.35,TRUE
2009,"Euro area - 19 countries  (from 2015)","Million euro","Inpatient curative care",247.4,TRUE
2009,"Euro area - 18 countries (2014)","Million euro","Current health care expenditure (CHE)",932.1,TRUE
2009,"Euro area - 18 countries (2014)","Million euro","Curative care and rehabilitative care",534.32,TRUE
2009,"Euro area - 18 countries (2014)","Million euro","Curative care",519.45,TRUE
2009,"Euro area - 18 countries (2014)","Million euro","Inpatient curative and rehabilitative care",252.35,TRUE
2009,"Euro area - 18 countries (2014)","Million euro","Inpatient curative care",247.4,TRUE
2009,"Euro area - 12 countries (2001-2006)","Million euro","Current health care expenditure (CHE)",932.1,TRUE
2009,"Euro area - 12 countries (2001-2006)","Million euro","Curative care and rehabilitative care",534.32,TRUE
2009,"Euro area - 12 countries (2001-2006)","Million euro","Curative care",519.45,TRUE
2009,"Euro area - 12 countries (2001-2006)","Million euro","Inpatient curative and rehabilitative care",252.35,TRUE
2009,"Euro area - 12 countries (2001-2006)","Million euro","Inpatient curative care",247.4,TRUE
2009,"Belgium","Million euro","Current health care expenditure (CHE)",932.1,TRUE
2009,"Belgium","Million euro","Curative care and rehabilitative care",534.32,TRUE
2009,"Belgium","Million euro","Curative care",519.45,TRUE
2009,"Belgium","Million euro","Inpatient curative and rehabilitative care",252.35,TRUE
2009,"Belgium","Million euro","Inpatient curative care",247.4,TRUE
