"TIME","GEO","UNIT","ICHA11_HP","Value","Value_imp"
2009,"European Union - 27 countries (from 2020)","Million euro","All providers of health care",932.1,TRUE
2009,"European Union - 27 countries (from 2020)","Million euro","Hospitals",444.73,TRUE
2009,"European Union - 27 countries (from 2020)","Million euro","General hospitals",420.03,TRUE
2009,"European Union - 27 countries (from 2020)","Million euro","Mental health hospitals",436.46,TRUE
2009,"European Union - 27 countries (from 2020)","Million euro","Specialised hospitals (other than mental health hospitals)",59.84,TRUE
2009,"European Union - 28 countries (2013-2020)","Million euro","All providers of health care",932.1,TRUE
2009,"European Union - 28 countries (2013-2020)","Million euro","Hospitals",444.73,TRUE
2009,"European Union - 28 countries (2013-2020)","Million euro","General hospitals",420.03,TRUE
2009,"European Union - 28 countries (2013-2020)","Million euro","Mental health hospitals",436.46,TRUE
2009,"European Union - 28 countries (2013-2020)","Million euro","Specialised hospitals (other than mental health hospitals)",59.84,TRUE
2009,"European Union - 27 countries (2007-2013)","Million euro","All providers of health care",932.1,TRUE
2009,"European Union - 27 countries (2007-2013)","Million euro","Hospitals",444.73,TRUE
2009,"European Union - 27 countries (2007-2013)","Million euro","General hospitals",420.03,TRUE
2009,"European Union - 27 countries (2007-2013)","Million euro","Mental health hospitals",436.46,TRUE
2009,"European Union - 27 countries (2007-2013)","Million euro","Specialised hospitals (other than mental health hospitals)",59.84,TRUE
2009,"European Union - 15 countries (1995-2004)","Million euro","All providers of health care",932.1,TRUE
2009,"European Union - 15 countries (1995-2004)","Million euro","Hospitals",444.73,TRUE
2009,"European Union - 15 countries (1995-2004)","Million euro","General hospitals",420.03,TRUE
2009,"European Union - 15 countries (1995-2004)","Million euro","Mental health hospitals",436.46,TRUE
2009,"European Union - 15 countries (1995-2004)","Million euro","Specialised hospitals (other than mental health hospitals)",59.84,TRUE
2009,"Euro area - 19 countries  (from 2015)","Million euro","All providers of health care",932.1,TRUE
2009,"Euro area - 19 countries  (from 2015)","Million euro","Hospitals",444.73,TRUE
2009,"Euro area - 19 countries  (from 2015)","Million euro","General hospitals",420.03,TRUE
2009,"Euro area - 19 countries  (from 2015)","Million euro","Mental health hospitals",436.46,TRUE
2009,"Euro area - 19 countries  (from 2015)","Million euro","Specialised hospitals (other than mental health hospitals)",59.84,TRUE
2009,"Euro area - 18 countries (2014)","Million euro","All providers of health care",932.1,TRUE
2009,"Euro area - 18 countries (2014)","Million euro","Hospitals",444.73,TRUE
2009,"Euro area - 18 countries (2014)","Million euro","General hospitals",420.03,TRUE
2009,"Euro area - 18 countries (2014)","Million euro","Mental health hospitals",436.46,TRUE
2009,"Euro area - 18 countries (2014)","Million euro","Specialised hospitals (other than mental health hospitals)",59.84,TRUE
2009,"Euro area - 12 countries (2001-2006)","Million euro","All providers of health care",932.1,TRUE
2009,"Euro area - 12 countries (2001-2006)","Million euro","Hospitals",444.73,TRUE
2009,"Euro area - 12 countries (2001-2006)","Million euro","General hospitals",420.03,TRUE
2009,"Euro area - 12 countries (2001-2006)","Million euro","Mental health hospitals",436.46,TRUE
2009,"Euro area - 12 countries (2001-2006)","Million euro","Specialised hospitals (other than mental health hospitals)",59.84,TRUE
2009,"Belgium","Million euro","All providers of health care",59.84,TRUE
2009,"Belgium","Million euro","Hospitals",444.73,TRUE
2009,"Belgium","Million euro","General hospitals",420.03,TRUE
2009,"Belgium","Million euro","Mental health hospitals",59.84,TRUE
2009,"Belgium","Million euro","Specialised hospitals (other than mental health hospitals)",59.84,FALSE
2009,"Bulgaria","Million euro","All providers of health care",932.1,TRUE
2009,"Bulgaria","Million euro","Hospitals",444.73,TRUE
2009,"Bulgaria","Million euro","General hospitals",887.08,TRUE
2009,"Bulgaria","Million euro","Mental health hospitals",21.01,TRUE
2009,"Bulgaria","Million euro","Specialised hospitals (other than mental health hospitals)",249.81,TRUE
2009,"Czechia","Million euro","All providers of health care",932.1,TRUE
2009,"Czechia","Million euro","Hospitals",444.73,TRUE
2009,"Czechia","Million euro","General hospitals",420.03,TRUE
2009,"Czechia","Million euro","Mental health hospitals",173.28,TRUE
2009,"Czechia","Million euro","Specialised hospitals (other than mental health hospitals)",333.75,TRUE
2009,"Denmark","Million euro","All providers of health care",925.55,TRUE
2009,"Denmark","Million euro","Hospitals",724.79,TRUE
2009,"Denmark","Million euro","General hospitals",598.05,TRUE
2009,"Denmark","Million euro","Mental health hospitals",948.77,TRUE
2009,"Denmark","Million euro","Specialised hospitals (other than mental health hospitals)",0,TRUE
2009,"Germany (until 1990 former territory of the FRG)","Million euro","All providers of health care",932.1,TRUE
2009,"Germany (until 1990 former territory of the FRG)","Million euro","Hospitals",444.73,TRUE
2009,"Germany (until 1990 former territory of the FRG)","Million euro","General hospitals",420.03,TRUE
2009,"Germany (until 1990 former territory of the FRG)","Million euro","Mental health hospitals",436.46,TRUE
2009,"Germany (until 1990 former territory of the FRG)","Million euro","Specialised hospitals (other than mental health hospitals)",59.84,TRUE
2009,"Estonia","Million euro","All providers of health care",925.55,FALSE
2009,"Estonia","Million euro","Hospitals",444.73,FALSE
2009,"Estonia","Million euro","General hospitals",420.03,FALSE
2009,"Estonia","Million euro","Mental health hospitals",2.61,FALSE
2009,"Estonia","Million euro","Specialised hospitals (other than mental health hospitals)",22.1,FALSE
2009,"Ireland","Million euro","All providers of health care",932.1,TRUE
2009,"Ireland","Million euro","Hospitals",444.73,TRUE
2009,"Ireland","Million euro","General hospitals",420.03,TRUE
2009,"Ireland","Million euro","Mental health hospitals",267.18,TRUE
2009,"Ireland","Million euro","Specialised hospitals (other than mental health hospitals)",704.26,TRUE
2009,"Greece","Million euro","All providers of health care",858.79,TRUE
2009,"Greece","Million euro","Hospitals",444.73,TRUE
2009,"Greece","Million euro","General hospitals",436.46,TRUE
2009,"Greece","Million euro","Mental health hospitals",436.46,FALSE
2009,"Greece","Million euro","Specialised hospitals (other than mental health hospitals)",858.79,FALSE
2009,"Spain","Million euro","All providers of health care",925.55,TRUE
2009,"Spain","Million euro","Hospitals",724.79,TRUE
2009,"Spain","Million euro","General hospitals",598.05,TRUE
2009,"Spain","Million euro","Mental health hospitals",757.26,FALSE
2009,"Spain","Million euro","Specialised hospitals (other than mental health hospitals)",59.84,TRUE
2009,"France","Million euro","All providers of health care",925.55,TRUE
2009,"France","Million euro","Hospitals",444.73,TRUE
2009,"France","Million euro","General hospitals",420.03,TRUE
2009,"France","Million euro","Mental health hospitals",436.46,TRUE
2009,"France","Million euro","Specialised hospitals (other than mental health hospitals)",320.34,FALSE
2009,"Croatia","Million euro","All providers of health care",932.1,TRUE
2009,"Croatia","Million euro","Hospitals",444.73,TRUE
2009,"Croatia","Million euro","General hospitals",420.03,TRUE
2009,"Croatia","Million euro","Mental health hospitals",43.57,TRUE
2009,"Croatia","Million euro","Specialised hospitals (other than mental health hospitals)",96.01,TRUE
2009,"Italy","Million euro","All providers of health care",932.1,TRUE
2009,"Italy","Million euro","Hospitals",444.73,TRUE
2009,"Italy","Million euro","General hospitals",420.03,TRUE
2009,"Italy","Million euro","Mental health hospitals",436.46,TRUE
2009,"Italy","Million euro","Specialised hospitals (other than mental health hospitals)",59.84,TRUE
2009,"Cyprus","Million euro","All providers of health care",925.55,TRUE
