"TIME","GEO","UNIT","ICHA11_FS","Value","Value_imp"
2009,"Belgium","Million euro","All revenues of financing schemes",35.879,FALSE
2009,"Czechia","Million euro","All revenues of financing schemes",274.841,TRUE
2009,"Denmark","Million euro","All revenues of financing schemes",25.167,TRUE
2009,"Germany (until 1990 former territory of the FRG)","Million euro","All revenues of financing schemes",274.841,FALSE
2009,"Estonia","Million euro","All revenues of financing schemes",925,FALSE
2009,"Ireland","Million euro","All revenues of financing schemes",18.85,TRUE
2009,"Spain","Million euro","All revenues of financing schemes",97.384,FALSE
2009,"Croatia","Million euro","All revenues of financing schemes",3.027,TRUE
2009,"Cyprus","Million euro","All revenues of financing schemes",1.274,TRUE
2009,"Latvia","Million euro","All revenues of financing schemes",35.879,TRUE
2009,"Lithuania","Million euro","All revenues of financing schemes",2.423,TRUE
2009,"Luxembourg","Million euro","All revenues of financing schemes",2.57,TRUE
2009,"Hungary","Million euro","All revenues of financing schemes",6.832,FALSE
2009,"Malta","Million euro","All revenues of financing schemes",889,TRUE
2009,"Poland","Million euro","All revenues of financing schemes",25.681,TRUE
2009,"Slovenia","Million euro","All revenues of financing schemes",3.309,TRUE
2009,"Finland","Million euro","All revenues of financing schemes",16.65,FALSE
2009,"Sweden","Million euro","All revenues of financing schemes",27.603,FALSE
2009,"Iceland","Million euro","All revenues of financing schemes",939,TRUE
2009,"Norway","Million euro","All revenues of financing schemes",35.318,TRUE
2009,"Switzerland","Million euro","All revenues of financing schemes",52.119,TRUE
2009,"United Kingdom","Million euro","All revenues of financing schemes",229.998,TRUE
2010,"Belgium","Million euro","All revenues of financing schemes",37.162,FALSE
2010,"Czechia","Million euro","All revenues of financing schemes",25.126,TRUE
2010,"Denmark","Million euro","All revenues of financing schemes",25.126,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Million euro","All revenues of financing schemes",284.568,FALSE
2010,"Estonia","Million euro","All revenues of financing schemes",932,FALSE
2010,"Ireland","Million euro","All revenues of financing schemes",18.85,TRUE
2010,"Spain","Million euro","All revenues of financing schemes",97.815,FALSE
2010,"Croatia","Million euro","All revenues of financing schemes",3.027,TRUE
2010,"Cyprus","Million euro","All revenues of financing schemes",1.265,FALSE
2010,"Latvia","Million euro","All revenues of financing schemes",1.804,TRUE
2010,"Lithuania","Million euro","All revenues of financing schemes",2.423,TRUE
2010,"Luxembourg","Million euro","All revenues of financing schemes",2.57,TRUE
2010,"Hungary","Million euro","All revenues of financing schemes",7.431,FALSE
2010,"Malta","Million euro","All revenues of financing schemes",889,TRUE
2010,"Poland","Million euro","All revenues of financing schemes",25.681,TRUE
2010,"Slovenia","Million euro","All revenues of financing schemes",3.309,TRUE
2010,"Finland","Million euro","All revenues of financing schemes",17.2,FALSE
2010,"Sweden","Million euro","All revenues of financing schemes",31.202,FALSE
2010,"Iceland","Million euro","All revenues of financing schemes",939,TRUE
2010,"Norway","Million euro","All revenues of financing schemes",35.318,TRUE
2010,"Switzerland","Million euro","All revenues of financing schemes",45.327,FALSE
2010,"United Kingdom","Million euro","All revenues of financing schemes",229.998,TRUE
2011,"Belgium","Million euro","All revenues of financing schemes",39.071,FALSE
2011,"Czechia","Million euro","All revenues of financing schemes",25.167,TRUE
2011,"Denmark","Million euro","All revenues of financing schemes",25.167,FALSE
2011,"Germany (until 1990 former territory of the FRG)","Million euro","All revenues of financing schemes",290.266,FALSE
2011,"Estonia","Million euro","All revenues of financing schemes",970,FALSE
2011,"Ireland","Million euro","All revenues of financing schemes",18.85,TRUE
2011,"Spain","Million euro","All revenues of financing schemes",97.532,FALSE
