"TIME","GEO","UNIT","SOURCE","ICD10","Value","Value_imp"
2010,"Belgium","Percentage","Survey data","Malignant neoplasm of breast",67.3,TRUE
2010,"Belgium","Percentage","Survey data","Malignant neoplasm of cervix uteri",68.1,TRUE
2010,"Belgium","Percentage","Programme data","Malignant neoplasm of breast",61.8,FALSE
2010,"Belgium","Percentage","Programme data","Malignant neoplasm of cervix uteri",63.39,FALSE
2010,"Bulgaria","Percentage","Survey data","Malignant neoplasm of breast",70,TRUE
2010,"Bulgaria","Percentage","Survey data","Malignant neoplasm of cervix uteri",71.13,TRUE
2010,"Bulgaria","Percentage","Programme data","Malignant neoplasm of breast",20.55,TRUE
2010,"Bulgaria","Percentage","Programme data","Malignant neoplasm of cervix uteri",13.35,TRUE
2010,"Czechia","Percentage","Survey data","Malignant neoplasm of breast",75.4,TRUE
2010,"Czechia","Percentage","Survey data","Malignant neoplasm of cervix uteri",76,TRUE
2010,"Czechia","Percentage","Programme data","Malignant neoplasm of breast",49.5,FALSE
2010,"Czechia","Percentage","Programme data","Malignant neoplasm of cervix uteri",74.72,TRUE
2010,"Denmark","Percentage","Survey data","Malignant neoplasm of breast",75.4,TRUE
2010,"Denmark","Percentage","Survey data","Malignant neoplasm of cervix uteri",71.13,TRUE
2010,"Denmark","Percentage","Programme data","Malignant neoplasm of breast",77.4,FALSE
2010,"Denmark","Percentage","Programme data","Malignant neoplasm of cervix uteri",64.9,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Percentage","Survey data","Malignant neoplasm of breast",71.3,TRUE
2010,"Germany (until 1990 former territory of the FRG)","Percentage","Survey data","Malignant neoplasm of cervix uteri",76,TRUE
2010,"Germany (until 1990 former territory of the FRG)","Percentage","Programme data","Malignant neoplasm of breast",53.7,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Percentage","Programme data","Malignant neoplasm of cervix uteri",63.39,TRUE
2010,"Estonia","Percentage","Survey data","Malignant neoplasm of breast",62,TRUE
2010,"Estonia","Percentage","Survey data","Malignant neoplasm of cervix uteri",57.7,TRUE
2010,"Estonia","Percentage","Programme data","Malignant neoplasm of breast",62,FALSE
2010,"Estonia","Percentage","Programme data","Malignant neoplasm of cervix uteri",44,FALSE
2010,"Ireland","Percentage","Survey data","Malignant neoplasm of breast",74.9,TRUE
2010,"Ireland","Percentage","Survey data","Malignant neoplasm of cervix uteri",76,TRUE
2010,"Ireland","Percentage","Programme data","Malignant neoplasm of breast",73.9,FALSE
2010,"Ireland","Percentage","Programme data","Malignant neoplasm of cervix uteri",67.9,TRUE
2010,"Greece","Percentage","Survey data","Malignant neoplasm of breast",70,TRUE
2010,"Greece","Percentage","Survey data","Malignant neoplasm of cervix uteri",75.52,TRUE
2010,"Greece","Percentage","Programme data","Malignant neoplasm of breast",61.8,TRUE
2010,"Greece","Percentage","Programme data","Malignant neoplasm of cervix uteri",63.39,TRUE
2010,"Spain","Percentage","Survey data","Malignant neoplasm of breast",79.8,TRUE
2010,"Spain","Percentage","Survey data","Malignant neoplasm of cervix uteri",68.66,TRUE
2010,"Spain","Percentage","Programme data","Malignant neoplasm of breast",61.8,TRUE
2010,"Spain","Percentage","Programme data","Malignant neoplasm of cervix uteri",63.39,TRUE
2010,"France","Percentage","Survey data","Malignant neoplasm of breast",75.4,FALSE
2010,"France","Percentage","Survey data","Malignant neoplasm of cervix uteri",71.13,FALSE
2010,"France","Percentage","Programme data","Malignant neoplasm of breast",52.7,FALSE
2010,"France","Percentage","Programme data","Malignant neoplasm of cervix uteri",59,TRUE
2010,"Croatia","Percentage","Survey data","Malignant neoplasm of breast",67.4,TRUE
2010,"Croatia","Percentage","Survey data","Malignant neoplasm of cervix uteri",76,TRUE
2010,"Croatia","Percentage","Programme data","Malignant neoplasm of breast",57,FALSE
2010,"Croatia","Percentage","Programme data","Malignant neoplasm of cervix uteri",63.39,TRUE
2010,"Italy","Percentage","Survey data","Malignant neoplasm of breast",70,FALSE
2010,"Italy","Percentage","Survey data","Malignant neoplasm of cervix uteri",76,FALSE
2010,"Italy","Percentage","Programme data","Malignant neoplasm of breast",59.2,FALSE
2010,"Italy","Percentage","Programme data","Malignant neoplasm of cervix uteri",40,FALSE
2010,"Cyprus","Percentage","Survey data","Malignant neoplasm of breast",70,TRUE
2010,"Cyprus","Percentage","Survey data","Malignant neoplasm of cervix uteri",71.13,TRUE
2010,"Cyprus","Percentage","Programme data","Malignant neoplasm of breast",31.28,TRUE
2010,"Cyprus","Percentage","Programme data","Malignant neoplasm of cervix uteri",63.39,TRUE
2010,"Latvia","Percentage","Survey data","Malignant neoplasm of breast",70,TRUE
2010,"Latvia","Percentage","Survey data","Malignant neoplasm of cervix uteri",71.13,TRUE
2010,"Latvia","Percentage","Programme data","Malignant neoplasm of breast",19.4,FALSE
2010,"Latvia","Percentage","Programme data","Malignant neoplasm of cervix uteri",15.3,FALSE
2010,"Lithuania","Percentage","Survey data","Malignant neoplasm of breast",70,TRUE
2010,"Lithuania","Percentage","Survey data","Malignant neoplasm of cervix uteri",71.13,TRUE
2010,"Lithuania","Percentage","Programme data","Malignant neoplasm of breast",28.6,FALSE
2010,"Lithuania","Percentage","Programme data","Malignant neoplasm of cervix uteri",43.2,FALSE
2010,"Luxembourg","Percentage","Survey data","Malignant neoplasm of breast",75.4,TRUE
2010,"Luxembourg","Percentage","Survey data","Malignant neoplasm of cervix uteri",76,TRUE
2010,"Luxembourg","Percentage","Programme data","Malignant neoplasm of breast",62,FALSE
2010,"Luxembourg","Percentage","Programme data","Malignant neoplasm of cervix uteri",67.75,TRUE
2010,"Hungary","Percentage","Survey data","Malignant neoplasm of breast",70,TRUE
2010,"Hungary","Percentage","Survey data","Malignant neoplasm of cervix uteri",71.13,TRUE
2010,"Hungary","Percentage","Programme data","Malignant neoplasm of breast",47.13,FALSE
2010,"Hungary","Percentage","Programme data","Malignant neoplasm of cervix uteri",38.68,FALSE
2010,"Malta","Percentage","Survey data","Malignant neoplasm of breast",70,TRUE
2010,"Malta","Percentage","Survey data","Malignant neoplasm of cervix uteri",71.13,TRUE
2010,"Malta","Percentage","Programme data","Malignant neoplasm of breast",47.4,FALSE
2010,"Malta","Percentage","Programme data","Malignant neoplasm of cervix uteri",24,TRUE
2010,"Netherlands","Percentage","Survey data","Malignant neoplasm of breast",87.6,FALSE
2010,"Netherlands","Percentage","Survey data","Malignant neoplasm of cervix uteri",65.7,FALSE
2010,"Netherlands","Percentage","Programme data","Malignant neoplasm of breast",81.5,FALSE
2010,"Netherlands","Percentage","Programme data","Malignant neoplasm of cervix uteri",65.5,FALSE
2010,"Austria","Percentage","Survey data","Malignant neoplasm of breast",72.7,TRUE
2010,"Austria","Percentage","Survey data","Malignant neoplasm of cervix uteri",71.13,TRUE
2010,"Austria","Percentage","Programme data","Malignant neoplasm of breast",61.8,TRUE
2010,"Austria","Percentage","Programme data","Malignant neoplasm of cervix uteri",63.39,TRUE
2010,"Poland","Percentage","Survey data","Malignant neoplasm of breast",70,TRUE
2010,"Poland","Percentage","Survey data","Malignant neoplasm of cervix uteri",71.7,TRUE
2010,"Poland","Percentage","Programme data","Malignant neoplasm of breast",61.8,TRUE
2010,"Poland","Percentage","Programme data","Malignant neoplasm of cervix uteri",63.39,TRUE
2010,"Portugal","Percentage","Survey data","Malignant neoplasm of breast",75.4,TRUE
2010,"Portugal","Percentage","Survey data","Malignant neoplasm of cervix uteri",71.13,TRUE
2010,"Portugal","Percentage","Programme data","Malignant neoplasm of breast",61.8,TRUE
2010,"Portugal","Percentage","Programme data","Malignant neoplasm of cervix uteri",63.39,TRUE
2010,"Romania","Percentage","Survey data","Malignant neoplasm of breast",70,TRUE
2010,"Romania","Percentage","Survey data","Malignant neoplasm of cervix uteri",71.13,TRUE
2010,"Romania","Percentage","Programme data","Malignant neoplasm of breast",0.2,TRUE
2010,"Romania","Percentage","Programme data","Malignant neoplasm of cervix uteri",2.3,TRUE
2010,"Slovenia","Percentage","Survey data","Malignant neoplasm of breast",72.1,TRUE
2010,"Slovenia","Percentage","Survey data","Malignant neoplasm of cervix uteri",71.13,TRUE
2010,"Slovenia","Percentage","Programme data","Malignant neoplasm of breast",85.1,FALSE
2010,"Slovenia","Percentage","Programme data","Malignant neoplasm of cervix uteri",71.4,FALSE
2010,"Slovakia","Percentage","Survey data","Malignant neoplasm of breast",70,TRUE
2010,"Slovakia","Percentage","Survey data","Malignant neoplasm of cervix uteri",71.13,TRUE
2010,"Slovakia","Percentage","Programme data","Malignant neoplasm of breast",32.66,FALSE
2010,"Slovakia","Percentage","Programme data","Malignant neoplasm of cervix uteri",48.51,FALSE
2010,"Finland","Percentage","Survey data","Malignant neoplasm of breast",75.4,TRUE
2010,"Finland","Percentage","Survey data","Malignant neoplasm of cervix uteri",71.13,TRUE
2010,"Finland","Percentage","Programme data","Malignant neoplasm of breast",84.8,FALSE
2010,"Finland","Percentage","Programme data","Malignant neoplasm of cervix uteri",66.7,FALSE
2010,"Sweden","Percentage","Survey data","Malignant neoplasm of breast",75.4,TRUE
2010,"Sweden","Percentage","Survey data","Malignant neoplasm of cervix uteri",71.13,TRUE
2010,"Sweden","Percentage","Programme data","Malignant neoplasm of breast",61.8,TRUE
2010,"Sweden","Percentage","Programme data","Malignant neoplasm of cervix uteri",80.1,FALSE
2010,"Iceland","Percentage","Survey data","Malignant neoplasm of breast",75.4,TRUE
2010,"Iceland","Percentage","Survey data","Malignant neoplasm of cervix uteri",71.13,TRUE
2010,"Iceland","Percentage","Programme data","Malignant neoplasm of breast",59,FALSE
2010,"Iceland","Percentage","Programme data","Malignant neoplasm of cervix uteri",65,FALSE
2010,"Liechtenstein","Percentage","Survey data","Malignant neoplasm of breast",70,TRUE
2010,"Liechtenstein","Percentage","Survey data","Malignant neoplasm of cervix uteri",71.13,TRUE
2010,"Liechtenstein","Percentage","Programme data","Malignant neoplasm of breast",30.5,FALSE
2010,"Liechtenstein","Percentage","Programme data","Malignant neoplasm of cervix uteri",30.54,TRUE
2010,"Norway","Percentage","Survey data","Malignant neoplasm of breast",75.4,TRUE
2010,"Norway","Percentage","Survey data","Malignant neoplasm of cervix uteri",71.13,TRUE
2010,"Norway","Percentage","Programme data","Malignant neoplasm of breast",72.6,FALSE
2010,"Norway","Percentage","Programme data","Malignant neoplasm of cervix uteri",76.7,FALSE
2010,"Switzerland","Percentage","Survey data","Malignant neoplasm of breast",49,TRUE
2010,"Switzerland","Percentage","Survey data","Malignant neoplasm of cervix uteri",73.6,TRUE
2010,"Switzerland","Percentage","Programme data","Malignant neoplasm of breast",61.8,TRUE
2010,"Switzerland","Percentage","Programme data","Malignant neoplasm of cervix uteri",63.39,TRUE
2010,"United Kingdom","Percentage","Survey data","Malignant neoplasm of breast",70,TRUE
2010,"United Kingdom","Percentage","Survey data","Malignant neoplasm of cervix uteri",71.13,TRUE
2010,"United Kingdom","Percentage","Programme data","Malignant neoplasm of breast",76.95,FALSE
2010,"United Kingdom","Percentage","Programme data","Malignant neoplasm of cervix uteri",78.91,FALSE
2010,"Montenegro","Percentage","Survey data","Malignant neoplasm of breast",75.4,TRUE
2010,"Montenegro","Percentage","Survey data","Malignant neoplasm of cervix uteri",71.13,TRUE
