"TIME","GEO","OWNER","UNIT","Value","Value_imp"
2010,"Belgium","Public ownership","Number",18150,FALSE
2010,"Belgium","Public ownership","Inhabitants per ...",601.67,FALSE
2010,"Belgium","Public ownership","Per hundred thousand inhabitants",166.2,FALSE
2010,"Belgium","Not-for-profit private ownership","Number",48495,FALSE
2010,"Belgium","Not-for-profit private ownership","Inhabitants per ...",225.18,FALSE
2010,"Belgium","Not-for-profit private ownership","Per hundred thousand inhabitants",444.08,FALSE
2010,"Belgium","For-profit private ownership","Number",18150,TRUE
2010,"Belgium","For-profit private ownership","Inhabitants per ...",601.67,TRUE
2010,"Belgium","For-profit private ownership","Per hundred thousand inhabitants",166.2,TRUE
2010,"Bulgaria","Public ownership","Number",43112,FALSE
2010,"Bulgaria","Public ownership","Inhabitants per ...",171.54,FALSE
2010,"Bulgaria","Public ownership","Per hundred thousand inhabitants",582.94,FALSE
2010,"Bulgaria","Not-for-profit private ownership","Number",0,FALSE
2010,"Bulgaria","Not-for-profit private ownership","Inhabitants per ...",171.54,TRUE
2010,"Bulgaria","Not-for-profit private ownership","Per hundred thousand inhabitants",0,FALSE
2010,"Bulgaria","For-profit private ownership","Number",5822,FALSE
2010,"Bulgaria","For-profit private ownership","Inhabitants per ...",1270.28,FALSE
2010,"Bulgaria","For-profit private ownership","Per hundred thousand inhabitants",78.72,FALSE
2010,"Czechia","Public ownership","Number",65673,FALSE
2010,"Czechia","Public ownership","Inhabitants per ...",159.49,FALSE
2010,"Czechia","Public ownership","Per hundred thousand inhabitants",626.99,FALSE
2010,"Czechia","Not-for-profit private ownership","Number",311,FALSE
2010,"Czechia","Not-for-profit private ownership","Inhabitants per ...",33679.77,FALSE
2010,"Czechia","Not-for-profit private ownership","Per hundred thousand inhabitants",2.97,FALSE
2010,"Czechia","For-profit private ownership","Number",10429,FALSE
2010,"Czechia","For-profit private ownership","Inhabitants per ...",1004.35,FALSE
2010,"Czechia","For-profit private ownership","Per hundred thousand inhabitants",99.57,FALSE
2010,"Denmark","Public ownership","Number",18536,FALSE
2010,"Denmark","Public ownership","Inhabitants per ...",299.29,FALSE
2010,"Denmark","Public ownership","Per hundred thousand inhabitants",334.12,FALSE
2010,"Denmark","Not-for-profit private ownership","Number",468,FALSE
2010,"Denmark","Not-for-profit private ownership","Inhabitants per ...",11854.02,FALSE
2010,"Denmark","Not-for-profit private ownership","Per hundred thousand inhabitants",8.44,FALSE
2010,"Denmark","For-profit private ownership","Number",401,FALSE
2010,"Denmark","For-profit private ownership","Inhabitants per ...",13834.62,FALSE
2010,"Denmark","For-profit private ownership","Per hundred thousand inhabitants",7.23,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Public ownership","Number",273789,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Public ownership","Inhabitants per ...",295.89,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Public ownership","Per hundred thousand inhabitants",337.96,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Not-for-profit private ownership","Number",200672,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Not-for-profit private ownership","Inhabitants per ...",403.7,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Not-for-profit private ownership","Per hundred thousand inhabitants",247.71,FALSE
2010,"Germany (until 1990 former territory of the FRG)","For-profit private ownership","Number",200012,FALSE
2010,"Germany (until 1990 former territory of the FRG)","For-profit private ownership","Inhabitants per ...",405.04,FALSE
2010,"Germany (until 1990 former territory of the FRG)","For-profit private ownership","Per hundred thousand inhabitants",246.89,FALSE
2010,"Estonia","Public ownership","Number",6321,FALSE
2010,"Estonia","Public ownership","Inhabitants per ...",210.64,FALSE
2010,"Estonia","Public ownership","Per hundred thousand inhabitants",474.74,FALSE
2010,"Estonia","Not-for-profit private ownership","Number",376,FALSE
2010,"Estonia","Not-for-profit private ownership","Inhabitants per ...",3541.16,FALSE
2010,"Estonia","Not-for-profit private ownership","Per hundred thousand inhabitants",28.24,FALSE
2010,"Estonia","For-profit private ownership","Number",325,FALSE
2010,"Estonia","For-profit private ownership","Inhabitants per ...",4096.85,FALSE
2010,"Estonia","For-profit private ownership","Per hundred thousand inhabitants",24.41,FALSE
2010,"Greece","Public ownership","Number",34288,FALSE
2010,"Greece","Public ownership","Inhabitants per ...",324.35,FALSE
2010,"Greece","Public ownership","Per hundred thousand inhabitants",308.31,FALSE
2010,"Greece","Not-for-profit private ownership","Number",1368,FALSE
2010,"Greece","Not-for-profit private ownership","Inhabitants per ...",8129.63,FALSE
2010,"Greece","Not-for-profit private ownership","Per hundred thousand inhabitants",12.3,FALSE
2010,"Greece","For-profit private ownership","Number",14172,FALSE
2010,"Greece","For-profit private ownership","Inhabitants per ...",784.74,FALSE
2010,"Greece","For-profit private ownership","Per hundred thousand inhabitants",127.43,FALSE
2010,"Spain","Public ownership","Number",99533,FALSE
2010,"Spain","Public ownership","Inhabitants per ...",467.95,FALSE
2010,"Spain","Public ownership","Per hundred thousand inhabitants",213.7,FALSE
2010,"Spain","Not-for-profit private ownership","Number",19047,FALSE
2010,"Spain","Not-for-profit private ownership","Inhabitants per ...",2445.37,FALSE
