"TIME","GEO","FACILITY","UNIT","Value","Value_imp"
2010,"Belgium","Operation theatres in hospital","Number",1220,FALSE
2010,"Belgium","Day care places altogether","Number",5960,FALSE
2010,"Belgium","Surgical day care places","Number",2039,FALSE
2010,"Belgium","Oncological day care place","Number",1362,FALSE
2010,"Belgium","Psychiatric day care place","Number",2279,FALSE
2010,"Belgium","Geriatric day care places","Number",568,FALSE
2010,"Bulgaria","Operation theatres in hospital","Number",1220,TRUE
2010,"Bulgaria","Day care places altogether","Number",2187,TRUE
2010,"Bulgaria","Surgical day care places","Number",2039,TRUE
2010,"Bulgaria","Oncological day care place","Number",1362,TRUE
2010,"Bulgaria","Psychiatric day care place","Number",917,TRUE
2010,"Bulgaria","Geriatric day care places","Number",1839,TRUE
2010,"Czechia","Operation theatres in hospital","Number",996,FALSE
2010,"Czechia","Day care places altogether","Number",5960,TRUE
2010,"Czechia","Surgical day care places","Number",996,TRUE
2010,"Czechia","Oncological day care place","Number",996,TRUE
2010,"Czechia","Psychiatric day care place","Number",2279,TRUE
2010,"Czechia","Geriatric day care places","Number",996,TRUE
2010,"Denmark","Operation theatres in hospital","Number",1220,TRUE
2010,"Denmark","Day care places altogether","Number",5960,TRUE
2010,"Denmark","Surgical day care places","Number",2039,TRUE
2010,"Denmark","Oncological day care place","Number",1362,TRUE
2010,"Denmark","Psychiatric day care place","Number",3068,TRUE
2010,"Denmark","Geriatric day care places","Number",1839,TRUE
2010,"Germany (until 1990 former territory of the FRG)","Operation theatres in hospital","Number",1220,TRUE
2010,"Germany (until 1990 former territory of the FRG)","Day care places altogether","Number",23615,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Surgical day care places","Number",47,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Oncological day care place","Number",910,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Psychiatric day care place","Number",15496,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Geriatric day care places","Number",1839,FALSE
2010,"Estonia","Operation theatres in hospital","Number",132,TRUE
2010,"Estonia","Day care places altogether","Number",349,FALSE
2010,"Estonia","Surgical day care places","Number",349,TRUE
2010,"Estonia","Oncological day care place","Number",910,TRUE
2010,"Estonia","Psychiatric day care place","Number",2279,TRUE
