"TIME","GEO","UNIT","FACILITY","ICHA_HP","Value","Value_imp"
2010,"Belgium","Number","Computed Tomography Scanners","Hospitals and providers of ambulatory health care",152,FALSE
2010,"Belgium","Number","Computed Tomography Scanners","Hospitals",144,FALSE
2010,"Belgium","Number","Computed Tomography Scanners","Providers of ambulatory health care",8,FALSE
2010,"Belgium","Number","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care",116,FALSE
2010,"Belgium","Number","Magnetic Resonance Imaging Units","Hospitals",116,FALSE
2010,"Belgium","Number","Magnetic Resonance Imaging Units","Providers of ambulatory health care",0,FALSE
2010,"Belgium","Number","Gamma cameras","Hospitals and providers of ambulatory health care",152,TRUE
2010,"Belgium","Number","Gamma cameras","Hospitals",322,FALSE
2010,"Belgium","Number","Gamma cameras","Providers of ambulatory health care",8,TRUE
2010,"Belgium","Number","Angiography units","Hospitals and providers of ambulatory health care",133,TRUE
2010,"Belgium","Number","Angiography units","Hospitals",133,FALSE
2010,"Belgium","Number","Angiography units","Providers of ambulatory health care",8,TRUE
2010,"Belgium","Number","Lithotriptors","Hospitals and providers of ambulatory health care",116,TRUE
2010,"Belgium","Number","Lithotriptors","Hospitals",49,FALSE
2010,"Belgium","Number","Lithotriptors","Providers of ambulatory health care",8,TRUE
2010,"Belgium","Inhabitants per ...","Computed Tomography Scanners","Hospitals and providers of ambulatory health care",71843.89,FALSE
2010,"Belgium","Inhabitants per ...","Computed Tomography Scanners","Hospitals",75835.22,FALSE
2010,"Belgium","Inhabitants per ...","Computed Tomography Scanners","Providers of ambulatory health care",1365033.94,FALSE
2010,"Belgium","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care",94140.27,FALSE
2010,"Belgium","Inhabitants per ...","Magnetic Resonance Imaging Units","Hospitals",94140.27,FALSE
2010,"Belgium","Inhabitants per ...","Magnetic Resonance Imaging Units","Providers of ambulatory health care",94140.27,TRUE
2010,"Belgium","Inhabitants per ...","Gamma cameras","Hospitals and providers of ambulatory health care",71843.89,TRUE
2010,"Belgium","Inhabitants per ...","Gamma cameras","Hospitals",33913.89,FALSE
2010,"Belgium","Inhabitants per ...","Gamma cameras","Providers of ambulatory health care",1365033.94,TRUE
2010,"Belgium","Inhabitants per ...","Angiography units","Hospitals and providers of ambulatory health care",82107.3,TRUE
2010,"Belgium","Inhabitants per ...","Angiography units","Hospitals",82107.3,FALSE
2010,"Belgium","Inhabitants per ...","Angiography units","Providers of ambulatory health care",1365033.94,TRUE
2010,"Belgium","Inhabitants per ...","Lithotriptors","Hospitals and providers of ambulatory health care",94140.27,TRUE
2010,"Belgium","Inhabitants per ...","Lithotriptors","Hospitals",222862.68,FALSE
2010,"Belgium","Inhabitants per ...","Lithotriptors","Providers of ambulatory health care",1365033.94,TRUE
2010,"Belgium","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals and providers of ambulatory health care",1.39,FALSE
2010,"Belgium","Per hundred thousand inhabitants","Computed Tomography Scanners","Hospitals",1.32,FALSE
2010,"Belgium","Per hundred thousand inhabitants","Computed Tomography Scanners","Providers of ambulatory health care",0.07,FALSE
2010,"Belgium","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals and providers of ambulatory health care",1.06,FALSE
2010,"Belgium","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Hospitals",1.06,FALSE
2010,"Belgium","Per hundred thousand inhabitants","Magnetic Resonance Imaging Units","Providers of ambulatory health care",0,FALSE
2010,"Belgium","Per hundred thousand inhabitants","Gamma cameras","Hospitals and providers of ambulatory health care",1.39,TRUE
2010,"Belgium","Per hundred thousand inhabitants","Gamma cameras","Hospitals",2.95,FALSE
2010,"Belgium","Per hundred thousand inhabitants","Gamma cameras","Providers of ambulatory health care",0.07,TRUE
2010,"Belgium","Per hundred thousand inhabitants","Angiography units","Hospitals and providers of ambulatory health care",1.22,TRUE
2010,"Belgium","Per hundred thousand inhabitants","Angiography units","Hospitals",1.22,FALSE
2010,"Belgium","Per hundred thousand inhabitants","Angiography units","Providers of ambulatory health care",0.07,TRUE
2010,"Belgium","Per hundred thousand inhabitants","Lithotriptors","Hospitals and providers of ambulatory health care",1.06,TRUE
2010,"Belgium","Per hundred thousand inhabitants","Lithotriptors","Hospitals",0.45,FALSE
