"TIME","GEO","UNIT","FACILITY","Value","Value_imp"
2010,"European Union - 27 countries (from 2020)","Number","Available beds in hospitals (HP.1)",2527925,FALSE
2010,"European Union - 27 countries (from 2020)","Number","Curative care beds in hospitals (HP.1)",1797782.9,TRUE
2010,"European Union - 27 countries (from 2020)","Number","Rehabilitative care beds in hospitals (HP.1)",431231.16,TRUE
2010,"European Union - 27 countries (from 2020)","Number","Long-term care beds in hospitals (HP.1)",1800,TRUE
2010,"European Union - 27 countries (from 2020)","Number","Other beds in hospitals (HP.1)",1667,TRUE
2010,"European Union - 27 countries (from 2020)","Inhabitants per ...","Available beds in hospitals (HP.1)",174.18,FALSE
2010,"European Union - 27 countries (from 2020)","Inhabitants per ...","Curative care beds in hospitals (HP.1)",245.9,TRUE
2010,"European Union - 27 countries (from 2020)","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)",1032.07,TRUE
2010,"European Union - 27 countries (from 2020)","Inhabitants per ...","Long-term care beds in hospitals (HP.1)",4324.91,TRUE
2010,"European Union - 27 countries (from 2020)","Inhabitants per ...","Other beds in hospitals (HP.1)",6283.39,TRUE
2010,"European Union - 27 countries (from 2020)","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",574.14,FALSE
2010,"European Union - 27 countries (from 2020)","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)",406.67,TRUE
2010,"European Union - 27 countries (from 2020)","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)",96.89,TRUE
2010,"European Union - 27 countries (from 2020)","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)",23.12,TRUE
2010,"European Union - 27 countries (from 2020)","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)",15.91,TRUE
2010,"European Union - 28 countries (2013-2020)","Number","Available beds in hospitals (HP.1)",2711756,FALSE
2010,"European Union - 28 countries (2013-2020)","Number","Curative care beds in hospitals (HP.1)",59482,TRUE
2010,"European Union - 28 countries (2013-2020)","Number","Rehabilitative care beds in hospitals (HP.1)",5363,TRUE
2010,"European Union - 28 countries (2013-2020)","Number","Long-term care beds in hospitals (HP.1)",1800,TRUE
2010,"European Union - 28 countries (2013-2020)","Number","Other beds in hospitals (HP.1)",1667,TRUE
2010,"European Union - 28 countries (2013-2020)","Inhabitants per ...","Available beds in hospitals (HP.1)",185.51,FALSE
2010,"European Union - 28 countries (2013-2020)","Inhabitants per ...","Curative care beds in hospitals (HP.1)",183.59,TRUE
2010,"European Union - 28 countries (2013-2020)","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)",1428.83,TRUE
2010,"European Union - 28 countries (2013-2020)","Inhabitants per ...","Long-term care beds in hospitals (HP.1)",4324.91,TRUE
2010,"European Union - 28 countries (2013-2020)","Inhabitants per ...","Other beds in hospitals (HP.1)",6283.39,TRUE
2010,"European Union - 28 countries (2013-2020)","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",539.04,FALSE
2010,"European Union - 28 countries (2013-2020)","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)",544.69,TRUE
2010,"European Union - 28 countries (2013-2020)","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)",69.99,TRUE
2010,"European Union - 28 countries (2013-2020)","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)",23.12,TRUE
2010,"European Union - 28 countries (2013-2020)","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)",15.91,TRUE
2010,"Belgium","Number","Available beds in hospitals (HP.1)",66645,FALSE
2010,"Belgium","Number","Curative care beds in hospitals (HP.1)",59482,FALSE
2010,"Belgium","Number","Rehabilitative care beds in hospitals (HP.1)",5363,FALSE
2010,"Belgium","Number","Long-term care beds in hospitals (HP.1)",1800,FALSE
2010,"Belgium","Number","Other beds in hospitals (HP.1)",59482,TRUE
2010,"Belgium","Inhabitants per ...","Available beds in hospitals (HP.1)",163.86,FALSE
2010,"Belgium","Inhabitants per ...","Curative care beds in hospitals (HP.1)",183.59,FALSE
2010,"Belgium","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)",2036.22,FALSE
2010,"Belgium","Inhabitants per ...","Long-term care beds in hospitals (HP.1)",6066.82,FALSE
2010,"Belgium","Inhabitants per ...","Other beds in hospitals (HP.1)",183.59,TRUE
2010,"Belgium","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",610.29,FALSE
2010,"Belgium","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)",544.69,FALSE
2010,"Belgium","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)",49.11,FALSE
2010,"Belgium","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)",16.48,FALSE
2010,"Belgium","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)",544.69,TRUE
2010,"Bulgaria","Number","Available beds in hospitals (HP.1)",48934,FALSE
2010,"Bulgaria","Number","Curative care beds in hospitals (HP.1)",41221,FALSE
2010,"Bulgaria","Number","Rehabilitative care beds in hospitals (HP.1)",5176,FALSE
2010,"Bulgaria","Number","Long-term care beds in hospitals (HP.1)",1710,FALSE
2010,"Bulgaria","Number","Other beds in hospitals (HP.1)",827,FALSE
2010,"Bulgaria","Inhabitants per ...","Available beds in hospitals (HP.1)",151.13,FALSE
2010,"Bulgaria","Inhabitants per ...","Curative care beds in hospitals (HP.1)",179.41,FALSE
2010,"Bulgaria","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)",1428.83,FALSE
2010,"Bulgaria","Inhabitants per ...","Long-term care beds in hospitals (HP.1)",4324.91,FALSE
2010,"Bulgaria","Inhabitants per ...","Other beds in hospitals (HP.1)",8942.68,FALSE
2010,"Bulgaria","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",661.66,FALSE
2010,"Bulgaria","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)",557.37,FALSE
2010,"Bulgaria","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)",69.99,FALSE
2010,"Bulgaria","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)",23.12,FALSE
2010,"Bulgaria","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)",11.18,FALSE
2010,"Czechia","Number","Available beds in hospitals (HP.1)",76413,FALSE
2010,"Czechia","Number","Curative care beds in hospitals (HP.1)",50270,FALSE
2010,"Czechia","Number","Rehabilitative care beds in hospitals (HP.1)",3887,FALSE
2010,"Czechia","Number","Long-term care beds in hospitals (HP.1)",20589,FALSE
2010,"Czechia","Number","Other beds in hospitals (HP.1)",1667,FALSE
2010,"Czechia","Inhabitants per ...","Available beds in hospitals (HP.1)",137.08,FALSE
2010,"Czechia","Inhabitants per ...","Curative care beds in hospitals (HP.1)",208.36,FALSE
2010,"Czechia","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)",2694.73,FALSE
2010,"Czechia","Inhabitants per ...","Long-term care beds in hospitals (HP.1)",508.74,FALSE
2010,"Czechia","Inhabitants per ...","Other beds in hospitals (HP.1)",6283.39,FALSE
2010,"Czechia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",729.52,FALSE
2010,"Czechia","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)",479.93,FALSE
2010,"Czechia","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)",37.11,FALSE
2010,"Czechia","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)",196.56,FALSE
2010,"Czechia","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)",15.91,FALSE
2010,"Denmark","Number","Available beds in hospitals (HP.1)",19405,FALSE
2010,"Denmark","Number","Curative care beds in hospitals (HP.1)",19059,FALSE
2010,"Denmark","Number","Rehabilitative care beds in hospitals (HP.1)",162,FALSE
2010,"Denmark","Number","Long-term care beds in hospitals (HP.1)",184,FALSE
2010,"Denmark","Number","Other beds in hospitals (HP.1)",0,FALSE
2010,"Denmark","Inhabitants per ...","Available beds in hospitals (HP.1)",285.89,FALSE
2010,"Denmark","Inhabitants per ...","Curative care beds in hospitals (HP.1)",291.08,FALSE
2010,"Denmark","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)",34244.96,FALSE
2010,"Denmark","Inhabitants per ...","Long-term care beds in hospitals (HP.1)",30150.45,FALSE
2010,"Denmark","Inhabitants per ...","Other beds in hospitals (HP.1)",6283.39,TRUE
2010,"Denmark","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",349.79,FALSE
2010,"Denmark","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)",343.55,FALSE
2010,"Denmark","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)",2.92,FALSE
2010,"Denmark","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)",3.32,FALSE
2010,"Denmark","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)",0,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Number","Available beds in hospitals (HP.1)",674473,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Number","Curative care beds in hospitals (HP.1)",502749,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Number","Rehabilitative care beds in hospitals (HP.1)",171724,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Number","Long-term care beds in hospitals (HP.1)",0,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Number","Other beds in hospitals (HP.1)",0,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Available beds in hospitals (HP.1)",120.11,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Curative care beds in hospitals (HP.1)",161.14,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Rehabilitative care beds in hospitals (HP.1)",471.76,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Long-term care beds in hospitals (HP.1)",4324.91,TRUE
2010,"Germany (until 1990 former territory of the FRG)","Inhabitants per ...","Other beds in hospitals (HP.1)",6283.39,TRUE
2010,"Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)",832.56,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)",620.58,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Rehabilitative care beds in hospitals (HP.1)",211.97,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Long-term care beds in hospitals (HP.1)",0,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Per hundred thousand inhabitants","Other beds in hospitals (HP.1)",0,FALSE
2010,"Estonia","Number","Available beds in hospitals (HP.1)",7022,FALSE
