"TIME","GEO","UNIT","MED_SPEC","Value","Value_imp"
2010,"Belgium","Number","Generalist medical practitioners",12228,FALSE
2010,"Belgium","Number","General practitioners",12228,FALSE
2010,"Belgium","Number","Other generalist medical practitioners",0,FALSE
2010,"Belgium","Number","Specialist medical practitioners",19153,FALSE
2010,"Belgium","Number","General paediatricians",1332,FALSE
2010,"Bulgaria","Number","Generalist medical practitioners",5014,FALSE
2010,"Bulgaria","Number","General practitioners",4761,FALSE
2010,"Bulgaria","Number","Other generalist medical practitioners",253,FALSE
2010,"Bulgaria","Number","Specialist medical practitioners",22949,FALSE
2010,"Bulgaria","Number","General paediatricians",1425,FALSE
2010,"Czechia","Number","Generalist medical practitioners",7369,FALSE
2010,"Czechia","Number","General practitioners",7369,FALSE
2010,"Czechia","Number","Other generalist medical practitioners",0,FALSE
2010,"Czechia","Number","Specialist medical practitioners",30292,FALSE
2010,"Czechia","Number","General paediatricians",1262,FALSE
2010,"Denmark","Number","Generalist medical practitioners",4393,FALSE
2010,"Denmark","Number","General practitioners",7369,TRUE
2010,"Denmark","Number","Other generalist medical practitioners",0,TRUE
2010,"Denmark","Number","Specialist medical practitioners",8746,FALSE
2010,"Denmark","Number","General paediatricians",384,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Number","Generalist medical practitioners",74113,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Number","General practitioners",56831,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Number","Other generalist medical practitioners",17282,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Number","Specialist medical practitioners",229532,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Number","General paediatricians",12576,FALSE
2010,"Estonia","Number","Generalist medical practitioners",979,FALSE
2010,"Estonia","Number","General practitioners",857,FALSE
2010,"Estonia","Number","Other generalist medical practitioners",122,FALSE
2010,"Estonia","Number","Specialist medical practitioners",2962,FALSE
2010,"Estonia","Number","General paediatricians",168,FALSE
2010,"Ireland","Number","Generalist medical practitioners",12475,FALSE
2010,"Ireland","Number","General practitioners",2534,FALSE
2010,"Ireland","Number","Other generalist medical practitioners",9941,FALSE
2010,"Ireland","Number","Specialist medical practitioners",6346,FALSE
2010,"Ireland","Number","General paediatricians",262,FALSE
2010,"Greece","Number","Generalist medical practitioners",3391,FALSE
