"TIME","GEO","UNIT","AGE","Value","Value_imp"
2010,"European Union - 27 countries (from 2020)","Number","Total",1612767,TRUE
2010,"European Union - 27 countries (from 2020)","Number","Less than 35 years",4012,TRUE
2010,"European Union - 27 countries (from 2020)","Number","From 35 to 44 years",7867,TRUE
2010,"European Union - 27 countries (from 2020)","Number","From 45 to 54 years",9108,TRUE
2010,"European Union - 27 countries (from 2020)","Number","From 55 to 64 years",8691,TRUE
2010,"European Union - 28 countries (2013-2020)","Number","Total",1791929,TRUE
2010,"European Union - 28 countries (2013-2020)","Number","Less than 35 years",4012,TRUE
2010,"European Union - 28 countries (2013-2020)","Number","From 35 to 44 years",7867,TRUE
2010,"European Union - 28 countries (2013-2020)","Number","From 45 to 54 years",9108,TRUE
2010,"European Union - 28 countries (2013-2020)","Number","From 55 to 64 years",8691,TRUE
2010,"Belgium","Number","Total",31815,FALSE
2010,"Belgium","Number","Less than 35 years",2416,FALSE
2010,"Belgium","Number","From 35 to 44 years",7867,FALSE
2010,"Belgium","Number","From 45 to 54 years",9108,FALSE
2010,"Belgium","Number","From 55 to 64 years",8691,FALSE
2010,"Bulgaria","Number","Total",29038,TRUE
2010,"Bulgaria","Number","Less than 35 years",2943,TRUE
2010,"Bulgaria","Number","From 35 to 44 years",3709,TRUE
2010,"Bulgaria","Number","From 45 to 54 years",9456,TRUE
2010,"Bulgaria","Number","From 55 to 64 years",9061,TRUE
2010,"Czechia","Number","Total",37661,FALSE
2010,"Czechia","Number","Less than 35 years",7192,FALSE
2010,"Czechia","Number","From 35 to 44 years",8703,FALSE
2010,"Czechia","Number","From 45 to 54 years",9132,FALSE
2010,"Czechia","Number","From 55 to 64 years",9161,FALSE
2010,"Denmark","Number","Total",20670,FALSE
2010,"Denmark","Number","Less than 35 years",4012,FALSE
2010,"Denmark","Number","From 35 to 44 years",5022,FALSE
2010,"Denmark","Number","From 45 to 54 years",4937,FALSE
2010,"Denmark","Number","From 55 to 64 years",5110,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Number","Total",303645,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Number","Less than 35 years",55085,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Number","From 35 to 44 years",35260,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Number","From 45 to 54 years",93445,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Number","From 55 to 64 years",108915,FALSE
2010,"Estonia","Number","Total",4319,FALSE
2010,"Estonia","Number","Less than 35 years",782,TRUE
2010,"Estonia","Number","From 35 to 44 years",632,TRUE
2010,"Estonia","Number","From 45 to 54 years",1070,TRUE
2010,"Estonia","Number","From 55 to 64 years",1180,TRUE
2010,"Ireland","Number","Total",18821,FALSE
2010,"Ireland","Number","Less than 35 years",5502,TRUE
2010,"Ireland","Number","From 35 to 44 years",5102,TRUE
2010,"Ireland","Number","From 45 to 54 years",3989,TRUE
2010,"Ireland","Number","From 55 to 64 years",2228,TRUE
2010,"Greece","Number","Total",64032,FALSE
2010,"Greece","Number","Less than 35 years",15361,FALSE
2010,"Greece","Number","From 35 to 44 years",18938,FALSE
2010,"Greece","Number","From 45 to 54 years",14255,FALSE
2010,"Greece","Number","From 55 to 64 years",11752,FALSE
2010,"Spain","Number","Total",175033,FALSE
2010,"Spain","Number","Less than 35 years",44000,FALSE
2010,"Spain","Number","From 35 to 44 years",40333,FALSE
2010,"Spain","Number","From 45 to 54 years",52033,FALSE
2010,"Spain","Number","From 55 to 64 years",33233,FALSE
2010,"France","Number","Total",212132,FALSE
2010,"France","Number","Less than 35 years",15626,FALSE
2010,"France","Number","From 35 to 44 years",39822,FALSE
2010,"France","Number","From 45 to 54 years",69169,FALSE
2010,"France","Number","From 55 to 64 years",75838,FALSE
2010,"Croatia","Number","Total",12304,FALSE
2010,"Croatia","Number","Less than 35 years",2516,FALSE
2010,"Croatia","Number","From 35 to 44 years",2861,FALSE
2010,"Croatia","Number","From 45 to 54 years",3793,FALSE
2010,"Croatia","Number","From 55 to 64 years",2836,FALSE
2010,"Italy","Number","Total",371450,FALSE
2010,"Italy","Number","Less than 35 years",45708,FALSE
2010,"Italy","Number","From 35 to 44 years",54760,FALSE
2010,"Italy","Number","From 45 to 54 years",114308,FALSE
2010,"Italy","Number","From 55 to 64 years",113069,FALSE
2010,"Cyprus","Number","Total",3046,TRUE
2010,"Cyprus","Number","Less than 35 years",311,TRUE
2010,"Cyprus","Number","From 35 to 44 years",704,TRUE
2010,"Cyprus","Number","From 45 to 54 years",690,TRUE
2010,"Cyprus","Number","From 55 to 64 years",879,TRUE
2010,"Latvia","Number","Total",6517,FALSE
2010,"Latvia","Number","Less than 35 years",638,FALSE
2010,"Latvia","Number","From 35 to 44 years",1273,FALSE
2010,"Latvia","Number","From 45 to 54 years",2111,FALSE
2010,"Latvia","Number","From 55 to 64 years",1473,FALSE
2010,"Lithuania","Number","Total",13203,FALSE
2010,"Lithuania","Number","Less than 35 years",2320,FALSE
2010,"Lithuania","Number","From 35 to 44 years",2448,FALSE
2010,"Lithuania","Number","From 45 to 54 years",3575,FALSE
2010,"Lithuania","Number","From 55 to 64 years",3219,FALSE
2010,"Luxembourg","Number","Total",1413,FALSE
2010,"Luxembourg","Number","Less than 35 years",69,FALSE
2010,"Luxembourg","Number","From 35 to 44 years",335,FALSE
2010,"Luxembourg","Number","From 45 to 54 years",562,FALSE
2010,"Luxembourg","Number","From 55 to 64 years",356,FALSE
2010,"Hungary","Number","Total",28686,FALSE
2010,"Hungary","Number","Less than 35 years",4690,FALSE
2010,"Hungary","Number","From 35 to 44 years",5741,FALSE
2010,"Hungary","Number","From 45 to 54 years",7361,FALSE
2010,"Hungary","Number","From 55 to 64 years",7047,FALSE
2010,"Malta","Number","Total",1279,FALSE
2010,"Malta","Number","Less than 35 years",499,FALSE
2010,"Malta","Number","From 35 to 44 years",227,FALSE
2010,"Malta","Number","From 45 to 54 years",354,FALSE
2010,"Malta","Number","From 55 to 64 years",114,FALSE
2010,"Netherlands","Number","Total",49242,FALSE
