"TIME","GEO","UNIT","WSTATUS","ISCO08","Value","Value_imp"
2010,"Belgium","Number","Practising","Nurses, midewives, health care assistants and home-based personal care workers",110405,TRUE
2010,"Belgium","Number","Practising","Nurses and midwives",110405,FALSE
2010,"Belgium","Number","Practising","Nursing professionals and midwives",104513,TRUE
2010,"Belgium","Number","Practising","Nurses",104513,FALSE
2010,"Belgium","Number","Practising","Nursing professionals",104513,TRUE
2010,"Belgium","Number","Professionally active","Nurses, midewives, health care assistants and home-based personal care workers",206145,FALSE
2010,"Belgium","Number","Professionally active","Nurses and midwives",137243,FALSE
2010,"Belgium","Number","Professionally active","Nursing professionals and midwives",137243,TRUE
2010,"Belgium","Number","Professionally active","Nurses",129916,FALSE
2010,"Belgium","Number","Professionally active","Nursing professionals",137243,TRUE
2010,"Belgium","Number","Licensed to practice","Nurses, midewives, health care assistants and home-based personal care workers",173899,TRUE
2010,"Belgium","Number","Licensed to practice","Nurses and midwives",173899,FALSE
2010,"Belgium","Number","Licensed to practice","Nursing professionals and midwives",164141,TRUE
2010,"Belgium","Number","Licensed to practice","Nurses",164141,FALSE
2010,"Belgium","Number","Licensed to practice","Nursing professionals",164141,TRUE
2010,"Belgium","Inhabitants per ...","Practising","Nurses, midewives, health care assistants and home-based personal care workers",98.91,TRUE
2010,"Belgium","Inhabitants per ...","Practising","Nurses and midwives",98.91,FALSE
2010,"Belgium","Inhabitants per ...","Practising","Nursing professionals and midwives",104.49,TRUE
2010,"Belgium","Inhabitants per ...","Practising","Nurses",104.49,FALSE
2010,"Belgium","Inhabitants per ...","Practising","Nursing professionals",104.49,TRUE
2010,"Belgium","Inhabitants per ...","Professionally active","Nurses, midewives, health care assistants and home-based personal care workers",52.97,FALSE
2010,"Belgium","Inhabitants per ...","Professionally active","Nurses and midwives",79.57,FALSE
2010,"Belgium","Inhabitants per ...","Professionally active","Nursing professionals and midwives",79.57,TRUE
2010,"Belgium","Inhabitants per ...","Professionally active","Nurses",84.06,FALSE
2010,"Belgium","Inhabitants per ...","Professionally active","Nursing professionals",79.57,TRUE
2010,"Belgium","Inhabitants per ...","Licensed to practice","Nurses, midewives, health care assistants and home-based personal care workers",62.8,TRUE
2010,"Belgium","Inhabitants per ...","Licensed to practice","Nurses and midwives",62.8,FALSE
2010,"Belgium","Inhabitants per ...","Licensed to practice","Nursing professionals and midwives",62.8,TRUE
2010,"Belgium","Inhabitants per ...","Licensed to practice","Nurses",66.53,FALSE
2010,"Belgium","Inhabitants per ...","Licensed to practice","Nursing professionals",62.8,TRUE
2010,"Belgium","Per hundred thousand inhabitants","Practising","Nurses, midewives, health care assistants and home-based personal care workers",1011.01,TRUE
2010,"Belgium","Per hundred thousand inhabitants","Practising","Nurses and midwives",1011.01,FALSE
2010,"Belgium","Per hundred thousand inhabitants","Practising","Nursing professionals and midwives",957.05,TRUE
2010,"Belgium","Per hundred thousand inhabitants","Practising","Nurses",957.05,FALSE
2010,"Belgium","Per hundred thousand inhabitants","Practising","Nursing professionals",957.05,TRUE
2010,"Belgium","Per hundred thousand inhabitants","Professionally active","Nurses, midewives, health care assistants and home-based personal care workers",1887.73,FALSE
2010,"Belgium","Per hundred thousand inhabitants","Professionally active","Nurses and midwives",1256.77,FALSE
2010,"Belgium","Per hundred thousand inhabitants","Professionally active","Nursing professionals and midwives",1256.77,TRUE
2010,"Belgium","Per hundred thousand inhabitants","Professionally active","Nurses",1189.68,FALSE
2010,"Belgium","Per hundred thousand inhabitants","Professionally active","Nursing professionals",1256.77,TRUE
2010,"Belgium","Per hundred thousand inhabitants","Licensed to practice","Nurses, midewives, health care assistants and home-based personal care workers",1592.44,TRUE
2010,"Belgium","Per hundred thousand inhabitants","Licensed to practice","Nurses and midwives",1592.44,FALSE
2010,"Belgium","Per hundred thousand inhabitants","Licensed to practice","Nursing professionals and midwives",1592.44,TRUE
2010,"Belgium","Per hundred thousand inhabitants","Licensed to practice","Nurses",1503.09,FALSE
2010,"Belgium","Per hundred thousand inhabitants","Licensed to practice","Nursing professionals",1592.44,TRUE
2010,"Bulgaria","Number","Practising","Nurses, midewives, health care assistants and home-based personal care workers",34795,TRUE
2010,"Bulgaria","Number","Practising","Nurses and midwives",35033,FALSE
2010,"Bulgaria","Number","Practising","Nursing professionals and midwives",35033,FALSE
2010,"Bulgaria","Number","Practising","Nurses",31786,FALSE
2010,"Bulgaria","Number","Practising","Nursing professionals",31786,FALSE
2010,"Bulgaria","Number","Professionally active","Nurses, midewives, health care assistants and home-based personal care workers",206145,TRUE
2010,"Bulgaria","Number","Professionally active","Nurses and midwives",61868,TRUE
2010,"Bulgaria","Number","Professionally active","Nursing professionals and midwives",61868,TRUE
2010,"Bulgaria","Number","Professionally active","Nurses",60179,TRUE
2010,"Bulgaria","Number","Professionally active","Nursing professionals",60179,TRUE
2010,"Bulgaria","Number","Licensed to practice","Nurses, midewives, health care assistants and home-based personal care workers",34795,TRUE
2010,"Bulgaria","Number","Licensed to practice","Nurses and midwives",109155,TRUE
2010,"Bulgaria","Number","Licensed to practice","Nursing professionals and midwives",35033,TRUE
2010,"Bulgaria","Number","Licensed to practice","Nurses",102863,TRUE
2010,"Bulgaria","Number","Licensed to practice","Nursing professionals",31786,TRUE
2010,"Bulgaria","Inhabitants per ...","Practising","Nurses, midewives, health care assistants and home-based personal care workers",206.29,TRUE
2010,"Bulgaria","Inhabitants per ...","Practising","Nurses and midwives",211.1,FALSE
2010,"Bulgaria","Inhabitants per ...","Practising","Nursing professionals and midwives",211.1,FALSE
2010,"Bulgaria","Inhabitants per ...","Practising","Nurses",232.67,FALSE
2010,"Bulgaria","Inhabitants per ...","Practising","Nursing professionals",232.67,FALSE
2010,"Bulgaria","Inhabitants per ...","Professionally active","Nurses, midewives, health care assistants and home-based personal care workers",42.15,TRUE
2010,"Bulgaria","Inhabitants per ...","Professionally active","Nurses and midwives",89.67,TRUE
2010,"Bulgaria","Inhabitants per ...","Professionally active","Nursing professionals and midwives",89.67,TRUE
2010,"Bulgaria","Inhabitants per ...","Professionally active","Nurses",92.19,TRUE
2010,"Bulgaria","Inhabitants per ...","Professionally active","Nursing professionals",92.19,TRUE
2010,"Bulgaria","Inhabitants per ...","Licensed to practice","Nurses, midewives, health care assistants and home-based personal care workers",206.29,TRUE
2010,"Bulgaria","Inhabitants per ...","Licensed to practice","Nurses and midwives",95.96,TRUE
2010,"Bulgaria","Inhabitants per ...","Licensed to practice","Nursing professionals and midwives",111.81,TRUE
2010,"Bulgaria","Inhabitants per ...","Licensed to practice","Nurses",101.83,TRUE
2010,"Bulgaria","Inhabitants per ...","Licensed to practice","Nursing professionals",118.16,TRUE
2010,"Bulgaria","Per hundred thousand inhabitants","Practising","Nurses, midewives, health care assistants and home-based personal care workers",484.75,TRUE
2010,"Bulgaria","Per hundred thousand inhabitants","Practising","Nurses and midwives",473.7,FALSE
2010,"Bulgaria","Per hundred thousand inhabitants","Practising","Nursing professionals and midwives",473.7,FALSE
2010,"Bulgaria","Per hundred thousand inhabitants","Practising","Nurses",429.8,FALSE
2010,"Bulgaria","Per hundred thousand inhabitants","Practising","Nursing professionals",429.8,FALSE
2010,"Bulgaria","Per hundred thousand inhabitants","Professionally active","Nurses, midewives, health care assistants and home-based personal care workers",2372.74,TRUE
2010,"Bulgaria","Per hundred thousand inhabitants","Professionally active","Nurses and midwives",1115.2,TRUE
2010,"Bulgaria","Per hundred thousand inhabitants","Professionally active","Nursing professionals and midwives",1115.2,TRUE
2010,"Bulgaria","Per hundred thousand inhabitants","Professionally active","Nurses",1084.76,TRUE
2010,"Bulgaria","Per hundred thousand inhabitants","Professionally active","Nursing professionals",1084.76,TRUE
2010,"Bulgaria","Per hundred thousand inhabitants","Licensed to practice","Nurses, midewives, health care assistants and home-based personal care workers",484.75,TRUE
2010,"Bulgaria","Per hundred thousand inhabitants","Licensed to practice","Nurses and midwives",1042.11,TRUE
2010,"Bulgaria","Per hundred thousand inhabitants","Licensed to practice","Nursing professionals and midwives",894.35,TRUE
2010,"Bulgaria","Per hundred thousand inhabitants","Licensed to practice","Nurses",982.04,TRUE
2010,"Bulgaria","Per hundred thousand inhabitants","Licensed to practice","Nursing professionals",846.28,TRUE
2010,"Czechia","Number","Practising","Nurses, midewives, health care assistants and home-based personal care workers",112839,FALSE
2010,"Czechia","Number","Practising","Nurses and midwives",89233,FALSE
2010,"Czechia","Number","Practising","Nursing professionals and midwives",89233,TRUE
2010,"Czechia","Number","Practising","Nurses",84796,FALSE
2010,"Czechia","Number","Practising","Nursing professionals",89233,TRUE
