"TIME","GEO","ISCO08","UNIT","Value","Flag.and.Footnotes","Value_imp"
2010,"Belgium","Medical doctors","Full-time equivalent (FTE)",6142.5,"e",FALSE
2010,"Belgium","Nursing professionals and midwives","Full-time equivalent (FTE)",58481.59,"e",FALSE
2010,"Belgium","Nursing associate professionals","Full-time equivalent (FTE)",1217.85,"e",FALSE
2010,"Belgium","Health care assistants","Full-time equivalent (FTE)",9229.93,"e",FALSE
2010,"Belgium","Hospital employment","Full-time equivalent (FTE)",140507.19,"e",FALSE
2010,"Bulgaria","Medical doctors","Full-time equivalent (FTE)",19596.72,"",TRUE
2010,"Bulgaria","Nursing professionals and midwives","Full-time equivalent (FTE)",54123.78,"",TRUE
2010,"Bulgaria","Nursing associate professionals","Full-time equivalent (FTE)",0,"",TRUE
2010,"Bulgaria","Health care assistants","Full-time equivalent (FTE)",2859.09,"",TRUE
2010,"Bulgaria","Hospital employment","Full-time equivalent (FTE)",135056.52,"",TRUE
2010,"Czechia","Medical doctors","Full-time equivalent (FTE)",19596.72,"",FALSE
2010,"Czechia","Nursing professionals and midwives","Full-time equivalent (FTE)",54123.78,"",FALSE
2010,"Czechia","Nursing associate professionals","Full-time equivalent (FTE)",19596.72,"",TRUE
2010,"Czechia","Health care assistants","Full-time equivalent (FTE)",2859.09,"",FALSE
2010,"Czechia","Hospital employment","Full-time equivalent (FTE)",135056.52,"",FALSE
2010,"Denmark","Medical doctors","Full-time equivalent (FTE)",14335,"",FALSE
2010,"Denmark","Nursing professionals and midwives","Full-time equivalent (FTE)",35652,"",FALSE
2010,"Denmark","Nursing associate professionals","Full-time equivalent (FTE)",0,"",FALSE
2010,"Denmark","Health care assistants","Full-time equivalent (FTE)",11994,"",FALSE
2010,"Denmark","Hospital employment","Full-time equivalent (FTE)",103805,"",FALSE
2010,"Germany (until 1990 former territory of the FRG)","Medical doctors","Full-time equivalent (FTE)",143000,"",FALSE
2010,"Germany (until 1990 former territory of the FRG)","Nursing professionals and midwives","Full-time equivalent (FTE)",312000,"",FALSE
2010,"Germany (until 1990 former territory of the FRG)","Nursing associate professionals","Full-time equivalent (FTE)",29000,"",FALSE
2010,"Germany (until 1990 former territory of the FRG)","Health care assistants","Full-time equivalent (FTE)",11994,"",TRUE
2010,"Germany (until 1990 former territory of the FRG)","Hospital employment","Full-time equivalent (FTE)",926000,"",FALSE
2010,"Estonia","Medical doctors","Full-time equivalent (FTE)",2663.2,"",FALSE
2010,"Estonia","Nursing professionals and midwives","Full-time equivalent (FTE)",5969.7,"",FALSE
2010,"Estonia","Nursing associate professionals","Full-time equivalent (FTE)",0,"",FALSE
2010,"Estonia","Health care assistants","Full-time equivalent (FTE)",2790.7,"",FALSE
2010,"Estonia","Hospital employment","Full-time equivalent (FTE)",17435.9,"",FALSE
2010,"Ireland","Medical doctors","Full-time equivalent (FTE)",5943,"",FALSE
2010,"Ireland","Nursing professionals and midwives","Full-time equivalent (FTE)",19820,"",FALSE
2010,"Ireland","Nursing associate professionals","Full-time equivalent (FTE)",0,"",FALSE
2010,"Ireland","Health care assistants","Full-time equivalent (FTE)",3318,"",FALSE
2010,"Ireland","Hospital employment","Full-time equivalent (FTE)",49764,"",FALSE
2010,"Greece","Medical doctors","Full-time equivalent (FTE)",19596.72,"",TRUE
2010,"Greece","Nursing professionals and midwives","Full-time equivalent (FTE)",54123.78,"",TRUE
2010,"Greece","Nursing associate professionals","Full-time equivalent (FTE)",0,"",TRUE
2010,"Greece","Health care assistants","Full-time equivalent (FTE)",2859.09,"",TRUE
2010,"Greece","Hospital employment","Full-time equivalent (FTE)",135056.52,"",TRUE
