"TIME","GEO","UNIT","WSTATUS","ISCO08","Value","Value_imp"
2010,"European Union - 27 countries (from 2020)","Number","Practising","Medical doctors",31815,TRUE
2010,"European Union - 27 countries (from 2020)","Number","Practising","Dentists",7263,TRUE
2010,"European Union - 27 countries (from 2020)","Number","Practising","Pharmacists",6061,TRUE
2010,"European Union - 27 countries (from 2020)","Number","Practising","Physiotherapists",12629,TRUE
2010,"European Union - 28 countries (2013-2020)","Number","Practising","Medical doctors",31815,TRUE
2010,"European Union - 28 countries (2013-2020)","Number","Practising","Dentists",7263,TRUE
2010,"European Union - 28 countries (2013-2020)","Number","Practising","Pharmacists",6061,TRUE
2010,"European Union - 28 countries (2013-2020)","Number","Practising","Physiotherapists",12629,TRUE
2010,"Belgium","Number","Practising","Medical doctors",31815,FALSE
2010,"Belgium","Number","Practising","Dentists",7675,FALSE
2010,"Belgium","Number","Practising","Pharmacists",12629,FALSE
2010,"Belgium","Number","Practising","Physiotherapists",12629,TRUE
2010,"Bulgaria","Number","Practising","Medical doctors",27963,FALSE
2010,"Bulgaria","Number","Practising","Dentists",6389,FALSE
2010,"Bulgaria","Number","Practising","Pharmacists",12629,TRUE
2010,"Bulgaria","Number","Practising","Physiotherapists",27963,TRUE
2010,"Czechia","Number","Practising","Medical doctors",37661,FALSE
2010,"Czechia","Number","Practising","Dentists",7263,FALSE
2010,"Czechia","Number","Practising","Pharmacists",6061,FALSE
2010,"Czechia","Number","Practising","Physiotherapists",7263,TRUE
2010,"Denmark","Number","Practising","Medical doctors",20670,FALSE
2010,"Denmark","Number","Practising","Dentists",4544,FALSE
2010,"Denmark","Number","Practising","Pharmacists",2628,FALSE
2010,"Denmark","Number","Practising","Physiotherapists",4544,TRUE
2010,"Germany (until 1990 former territory of the FRG)","Number","Practising","Medical doctors",303645,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Number","Practising","Dentists",66427,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Number","Practising","Pharmacists",50604,FALSE
2010,"Germany (until 1990 former territory of the FRG)","Number","Practising","Physiotherapists",66427,TRUE
2010,"Estonia","Number","Practising","Medical doctors",4319,FALSE
2010,"Estonia","Number","Practising","Dentists",1198,FALSE
2010,"Estonia","Number","Practising","Pharmacists",842,FALSE
2010,"Estonia","Number","Practising","Physiotherapists",1198,TRUE
2010,"Ireland","Number","Practising","Medical doctors",12367,TRUE
2010,"Ireland","Number","Practising","Dentists",7263,TRUE
2010,"Ireland","Number","Practising","Pharmacists",6061,TRUE
2010,"Ireland","Number","Practising","Physiotherapists",12367,TRUE
2010,"Greece","Number","Practising","Medical doctors",31815,TRUE
2010,"Greece","Number","Practising","Dentists",7263,TRUE
2010,"Greece","Number","Practising","Pharmacists",6061,TRUE
2010,"Greece","Number","Practising","Physiotherapists",12629,TRUE
2010,"Spain","Number","Practising","Medical doctors",175033,FALSE
2010,"Spain","Number","Practising","Dentists",7263,TRUE
2010,"Spain","Number","Practising","Pharmacists",43000,FALSE
2010,"Spain","Number","Practising","Physiotherapists",175033,TRUE
